osmid,oneway,highway,maxspeed,reversed,length,geometry,lanes,ref,name,bridge
172099974,True,primary,30,False,41.068,"LINESTRING (80.5984092 6.8916727, 80.5985275 6.8916649, 80.5987032 6.8916436, 80.5987714 6.8916093)",,,,
543314288,False,primary,50,True,182.611,"LINESTRING (80.5984092 6.8916727, 80.5984215 6.8922108, 80.5983625 6.8923665, 80.5982379 6.8924941, 80.5981261 6.8925893, 80.5975928 6.8928997)",2,B149,Hatton - Maskeliya - Sri Pada Road,
172099977,False,residential,40,False,45.869,"LINESTRING (80.5981618 6.8898915, 80.5980535 6.8898144, 80.5979215 6.8896902, 80.5978701 6.8896046)",,,Dunbar Road,
396571162,False,primary,70,False,44.574000000000005,"LINESTRING (80.5981618 6.8898915, 80.5983396 6.8895614, 80.5983518 6.8895378)",2,B149,Hatton - Maskeliya - Sri Pada Road,
543314287,True,primary,50,False,203.65700000000004,"LINESTRING (80.5981618 6.8898915, 80.5981574 6.8900143, 80.5981265 6.8905306, 80.5981359 6.8906949, 80.5981882 6.8909059, 80.5983303 6.8911603, 80.5983613 6.8913053, 80.5984092 6.8916727)",2,B149,Hatton - Maskeliya - Sri Pada Road,
172099969,False,residential,30,False,341.2780000000001,"LINESTRING (80.6023934 6.8907796, 80.6025052 6.8906529, 80.6027949 6.8905171, 80.6028539 6.8902828, 80.6030148 6.8898913, 80.6030095 6.8897475, 80.6029049 6.8894733, 80.6028593 6.889412, 80.6027922 6.8893774, 80.6024864 6.8894493, 80.6023657 6.8894173, 80.602296 6.8892895, 80.6023121 6.8891484, 80.602532 6.8889806, 80.6028398 6.8888527)",,,,
172099972,False,residential,30,True,329.75499999999994,"LINESTRING (80.6023934 6.8907796, 80.6024596 6.890573, 80.6027091 6.8904479, 80.6027313 6.8902631, 80.6028029 6.8900351, 80.6027608 6.8899382, 80.602701 6.8898727, 80.6025776 6.8898461, 80.6022021 6.8898434, 80.6020921 6.8898194, 80.6018051 6.8899233, 80.6017335 6.8899116, 80.6015852 6.8898221, 80.6012856 6.8898479, 80.6012151 6.889854, 80.6011515 6.889813, 80.6011461 6.8897252, 80.6012132 6.8895767)",,,Gaminipura Road,
172099978,False,residential,40,False,128.739,"LINESTRING (80.5991988 6.8917436, 80.599367 6.8915609, 80.5994241 6.8914826, 80.599451 6.8908169, 80.5995731 6.8907331)",,,,
"[543314291, 172099973, 172111355]",False,residential,"['40', '30']",False,53.753,"LINESTRING (80.5991988 6.8917436, 80.5992708 6.8918695, 80.5994126 6.8920802, 80.5994463 6.8921586)",,,Dunbar Road,yes
543314291,False,residential,40,True,49.491,"LINESTRING (80.5991988 6.8917436, 80.5989164 6.8916568, 80.5987714 6.8916093)",,,Dunbar Road,
172099972,False,residential,30,False,329.755,"LINESTRING (80.6012132 6.8895767, 80.6011461 6.8897252, 80.6011515 6.889813, 80.6012151 6.889854, 80.6012856 6.8898479, 80.6015852 6.8898221, 80.6017335 6.8899116, 80.6018051 6.8899233, 80.6020921 6.8898194, 80.6022021 6.8898434, 80.6025776 6.8898461, 80.602701 6.8898727, 80.6027608 6.8899382, 80.6028029 6.8900351, 80.6027313 6.8902631, 80.6027091 6.8904479, 80.6024596 6.890573, 80.6023934 6.8907796)",,,Gaminipura Road,
172099978,False,residential,40,False,118.143,"LINESTRING (80.6012132 6.8895767, 80.6012687 6.8894759, 80.6012607 6.8893667, 80.6011326 6.8889434, 80.6010547 6.8888201, 80.6008643 6.8886556)",,,,
172099978,False,residential,40,True,133.522,"LINESTRING (80.6012132 6.8895767, 80.6008905 6.8899046, 80.6004702 6.8900447, 80.6002513 6.8902547)",,,,
172099969,False,residential,30,False,142.429,"LINESTRING (80.6028398 6.8888527, 80.6028995 6.8887916, 80.6028807 6.8887143, 80.6028298 6.8886717, 80.6027251 6.8886451, 80.6025213 6.8886691, 80.6024489 6.8885492, 80.602532 6.8882457, 80.6026044 6.8880939, 80.6026903 6.888014)",,,,
