osmid,ref,highway,maxspeed,oneway,reversed,length,name,geometry,bridge,lanes
98399581,AA002,trunk,60,False,False,24.059,,"LINESTRING (79.9828692 6.4773016, 79.9828898 6.4770862)",,
147445572,,tertiary,40,False,False,56.485,Maradana Road,"LINESTRING (79.9828692 6.4773016, 79.9827644 6.476973, 79.9827081 6.4768196)",,
"[1205508132, 147445589]",,residential,,False,False,387.297,,"LINESTRING (79.9814676 6.4714449, 79.9818749 6.4714528, 79.9823404 6.471471, 79.9825547 6.4715157, 79.982655 6.4715262, 79.9830024 6.4714632, 79.9832744 6.4714229, 79.9834246 6.4714229, 79.983548 6.4714869, 79.9837787 6.4717002, 79.9838056 6.4717641, 79.9838163 6.4718601, 79.9838968 6.4720307, 79.9840148 6.4720787, 79.9846063 6.472148)",,
578539545,,residential,30,False,True,83.636,,"LINESTRING (79.9814676 6.4714449, 79.981437 6.4716061, 79.9814339 6.4716711, 79.9814731 6.4719236, 79.9814346 6.4721884)",,
147445582,,residential,30,False,False,161.377,,"LINESTRING (79.9799855 6.4721875, 79.9802386 6.472129, 79.9804921 6.4721186, 79.9805909 6.4721146, 79.9810291 6.4721305, 79.9814346 6.4721884)",,
147445593,,tertiary,40,False,False,81.664,Maradana Road,"LINESTRING (79.9799855 6.4721875, 79.9798976 6.4720157, 79.9797186 6.4718378, 79.9794819 6.4716679)",,
"[147445593, 147445587, 147445572]",,tertiary,40,False,True,612.699,Maradana Road,"LINESTRING (79.9799855 6.4721875, 79.9800053 6.4722327, 79.9800676 6.4724501, 79.9801444 6.4725654, 79.9803649 6.4727078, 79.9805495 6.472789, 79.9806811 6.4729384, 79.980838 6.473094, 79.9809551 6.4732689, 79.9812505 6.4735631, 79.9814311 6.4737907, 79.9815996 6.47404, 79.9817284 6.4742339, 79.9818536 6.4744656, 79.9819165 6.4745984, 79.9819903 6.4747544, 79.982112 6.4750516, 79.9822821 6.4755689, 79.982461 6.4761012, 79.9825864 6.4764847, 79.9826631 6.4766897, 79.9827081 6.4768196)",yes,
147445582,,residential,30,False,False,280.655,,"LINESTRING (79.9814346 6.4721884, 79.9816073 6.4722266, 79.981791 6.4722434, 79.9819266 6.4723233, 79.9821571 6.4726056, 79.9822471 6.4727752, 79.9823068 6.4728563, 79.9823843 6.4729161, 79.9824601 6.4729473, 79.9825636 6.4729708, 79.9827758 6.4729531, 79.9830549 6.4728976, 79.9832998 6.4728705, 79.9835171 6.4728549, 79.9836298 6.4728468)",,
147445582,,residential,30,False,True,161.377,,"LINESTRING (79.9814346 6.4721884, 79.9810291 6.4721305, 79.9805909 6.4721146, 79.9804921 6.4721186, 79.9802386 6.472129, 79.9799855 6.4721875)",,
578539545,,residential,30,False,False,83.636,,"LINESTRING (79.9814346 6.4721884, 79.9814731 6.4719236, 79.9814339 6.4716711, 79.981437 6.4716061, 79.9814676 6.4714449)",,
147445582,,residential,30,False,False,74.997,,"LINESTRING (79.9836298 6.4728468, 79.9842833 6.4730292)",,
147445582,,residential,30,False,True,280.655,,"LINESTRING (79.9836298 6.4728468, 79.9835171 6.4728549, 79.9832998 6.4728705, 79.9830549 6.4728976, 79.9827758 6.4729531, 79.9825636 6.4729708, 79.9824601 6.4729473, 79.9823843 6.4729161, 79.9823068 6.4728563, 79.9822471 6.4727752, 79.9821571 6.4726056, 79.9819266 6.4723233, 79.981791 6.4722434, 79.9816073 6.4722266, 79.9814346 6.4721884)",,
556852608,,residential,,False,False,39.184,,"LINESTRING (79.9836298 6.4728468, 79.9835399 6.4727267, 79.9833913 6.4725878)",,
98399565,AA002,trunk,60,False,False,104.282,Colombo-Galle Road,"LINESTRING (79.9842833 6.4730292, 79.9846063 6.472148)",,
147445582,,residential,30,False,True,74.997,,"LINESTRING (79.9842833 6.4730292, 79.9836298 6.4728468)",,
"[98399563, 98399581, 98399565]",AA002,trunk,60,False,True,144.03300000000002,Colombo-Galle Road,"LINESTRING (79.9842833 6.4730292, 79.9840485 6.4736858, 79.9839433 6.4739757, 79.9838382 6.4742466)",yes,
1214902885,,unclassified,,False,True,109.841,,"LINESTRING (79.9842833 6.4730292, 79.984696 6.472954, 79.985257 6.4728306)",,
147445588,,residential,30,False,False,207.646,,"LINESTRING (79.9855645 6.4741314, 79.9855565 6.4734595, 79.9855393 6.473353, 79.9855694 6.4732513, 79.9857199 6.4731556, 79.9859788 6.4731436, 79.9861654 6.4731556, 79.9864424 6.4731616, 79.9865227 6.4731311)",,2
