osmid,lanes,ref,name,highway,maxspeed,width,oneway,reversed,length,geometry,access
408999395,1,AA004,High Level Road,trunk,60,30,False,False,126.065,"LINESTRING (80.0894192 6.8547472, 80.0896545 6.8558566)",
408999395,1,AA004,High Level Road,trunk,60,30,False,True,73.485,"LINESTRING (80.0894192 6.8547472, 80.0893157 6.8545318, 80.0890478 6.8542039)",
157509708,,B285,Meepe-Ingiriya Road,secondary,50,,False,True,170.285,"LINESTRING (80.0917239 6.8585623, 80.0925882 6.8572939)",
232959302,,,,secondary,50,,False,True,35.786,"LINESTRING (80.0917239 6.8585623, 80.0915948 6.8588575)",
289561823,,,,trunk_link,50,,False,False,70.157,"LINESTRING (80.0917239 6.8585623, 80.0915881 6.858603, 80.0915098 6.8586098, 80.0913878 6.8585755, 80.091152 6.8584109)",
408999395,1,AA004,High Level Road,trunk,60,30,False,False,21.081,"LINESTRING (80.0913736 6.8590882, 80.0913152 6.8592687)",
232959302,,,,secondary,50,,False,False,35.465999999999994,"LINESTRING (80.0913736 6.8590882, 80.0914672 6.8590023, 80.0915948 6.8588575)",
408999395,1,AA004,High Level Road,trunk,60,30,False,True,81.392,"LINESTRING (80.0913736 6.8590882, 80.0913797 6.8588984, 80.0913248 6.8586986, 80.091152 6.8584109)",
157521599,,,Dekaduwala Road,residential,30,,False,True,73.698,"LINESTRING (80.0945581 6.8600027, 80.0942485 6.8596625, 80.0940763 6.8595507)",
1185435700,,,,residential,,,False,False,88.29599999999999,"LINESTRING (80.0945581 6.8600027, 80.094409 6.8604022, 80.0943929 6.8604435, 80.094413 6.8604701, 80.0946987 6.8605327)",
408999395,1,AA004,High Level Road,trunk,60,30,False,False,73.485,"LINESTRING (80.0890478 6.8542039, 80.0893157 6.8545318, 80.0894192 6.8547472)",
408999395,1,AA004,High Level Road,trunk,60,30,False,True,109.714,"LINESTRING (80.091152 6.8584109, 80.0904322 6.8577306)",
289561823,,,,trunk_link,50,,False,True,70.157,"LINESTRING (80.091152 6.8584109, 80.0913878 6.8585755, 80.0915098 6.8586098, 80.0915881 6.858603, 80.0917239 6.8585623)",
408999395,1,AA004,High Level Road,trunk,60,30,False,False,81.392,"LINESTRING (80.091152 6.8584109, 80.0913248 6.8586986, 80.0913797 6.8588984, 80.0913736 6.8590882)",
232959302,,,,secondary,50,,False,False,35.786,"LINESTRING (80.0915948 6.8588575, 80.0917239 6.8585623)",
157521599,,,Dekaduwala Road,residential,30,,False,False,37.227000000000004,"LINESTRING (80.0915948 6.8588575, 80.0915974 6.8588566, 80.0918774 6.8590382)",
232959302,,,,secondary,50,,False,True,35.465999999999994,"LINESTRING (80.0915948 6.8588575, 80.0914672 6.8590023, 80.0913736 6.8590882)",
408999395,1,AA004,High Level Road,trunk,60,30,False,True,31.723,"LINESTRING (80.0897096 6.8561366, 80.0896545 6.8558566)",
371692637,1,,piyasena mawatha,residential,40,,False,False,131.428,"LINESTRING (80.0897096 6.8561366, 80.0887637 6.8564032, 80.0885706 6.8564778)",yes
408999395,1,AA004,High Level Road,trunk,60,30,False,False,110.852,"LINESTRING (80.0897096 6.8561366, 80.0898385 6.8567913, 80.0899536 6.8571007)",
