osmid,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,name,bridge
185233707,residential,30,False,True,212.952,"LINESTRING (80.1639854 6.2944355, 80.1641746 6.2945328, 80.1641998 6.2945896, 80.164732 6.2946506, 80.1650793 6.2945878, 80.1652188 6.2944705, 80.1653261 6.2942999, 80.165377 6.2939282)",,,,
1025826413,primary,70,False,False,117.095,"LINESTRING (80.1639854 6.2944355, 80.1640665 6.2943427, 80.1640826 6.2942468, 80.1640531 6.2941294, 80.1636749 6.2938468, 80.1636185 6.2937775, 80.1636051 6.2936256)",2,B055,Bentara - Uragaha - Elpitiya Road,
1025826413,primary,70,False,True,218.256,"LINESTRING (80.1639854 6.2944355, 80.1636029 6.2946243, 80.1634661 6.2947176, 80.1632696 6.2949167, 80.1631151 6.2957492, 80.1630281 6.2959816)",2,B055,Bentara - Uragaha - Elpitiya Road,
1025826413,primary,70,False,True,55.759,"LINESTRING (80.1630281 6.2959816, 80.1625541 6.2961533)",2,B055,Bentara - Uragaha - Elpitiya Road,
1025826413,primary,70,False,False,218.256,"LINESTRING (80.1630281 6.2959816, 80.1631151 6.2957492, 80.1632696 6.2949167, 80.1634661 6.2947176, 80.1636029 6.2946243, 80.1639854 6.2944355)",2,B055,Bentara - Uragaha - Elpitiya Road,
287006463,tertiary,40,False,True,22.385,"LINESTRING (80.1638456 6.287786, 80.163786 6.2879784)",,,Elpitiya-Pituwala-Kahaduwa Road,
1025826413,primary,70,False,False,55.759,"LINESTRING (80.1625541 6.2961533, 80.1630281 6.2959816)",2,B055,Bentara - Uragaha - Elpitiya Road,
287006474,secondary,50,False,False,58.162,"LINESTRING (80.165377 6.2939282, 80.1658136 6.2942202)",,B014,Ambalangoda-Elpitiya-Pitigala Road,
185233707,residential,30,False,False,212.952,"LINESTRING (80.165377 6.2939282, 80.1653261 6.2942999, 80.1652188 6.2944705, 80.1650793 6.2945878, 80.164732 6.2946506, 80.1641998 6.2945896, 80.1641746 6.2945328, 80.1639854 6.2944355)",,,,
287006474,secondary,50,False,True,161.77700000000002,"LINESTRING (80.165377 6.2939282, 80.1650383 6.2937644, 80.1646142 6.2934746, 80.1643712 6.2932726, 80.1641466 6.2931513)",,B014,Ambalangoda-Elpitiya-Pitigala Road,
286788461,primary,70,False,True,194.80600000000004,"LINESTRING (80.1591892 6.2875661, 80.1593873 6.2877794, 80.1596129 6.2880904, 80.1600406 6.2885664, 80.1601775 6.288707, 80.1603843 6.2888391)",2,B014,Ambalangoda - Elpitiya - Pitigala Road,
287006463,tertiary,40,False,False,22.385,"LINESTRING (80.163786 6.2879784, 80.1638456 6.287786)",,,Elpitiya-Pituwala-Kahaduwa Road,
287006463,tertiary,40,False,True,121.799,"LINESTRING (80.163786 6.2879784, 80.1635593 6.2884863, 80.1633176 6.2889696)",,,Elpitiya-Pituwala-Kahaduwa Road,
