osmid,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,name,tunnel
95357838,residential,30,False,False,369.523,"LINESTRING (81.0458449 6.8741086, 81.045917 6.8741871, 81.046191 6.8743744, 81.0465369 6.8749559, 81.0467099 6.8751583, 81.0467303 6.8752539, 81.0466911 6.875533, 81.0466207 6.8757479, 81.0465793 6.8760686, 81.0465612 6.8761254, 81.0463793 6.8762898, 81.0463283 6.8763657, 81.0462412 6.8768037, 81.0462425 6.8768876, 81.0462734 6.876974)",,,,
346041764,trunk,70,False,False,65.177,"LINESTRING (81.0458449 6.8741086, 81.0455981 6.8742363, 81.0453171 6.8743711)",2,AA023,Ella - Wellawaya Road,
"[346041764, 278688397, 712454694]",trunk,70,False,True,68.155,"LINESTRING (81.0458449 6.8741086, 81.0461259 6.8739229, 81.0462315 6.8738536, 81.0463203 6.873803, 81.0463711 6.873801)",2,AA023,Ella - Wellawaya Road,yes
251400130,residential,30,False,False,98.575,"LINESTRING (81.0468399 6.8743668, 81.0469484 6.8745579, 81.0472611 6.8751484)",,,Ella Station Road,
712454694,trunk,70,False,False,84.542,"LINESTRING (81.0468399 6.8743668, 81.0466714 6.8742479, 81.046555 6.8740757, 81.0464765 6.8738742, 81.0464336 6.8738249, 81.0463711 6.873801)",2,AA023,Ella - Wellawaya Road,
712454694,trunk,70,False,True,172.548,"LINESTRING (81.0468399 6.8743668, 81.0470934 6.8745146, 81.0471987 6.8745452, 81.0473174 6.8745532, 81.0475387 6.874512, 81.0478753 6.8744108, 81.0480577 6.8744094, 81.0481904 6.8744188, 81.0483379 6.8744064)",2,AA023,Ella - Wellawaya Road,
9783036,residential,30,False,True,121.858,"LINESTRING (81.0483379 6.8744064, 81.0483071 6.874946, 81.0483232 6.8755012)",,,Police Station Road,
712454694,trunk,70,False,False,172.548,"LINESTRING (81.0483379 6.8744064, 81.0481904 6.8744188, 81.0480577 6.8744094, 81.0478753 6.8744108, 81.0475387 6.874512, 81.0473174 6.8745532, 81.0471987 6.8745452, 81.0470934 6.8745146, 81.0468399 6.8743668)",2,AA023,Ella - Wellawaya Road,
712454694,trunk,70,False,True,33.729,"LINESTRING (81.0483379 6.8744064, 81.0484086 6.8743724, 81.0484548 6.8743502, 81.0485911 6.8742402)",2,AA023,Ella - Wellawaya Road,
251400135,residential,,False,False,148.735,"LINESTRING (81.0463711 6.873801, 81.0461826 6.8736674, 81.0460458 6.8736195, 81.0460609 6.8735716, 81.0461635 6.8735416, 81.0464679 6.8737253, 81.0466539 6.8737459, 81.0469119 6.8736678)",,,,
"[346041764, 278688397, 712454694]",trunk,70,False,False,68.155,"LINESTRING (81.0463711 6.873801, 81.0463203 6.873803, 81.0462315 6.8738536, 81.0461259 6.8739229, 81.0458449 6.8741086)",2,AA023,Ella - Wellawaya Road,yes
712454694,trunk,70,False,True,84.542,"LINESTRING (81.0463711 6.873801, 81.0464336 6.8738249, 81.0464765 6.8738742, 81.046555 6.8740757, 81.0466714 6.8742479, 81.0468399 6.8743668)",2,AA023,Ella - Wellawaya Road,
712454694,trunk,70,False,False,23.635,"LINESTRING (81.0491811 6.8728466, 81.0491338 6.8730539)",2,AA023,Ella - Wellawaya Road,
"[46832529, 482964849, 783972868]",residential,25,False,"[False, True]",814.0410000000002,"LINESTRING (81.0491811 6.8728466, 81.0489612 6.8728015, 81.0488619 6.8727544, 81.0481128 6.8718533, 81.0480295 6.8718355, 81.0478562 6.8719382, 81.0478081 6.8719714, 81.0476509 6.8720047, 81.0474965 6.8720668, 81.0473917 6.8721695, 81.0472912 6.8722172, 81.046989 6.8721888, 81.0468266 6.8722129, 81.0465951 6.8723791, 81.0464834 6.8726581, 81.0463729 6.8727529, 81.046272 6.8727592, 81.0458478 6.872809, 81.0458245 6.8728061, 81.0458099 6.8727974, 81.0458188 6.8726839, 81.045848 6.8725309, 81.0459587 6.87221, 81.0460053 6.8719599, 81.0460141 6.8717329, 81.0459675 6.8712399, 81.045768 6.871064, 81.0455936 6.8708209, 81.0450572 6.870632, 81.044753 6.8705131, 81.0446696 6.8704588)",1,,"['Waterfall Road', 'Water Fall Road']",
712454694,trunk,70,False,True,92.80600000000001,"LINESTRING (81.0491811 6.8728466, 81.0492572 6.8725972, 81.0492834 6.8725347, 81.0492191 6.8722764, 81.049211 6.8721896, 81.0492204 6.8720368)",2,AA023,Ella - Wellawaya Road,
585979200,primary,70,False,False,25.592,"LINESTRING (81.0513962 6.8728794, 81.051174 6.8728138)",,B113,Ella - Passara Road,
482799648,residential,,False,False,264.752,"LINESTRING (81.0513962 6.8728794, 81.0515217 6.872649, 81.0516773 6.8723508, 81.0517336 6.8723401, 81.0518302 6.8723987, 81.0524203 6.8729872, 81.0526053 6.8731443, 81.0527502 6.8732269, 81.0528065 6.8732908, 81.0528602 6.8734213, 81.0528669 6.8735712)",,,,
585979200,primary,70,False,True,187.921,"LINESTRING (81.0513962 6.8728794, 81.0514989 6.8729262, 81.0519843 6.8732429, 81.0521506 6.8734426, 81.0522461 6.8735046, 81.0523945 6.8735157, 81.0526066 6.8735066, 81.052762 6.873522, 81.0528669 6.8735712)",,B113,Ella - Passara Road,
95357838,residential,30,False,True,369.523,"LINESTRING (81.0462734 6.876974, 81.0462425 6.8768876, 81.0462412 6.8768037, 81.0463283 6.8763657, 81.0463793 6.8762898, 81.0465612 6.8761254, 81.0465793 6.8760686, 81.0466207 6.8757479, 81.0466911 6.875533, 81.0467303 6.8752539, 81.0467099 6.8751583, 81.0465369 6.8749559, 81.046191 6.8743744, 81.045917 6.8741871, 81.0458449 6.8741086)",,,,
251400131,tertiary,40,False,True,783.6830000000001,"LINESTRING (81.0446342 6.8725537, 81.0445177 6.8727917, 81.0444024 6.8729112, 81.0443828 6.8729316, 81.0443187 6.8729981, 81.0441551 6.8731712, 81.0439172 6.8732627, 81.0435581 6.8732455, 81.0432713 6.8733554, 81.0430642 6.8733564, 81.0429802 6.873381, 81.0429401 6.8734383, 81.04298 6.8734808, 81.0433145 6.87352, 81.0436205 6.8734426, 81.0438637 6.8734906, 81.0441456 6.8734916, 81.0443331 6.8735475, 81.0444201 6.8735455, 81.0444969 6.8735046, 81.0445992 6.8733862, 81.0447372 6.8733064, 81.0448839 6.8732217, 81.044945 6.8732271, 81.0449519 6.8732818, 81.0449074 6.873337, 81.0447531 6.8735129, 81.0446639 6.8738982, 81.0444942 6.8741809, 81.044468 6.8742575, 81.0444755 6.8743623, 81.0445175 6.8743898, 81.0445714 6.8743861, 81.0450285 6.8741686, 81.0451595 6.8741184, 81.0453935 6.8740496, 81.0454982 6.8740419, 81.0455392 6.8740804, 81.0455411 6.8741307, 81.0455082 6.8741689, 81.0453448 6.8742476, 81.0453011 6.8743054, 81.0453171 6.8743711)",,,Kithalella Road,
