osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,access,bridge
204615858,True,2,AA002,Anagarika Dharmapala Mawatha,trunk,40,False,16.527,"LINESTRING (80.547186 5.9487283, 80.5470465 5.9487816)",,
360357196,True,2,AA002,Anagarika Dharmapala Mawatha,trunk,40,False,219.016,"LINESTRING (80.5466871 5.9488817, 80.544718 5.9490911)",,
23233935,False,,,Sri Karathota nahimi Mawath,residential,30,True,90.575,"LINESTRING (80.5466871 5.9488817, 80.5466585 5.9484925, 80.5467657 5.9480818)",,
23233978,False,,,St.Servatius Road,residential,30,False,109.903,"LINESTRING (80.5514854 5.9449318, 80.5515711 5.9439471)",,
23233978,False,,,St.Servatius Road,residential,30,True,105.108,"LINESTRING (80.5514854 5.9449318, 80.5513492 5.9458673)",,
365714841,False,2,AA002,New Tangalle Road,trunk,40,False,68.181,"LINESTRING (80.5514854 5.9449318, 80.5521011 5.9449626)",,
365714841,False,2,AA002,New Tangalle Road,trunk,40,True,112.202,"LINESTRING (80.5514854 5.9449318, 80.5511959 5.9449013, 80.5506621 5.9447066, 80.5505112 5.9446721)",,
365714841,False,2,AA002,New Tangalle Road,trunk,40,True,9.027,"LINESTRING (80.5505112 5.9446721, 80.5504317 5.9446537)",,
365714841,False,2,AA002,New Tangalle Road,trunk,40,False,112.202,"LINESTRING (80.5505112 5.9446721, 80.5506621 5.9447066, 80.5511959 5.9449013, 80.5514854 5.9449318)",,
546159989,False,,,,secondary,30,False,11.136,"LINESTRING (80.5478646 5.9482574, 80.5479261 5.9483367)",,
204615858,True,2,AA002,Anagarika Dharmapala Mawatha,trunk,40,False,91.959,"LINESTRING (80.5478646 5.9482574, 80.5476513 5.9484495, 80.5474649 5.9485749, 80.547186 5.9487283)",,
374316016,True,,,Kumaratunga Mawatha,secondary,35,False,79.224,"LINESTRING (80.5478646 5.9482574, 80.5477311 5.9482429, 80.547155 5.9481604)",,
23153253,False,,,Dharmarathna Mawatha,residential,30,False,11.751,"LINESTRING (80.5483956 5.9475949, 80.5484961 5.9476292)",,
152178700,True,2,AA002,Anagarika Dharmapala Mawatha,trunk,40,False,94.471,"LINESTRING (80.5483956 5.9475949, 80.5482143 5.9478703, 80.5478646 5.9482574)",,
23233931,False,,,,residential,30,True,44.962,"LINESTRING (80.54802 5.948729, 80.5479971 5.9485706, 80.5479261 5.9483367)",,
23233935,False,,,Sri Karathota nahimi Mawath,residential,30,False,90.575,"LINESTRING (80.5467657 5.9480818, 80.5466585 5.9484925, 80.5466871 5.9488817)",,
129499006,False,,,Kachcheri Road,residential,30,False,93.023,"LINESTRING (80.5478992 5.9449222, 80.5474023 5.9449672, 80.5470603 5.9449769)",,
