osmid,highway,maxspeed,oneway,reversed,length,name,geometry,ref,bridge,access
173560297,residential,30,False,False,48.88,,"LINESTRING (79.9825596 6.9324097, 79.9829709 6.9325726)",,,
"[345480622, 131336607]",residential,30,False,False,173.53,Galauda Road,"LINESTRING (79.9825596 6.9324097, 79.9818903 6.9321464, 79.9815911 6.9319438, 79.9814512 6.9318092, 79.9814132 6.9316319, 79.9813812 6.9315248)",,,
423461669,primary,60,False,True,142.96800000000002,New Kandy Road,"LINESTRING (79.9825596 6.9324097, 79.9824748 6.9326363, 79.982333 6.933039, 79.9822891 6.9332986, 79.9823078 6.9336523)",B263,,
345480627,primary,60,False,False,7.259,Avissawella Road(Colombo-Hanwella Low Level Road),"LINESTRING (79.9884121 6.9333458, 79.988466 6.9333084)",AB010,,
254842640,residential,30,False,False,38.398,,"LINESTRING (79.9884121 6.9333458, 79.9883279 6.9335593, 79.9883231 6.9336125, 79.9882781 6.9336564)",,,
345480627,primary,60,False,True,150.595,Avissawella Road(Colombo-Hanwella Low Level Road),"LINESTRING (79.9884121 6.9333458, 79.9882284 6.933355, 79.9880916 6.933355, 79.9878153 6.9333576, 79.9873311 6.9333612, 79.9872145 6.9333869, 79.9870593 6.9334383)",AB010,,
345480627,primary,60,False,False,37.655,Avissawella Road(Colombo-Hanwella Low Level Road),"LINESTRING (79.988466 6.9333084, 79.9888071 6.9333129)",AB010,,
345480627,primary,60,False,True,7.259,Avissawella Road(Colombo-Hanwella Low Level Road),"LINESTRING (79.988466 6.9333084, 79.9884121 6.9333458)",AB010,,
"[420111233, 270560012]",residential,30,False,"[False, True]",217.04,,"LINESTRING (79.9870593 6.9334383, 79.9867645 6.9329389, 79.9866304 6.9327738, 79.9864748 6.9326673, 79.9862602 6.9324596, 79.9861234 6.9323265, 79.9860242 6.9321454, 79.9859974 6.9320655, 79.9860242 6.9319537, 79.986083 6.9318984)",,,
345480627,primary,60,False,False,150.595,Avissawella Road(Colombo-Hanwella Low Level Road),"LINESTRING (79.9870593 6.9334383, 79.9872145 6.9333869, 79.9873311 6.9333612, 79.9878153 6.9333576, 79.9880916 6.933355, 79.9882284 6.933355, 79.9884121 6.9333458)",AB010,,
