osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,junction
373555936,2,Beliatta Road,secondary,72,False,False,187.477,"LINESTRING (80.7603698 6.1441694, 80.76107 6.14502, 80.7614635 6.1454574)",,
374451471,,,residential,30,False,True,154.40699999999998,"LINESTRING (80.7603698 6.1441694, 80.7602737 6.1445591, 80.7601416 6.1455377)",,
371587255,,,living_street,,False,False,61.201,"LINESTRING (80.7656434 6.1471977, 80.7656881 6.1477463)",,
371600052,4,Ranna - Udayala - Weeraketiya Road,primary,72,False,False,12.231,"LINESTRING (80.7656434 6.1471977, 80.7655339 6.1472134)",B387,
371600052,4,Ranna - Udayala - Weeraketiya Road,primary,72,False,True,48.365,"LINESTRING (80.7656434 6.1471977, 80.7660743 6.1471226)",B387,
373432984,,,living_street,,False,False,64.653,"LINESTRING (80.76479 6.1452, 80.7653277 6.1454286)",,
728080639,4,Tangalle - Weeraketiya Road,secondary,72,False,True,280.126,"LINESTRING (80.76479 6.1452, 80.76359 6.14714, 80.7634793 6.1473552)",B410,
163132714,,Walasmulla - Weeraketiya Road,primary,70,False,False,51.787,"LINESTRING (80.75997 6.14915, 80.7604384 6.1491553)",B450,
374451471,,,residential,30,False,False,413.21299999999997,"LINESTRING (80.75997 6.14915, 80.7597788 6.1488257, 80.759686 6.1484427, 80.7599503 6.1472936, 80.7600516 6.1466673, 80.7601416 6.1455377)",,
163132715,2,Weerakatiya Roundabout,primary,60,True,False,11.619,"LINESTRING (80.7632638 6.1475508, 80.7632473 6.147654)",,roundabout
163132715,2,Weerakatiya Roundabout,primary,60,True,False,5.886,"LINESTRING (80.7634541 6.1475939, 80.7634321 6.1475457)",,roundabout
769548517,4,Ranna - Udayala - Weeraketiya Road,primary,72,True,False,16.147,"LINESTRING (80.7634541 6.1475939, 80.7635926 6.1475478)",B387,
163132715,2,Weerakatiya Roundabout,primary,60,True,False,16.171,"LINESTRING (80.7632832 6.1476935, 80.7633163 6.1477116, 80.7634223 6.1476886)",,roundabout
163132715,2,Weerakatiya Roundabout,primary,60,True,False,5.727,"LINESTRING (80.7634223 6.1476886, 80.7634502 6.1476452)",,roundabout
769548515,2,Weeraketiya-Middeniya Road,secondary,72,True,False,14.295,"LINESTRING (80.7634223 6.1476886, 80.7635236 6.1477685)",B463,
371587255,,,living_street,,False,True,61.201,"LINESTRING (80.7656881 6.1477463, 80.7656434 6.1471977)",,
