osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,access
313392146,B075,Chavakachcheri-Puloly,secondary,50,False,True,172.125,"LINESTRING (80.1612655 9.6616055, 80.1610713 9.6609912, 80.1609098 9.6601008)",,
827289248,,,residential,,False,False,121.164,"LINESTRING (80.1612655 9.6616055, 80.1607053 9.6617963, 80.1603476 9.6614343)",,
827289248,,,residential,,False,True,121.164,"LINESTRING (80.1603476 9.6614343, 80.1607053 9.6617963, 80.1612655 9.6616055)",,
71368991,,Dutch Road,tertiary,40,False,False,80.985,"LINESTRING (80.1644995 9.6613356, 80.1640131 9.6607874)",,
71368991,,Dutch Road,tertiary,40,False,True,19.35,"LINESTRING (80.1644995 9.6613356, 80.1646157 9.6614666)",,
827295942,,,residential,,False,False,43.458,"LINESTRING (80.1644995 9.6613356, 80.1646899 9.6609928)",,
827295942,,,residential,,False,False,38.219,"LINESTRING (80.1646899 9.6609928, 80.1649827 9.6611794)",,
827295942,,,residential,,False,True,43.458,"LINESTRING (80.1646899 9.6609928, 80.1644995 9.6613356)",,
827295943,,,residential,,False,False,28.677,"LINESTRING (80.1646899 9.6609928, 80.1644654 9.6608604)",,
827295942,,,residential,,False,True,38.219,"LINESTRING (80.1649827 9.6611794, 80.1646899 9.6609928)",,
827295943,,,residential,,False,True,28.677,"LINESTRING (80.1644654 9.6608604, 80.1646899 9.6609928)",,
71368991,,Dutch Road,tertiary,40,False,True,3.936,"LINESTRING (80.1639954 9.6607566, 80.1640131 9.6607874)",,
71368991,,Dutch Road,tertiary,40,False,False,213.57799999999997,"LINESTRING (80.1639954 9.6607566, 80.1639298 9.6606428, 80.1636395 9.6602862, 80.163205 9.6594744, 80.1631003 9.6590727)",,
827295948,,,residential,,False,False,136.483,"LINESTRING (80.1639954 9.6607566, 80.1643547 9.6602967, 80.1646462 9.6597171)",,
102650977,AA009,Kandy - Jaffna Road,trunk,70,False,False,124.273,"LINESTRING (80.1646462 9.6597171, 80.1652474 9.6600564, 80.1656312 9.6602704)",2,permissive
102650977,AA009,Kandy - Jaffna Road,trunk,70,False,True,125.157,"LINESTRING (80.1646462 9.6597171, 80.1641654 9.6594415, 80.1636582 9.659153)",2,permissive
827295948,,,residential,,False,True,136.483,"LINESTRING (80.1646462 9.6597171, 80.1643547 9.6602967, 80.1639954 9.6607566)",,
711060641,,,residential,,False,True,121.549,"LINESTRING (80.1686437 9.658672, 80.1685721 9.6585807, 80.168277 9.6584009, 80.1681805 9.6582237, 80.1680723 9.6578024)",,
108536130,B076,Chavakachcheri - Tanankilappu,secondary,50,False,False,183.494,"LINESTRING (80.163045 9.6565893, 80.1632049 9.6576502, 80.1633577 9.6581004, 80.1633844 9.6581999)",,
835062138,,,unclassified,,False,False,603.1020000000001,"LINESTRING (80.163045 9.6565893, 80.1645027 9.6565074, 80.1647816 9.6564368, 80.1649533 9.6563663, 80.1652394 9.6563593, 80.1655112 9.6564298, 80.1685063 9.6562522)",,
835062138,,,unclassified,,False,True,603.1020000000001,"LINESTRING (80.1685063 9.6562522, 80.1655112 9.6564298, 80.1652394 9.6563593, 80.1649533 9.6563663, 80.1647816 9.6564368, 80.1645027 9.6565074, 80.163045 9.6565893)",,
102650977,AA009,Kandy - Jaffna Road,trunk,70,False,True,6.836,"LINESTRING (80.1666574 9.6608563, 80.1666032 9.6608259)",2,permissive
711060640,,,residential,,False,False,182.45999999999998,"LINESTRING (80.1666574 9.6608563, 80.166741 9.6607327, 80.1670647 9.6602597, 80.1672404 9.6600786, 80.1674388 9.659916, 80.1678288 9.659755)",,
