osmid,ref,name,highway,maxspeed,access,oneway,reversed,length,geometry
459097423,AB018,Jafna-Palali Road,primary,40,no,False,True,117.689,"LINESTRING (80.0797736 9.788708, 80.0795131 9.7876812)"
459097423,AB018,Jafna-Palali Road,primary,40,no,False,False,117.689,"LINESTRING (80.0795131 9.7876812, 80.0797736 9.788708)"
459097423,AB018,Jafna-Palali Road,primary,40,no,False,True,229.713,"LINESTRING (80.0795131 9.7876812, 80.0789059 9.7857039)"
635889961,,abc,residential,,,False,True,387.64699999999993,"LINESTRING (80.0795131 9.7876812, 80.0789863 9.7877482, 80.078702 9.7877588, 80.0784981 9.7877006, 80.0783962 9.787579, 80.0782406 9.7869077, 80.0782889 9.7867015, 80.0782728 9.7863949, 80.0782031 9.7861887, 80.0782674 9.7860195, 80.0783908 9.7859191, 80.0786215 9.7858028, 80.0789059 9.7857039)"
459097423,AB018,Jafna-Palali Road,primary,40,no,False,False,229.713,"LINESTRING (80.0789059 9.7857039, 80.0795131 9.7876812)"
635889961,,abc,residential,,,False,False,387.64700000000005,"LINESTRING (80.0789059 9.7857039, 80.0786215 9.7858028, 80.0783908 9.7859191, 80.0782674 9.7860195, 80.0782031 9.7861887, 80.0782728 9.7863949, 80.0782889 9.7867015, 80.0782406 9.7869077, 80.0783962 9.787579, 80.0784981 9.7877006, 80.078702 9.7877588, 80.0789863 9.7877482, 80.0795131 9.7876812)"
