osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,ref,access,bridge
698309418,True,Thewatta Road,tertiary,40,False,63.496,"LINESTRING (79.9218053 7.028912, 79.9219266 7.0283538)",,,,
50177040,False,,residential,30,True,230.078,"LINESTRING (79.9231621 7.0303445, 79.9230609 7.0300242, 79.9229099 7.0293295, 79.9228735 7.0290161, 79.9228994 7.0286125, 79.922936 7.0283813, 79.92296 7.0283167)",,,,
579514504,True,Annasihena Road,tertiary,30,False,43.779,"LINESTRING (79.923797 7.0281604, 79.9235013 7.0280638, 79.9234202 7.0280373)",,,,
579514530,False,Annasihena Road,tertiary,40,True,333.798,"LINESTRING (79.923797 7.0281604, 79.9246198 7.0284518, 79.9249436 7.0285304, 79.9251978 7.0285444, 79.9256611 7.0286024, 79.9257027 7.0286076, 79.9258227 7.0286622, 79.9261138 7.0288764, 79.9262385 7.0289178, 79.9263512 7.0289124, 79.9265034 7.0288559, 79.9266512 7.0288167)",,,,
113341165,True,Main Street,tertiary,40,False,8.287,"LINESTRING (79.9221519 7.0282339, 79.9220769 7.0282302)",,,,
579514500,False,,residential,30,True,68.826,"LINESTRING (79.9221519 7.0282339, 79.9221888 7.0277967, 79.9222052 7.0276172)",,,,
698309417,True,Thewatta Road,tertiary,40,False,64.086,"LINESTRING (79.9217393 7.0283394, 79.9218053 7.028912)",,,,
451696753,True,Kadawatha Road,tertiary,40,False,20.733,"LINESTRING (79.9217393 7.0283394, 79.9218479 7.0283477, 79.9219266 7.0283538)",,,,
113341165,True,Main Street,tertiary,40,False,38.516,"LINESTRING (79.9225007 7.0282457, 79.9221519 7.0282339)",,,,
192089640,False,,residential,30,False,66.513,"LINESTRING (79.9225007 7.0282457, 79.9225443 7.0276491)",,,,
192089643,False,Siriwardane Road,tertiary,40,False,26.561,"LINESTRING (79.9218356 7.0271197, 79.9218163 7.0273578)",,,,
192089639,False,,residential,30,True,59.979,"LINESTRING (79.9218356 7.0271197, 79.9221495 7.0271701, 79.9221629 7.0271876, 79.9221434 7.0273885)",,,,
192089643,False,Siriwardane Road,tertiary,40,True,216.209,"LINESTRING (79.9218356 7.0271197, 79.9218799 7.0266151, 79.9218947 7.0264141, 79.9219045 7.0262039, 79.9219074 7.0259992, 79.9219121 7.025178)",,,,
113341164,False,Wendesi Watte Road,residential,30,True,28.873,"LINESTRING (79.9231675 7.0260315, 79.9229455 7.0258941)",,,,
113341164,False,Wendesi Watte Road,residential,30,False,277.861,"LINESTRING (79.9231675 7.0260315, 79.923394 7.0255023, 79.9234235 7.025485, 79.9234691 7.0254877, 79.9239895 7.0257911, 79.9240082 7.0258524, 79.9239439 7.0262104, 79.9238661 7.0262504, 79.9236092 7.0262072, 79.9231675 7.0260315)",,,,
113341164,False,Wendesi Watte Road,residential,30,True,277.861,"LINESTRING (79.9231675 7.0260315, 79.9236092 7.0262072, 79.9238661 7.0262504, 79.9239439 7.0262104, 79.9240082 7.0258524, 79.9239895 7.0257911, 79.9234691 7.0254877, 79.9234235 7.025485, 79.923394 7.0255023, 79.9231675 7.0260315)",,,,
579514503,True,,tertiary_link,40,False,14.811,"LINESTRING (79.9219266 7.0283538, 79.921937 7.028221)",,,,
451696753,True,Kadawatha Road,tertiary,40,False,114.66300000000001,"LINESTRING (79.9219266 7.0283538, 79.9222387 7.0283752, 79.9226189 7.028374, 79.92296 7.0283167)",,,,
113341167,False,Welisara-Ragama Road,secondary,70,False,10.678,"LINESTRING (79.9200591 7.028131, 79.9199637 7.028115)",4,B168,yes,
97907131,False,Ragama Flyover,secondary,60,True,353.89500000000004,"LINESTRING (79.9200591 7.028131, 79.9201539 7.0281457, 79.9202438 7.0281591, 79.9203376 7.0281697, 79.9204235 7.028179, 79.9205147 7.028187, 79.9205992 7.0281934, 79.9224197 7.0283089, 79.9224936 7.0283085, 79.9225981 7.0283028, 79.922692 7.0282928, 79.9227764 7.0282788, 79.9228609 7.0282622, 79.9229354 7.0282429, 79.9230098 7.0282216, 79.9230856 7.0281957, 79.9231452 7.0281724, 79.923233 7.0281359)",2,B168,,yes
579514498,True,Station Road,tertiary,40,False,43.445,"LINESTRING (79.9200591 7.028131, 79.9200949 7.028167, 79.9202317 7.0282256, 79.9204242 7.0282471)",,,,
486798674,False,Ragama-Kadawatha Road,secondary,70,False,13.733,"LINESTRING (79.9262412 7.0254624, 79.9262423 7.0253389)",2,B168,,
50176536,False,Samagi Mawatha,residential,40,True,417.656,"LINESTRING (79.9262412 7.0254624, 79.9259153 7.0256381, 79.9250168 7.0261878, 79.9246949 7.0263182, 79.9243663 7.0263954, 79.9242081 7.0264141, 79.9238513 7.0264048, 79.9235389 7.0263462, 79.9230789 7.0261745, 79.922985 7.0261119, 79.9229327 7.0260214, 79.9229455 7.0258941)",,,,
486798674,False,Ragama-Kadawatha Road,secondary,70,True,86.302,"LINESTRING (79.9262412 7.0254624, 79.9262559 7.0256021, 79.9262761 7.0257486, 79.9263136 7.0259855, 79.926323 7.0261133, 79.926327 7.0262331)",2,B168,,
579514498,True,Station Road,tertiary,40,False,145.49699999999999,"LINESTRING (79.9204242 7.0282471, 79.92123 7.0283043, 79.9214088 7.028317, 79.9215098 7.0283242, 79.9215396 7.0283263, 79.9216431 7.0283337, 79.9217393 7.0283394)",,,,
192089643,False,Siriwardane Road,tertiary,40,True,69.062,"LINESTRING (79.9217478 7.0282064, 79.9217978 7.0275873)",,,,
451696754,True,,tertiary_link,40,False,14.819,"LINESTRING (79.9217478 7.0282064, 79.9217393 7.0283394)",,,,
113341165,True,Main Street,tertiary,40,False,43.221999999999994,"LINESTRING (79.9217478 7.0282064, 79.9216545 7.0282004, 79.9215513 7.0281931, 79.92152 7.0281909, 79.9214282 7.0281845, 79.9213571 7.0281794)",,,,
113341164,False,Wendesi Watte Road,residential,30,False,139.264,"LINESTRING (79.9219121 7.025178, 79.9221585 7.0253256, 79.9225264 7.0255684, 79.9229455 7.0258941)",,,,
192089643,False,Siriwardane Road,tertiary,40,False,216.209,"LINESTRING (79.9219121 7.025178, 79.9219074 7.0259992, 79.9219045 7.0262039, 79.9218947 7.0264141, 79.9218799 7.0266151, 79.9218356 7.0271197)",,,,
192089643,False,Siriwardane Road,tertiary,40,True,76.893,"LINESTRING (79.9219121 7.025178, 79.9217605 7.0246572, 79.9217226 7.0245126)",,,,
113341167,False,Welisara-Ragama Road,secondary,70,False,30.877,"LINESTRING (79.9199637 7.028115, 79.9196876 7.0280701)",4,B168,yes,
113341167,False,Welisara-Ragama Road,secondary,70,True,10.678,"LINESTRING (79.9199637 7.028115, 79.9200591 7.028131)",4,B168,yes,
122738111,False,Convent road,unclassified,40,True,190.471,"LINESTRING (79.9199637 7.028115, 79.9195603 7.0297805)",,,,
122738111,False,Convent road,unclassified,40,False,190.471,"LINESTRING (79.9195603 7.0297805, 79.9199637 7.028115)",,,,
452749433,False,Bandaranayake Mawatha,tertiary,40,False,80.079,"LINESTRING (79.9252739 7.0221346, 79.9245484 7.0221472)",,,,
452749433,False,Bandaranayake Mawatha,tertiary,40,True,41.331,"LINESTRING (79.9252739 7.0221346, 79.9256484 7.0221366)",,,,
122738397,False,Bandaranayake Mawatha,tertiary,40,False,17.582,"LINESTRING (79.927184 7.0234472, 79.9271274 7.0232994)",,,,
