osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,tunnel
537789729,,,residential,,False,False,192.236,"LINESTRING (80.2378227 7.2948495, 80.2377724 7.2946898, 80.2377781 7.2945268, 80.238096 7.2937301, 80.2381801 7.2932835, 80.238212 7.2932022)",,
537789729,,,residential,,False,True,192.236,"LINESTRING (80.238212 7.2932022, 80.2381801 7.2932835, 80.238096 7.2937301, 80.2377781 7.2945268, 80.2377724 7.2946898, 80.2378227 7.2948495)",,
382257562,AA006,Ambepussa - Kurunegala Road,trunk,60,False,False,19.794,"LINESTRING (80.2404049 7.2924461, 80.2404339 7.2924725, 80.240487 7.292532, 80.2405032 7.2925893)",,
382257562,AA006,Ambepussa - Kurunegala Road,trunk,60,False,True,293.65,"LINESTRING (80.2404049 7.2924461, 80.239838 7.2920817, 80.2388085 7.2914766, 80.2381924 7.2909858)",,
"[630999076, 631047908]",,,unclassified,,False,False,188.612,"LINESTRING (80.2404049 7.2924461, 80.2405756 7.2921981, 80.2408095 7.2918512, 80.240923 7.2915718, 80.2412197 7.2909617)",,
"[631047908, 630999076]",,,unclassified,,False,True,188.612,"LINESTRING (80.2412197 7.2909617, 80.240923 7.2915718, 80.2408095 7.2918512, 80.2405756 7.2921981, 80.2404049 7.2924461)",,
"[368712827, 631047910]",,,residential,30,False,True,198.1,"LINESTRING (80.2393344 7.2896157, 80.2393052 7.28964, 80.23918 7.2898249, 80.2388124 7.2902008, 80.2385066 7.290576, 80.2381924 7.2909858)",,
367495660,,,residential,30,False,False,589.839,"LINESTRING (80.235169 7.2915524, 80.2352242 7.2916528, 80.2352511 7.291855, 80.2353384 7.2921887, 80.2353169 7.2922871, 80.2350379 7.2925212, 80.2349628 7.2929123, 80.2349387 7.2932289, 80.2349628 7.2933088, 80.2352311 7.2935216, 80.2352659 7.2935961, 80.2352418 7.2937185, 80.2349146 7.2942532, 80.2346195 7.2946656, 80.2346188 7.2947339, 80.2351855 7.2957405, 80.2354679 7.2961294)",,
107949060,,Janaraja Mawatha,tertiary,50,False,False,87.547,"LINESTRING (80.2397625 7.2960695, 80.2394756 7.2968036)",,
107949060,,Janaraja Mawatha,tertiary,50,False,True,311.728,"LINESTRING (80.2397625 7.2960695, 80.2403194 7.294739, 80.2400126 7.2944776, 80.2394521 7.2940679, 80.2392488 7.2938868)",,
638148157,,,unclassified,,False,True,387.755,"LINESTRING (80.2397625 7.2960695, 80.2393294 7.2959348, 80.2391068 7.2959277, 80.2390113 7.2958481, 80.2389411 7.2958874, 80.2385861 7.2963632, 80.2383685 7.2973922, 80.238441 7.2975307, 80.2385483 7.2976465, 80.2391755 7.2978536)",,
107949060,,Janaraja Mawatha,tertiary,50,False,False,121.356,"LINESTRING (80.2394756 7.2968036, 80.2391755 7.2978536)",,
107949060,,Janaraja Mawatha,tertiary,50,False,True,87.547,"LINESTRING (80.2394756 7.2968036, 80.2397625 7.2960695)",,
638148158,,,unclassified,,False,False,88.285,"LINESTRING (80.2394756 7.2968036, 80.2402145 7.2971089)",,
638148158,,,unclassified,,False,True,88.285,"LINESTRING (80.2402145 7.2971089, 80.2394756 7.2968036)",,
98568325,AA006,Ambepussa - Kurunegala Road,trunk,60,False,False,58.458,"LINESTRING (80.2406216 7.294102, 80.2408228 7.2941739, 80.2411298 7.2942488)",,
"[382257562, 98568324, 98568325]",AA006,Ambepussa - Kurunegala Road,trunk,60,False,True,155.94799999999998,"LINESTRING (80.2406216 7.294102, 80.2405492 7.2940249, 80.2405171 7.2939238, 80.2405086 7.293131, 80.2405266 7.292874, 80.2405304 7.2927334)",yes,
"[308108668, 98568326]",B9,Alawwa-Giriulla Road,secondary,50,False,False,167.35299999999998,"LINESTRING (80.2406216 7.294102, 80.2404305 7.2940509, 80.2402008 7.29398, 80.2398588 7.2937864, 80.2397236 7.2937208, 80.2396066 7.2937055, 80.2395216 7.2937055, 80.2394404 7.2937358, 80.2393899 7.2937735, 80.23938 7.2937809, 80.2393656 7.2937916, 80.2393427 7.2938087, 80.2393243 7.293824, 80.2393022 7.2938424, 80.2392488 7.2938868)",,
"[663429408, 663429409, 663429407]",,Temple Road,residential,,False,False,106.18200000000002,"LINESTRING (80.2403185 7.2937814, 80.2404459 7.2938014, 80.2405747 7.2938706, 80.2407356 7.2940049, 80.2409649 7.2940901, 80.2410776 7.2941765, 80.2411298 7.2942488)",,yes
98568325,AA006,Ambepussa - Kurunegala Road,trunk,60,False,False,353.861,"LINESTRING (80.2411298 7.2942488, 80.2415711 7.2943774, 80.2417357 7.2944638, 80.2418742 7.2945843, 80.2423758 7.2951401, 80.2427195 7.2956664, 80.2433533 7.2964255)",,
98568325,AA006,Ambepussa - Kurunegala Road,trunk,60,False,True,58.458,"LINESTRING (80.2411298 7.2942488, 80.2408228 7.2941739, 80.2406216 7.294102)",,
"[663429408, 663429409, 663429407]",,Temple Road,residential,,False,True,106.18200000000002,"LINESTRING (80.2411298 7.2942488, 80.2410776 7.2941765, 80.2409649 7.2940901, 80.2407356 7.2940049, 80.2405747 7.2938706, 80.2404459 7.2938014, 80.2403185 7.2937814)",,yes
107949060,,Janaraja Mawatha,tertiary,50,False,True,121.356,"LINESTRING (80.2391755 7.2978536, 80.2394756 7.2968036)",,
638148157,,,unclassified,,False,False,387.75500000000005,"LINESTRING (80.2391755 7.2978536, 80.2385483 7.2976465, 80.238441 7.2975307, 80.2383685 7.2973922, 80.2385861 7.2963632, 80.2389411 7.2958874, 80.2390113 7.2958481, 80.2391068 7.2959277, 80.2393294 7.2959348, 80.2397625 7.2960695)",,
