osmid,name,highway,maxspeed,oneway,reversed,length,ref,geometry,bridge
51080358,Uththararamaya Road,tertiary,40,False,False,67.246,,"LINESTRING (79.9132189 7.1169056, 79.9126096 7.1169192)",
423531495,Minuwangoda-Ekala Road,secondary,50,False,True,30.368,B111,"LINESTRING (79.9132189 7.1169056, 79.9130258 7.116711)",
423531495,Minuwangoda-Ekala Road,secondary,50,False,False,69.679,B111,"LINESTRING (79.9132189 7.1169056, 79.9134571 7.1171261, 79.9136767 7.1173372)",
423600006,Minuwangoda-Ekala Road,secondary,50,False,True,26.272,B111,"LINESTRING (79.9178086 7.119568, 79.9176334 7.119408)",
313915738,,residential,30,False,True,150.882,,"LINESTRING (79.9178086 7.119568, 79.9176298 7.119907, 79.91749 7.1202305, 79.9172812 7.1208173)",
423600006,Minuwangoda-Ekala Road,secondary,50,False,False,21.544,B111,"LINESTRING (79.9178086 7.119568, 79.9179337 7.1196768, 79.9179584 7.1196917)",
51080358,Uththararamaya Road,tertiary,40,False,True,67.246,,"LINESTRING (79.9126096 7.1169192, 79.9132189 7.1169056)",
313915727,Silver Tarace Road,residential,30,False,False,208.97299999999998,,"LINESTRING (79.9186813 7.1219298, 79.918633 7.1210196, 79.9186959 7.1206815, 79.9188875 7.1200871)",
423600006,Minuwangoda-Ekala Road,secondary,50,False,False,26.272,B111,"LINESTRING (79.9176334 7.119408, 79.9178086 7.119568)",
423600006,Minuwangoda-Ekala Road,secondary,50,False,True,2.698,B111,"LINESTRING (79.9176334 7.119408, 79.9176177 7.1193894)",
422172220,Pubudu Mawatha,residential,30,False,False,97.338,,"LINESTRING (79.9176334 7.119408, 79.9174957 7.1195664, 79.9170183 7.1200348)",
423600006,Minuwangoda-Ekala Road,secondary,50,False,False,39.806,B111,"LINESTRING (79.9182161 7.1198325, 79.9185423 7.1199854)",
423600006,Minuwangoda-Ekala Road,secondary,50,False,True,32.459,B111,"LINESTRING (79.9182161 7.1198325, 79.9179584 7.1196917)",
422172223,Uswatta Plant Nursery,residential,30,False,True,137.75799999999998,,"LINESTRING (79.9182161 7.1198325, 79.9180117 7.1201877, 79.9178855 7.1204735, 79.9178659 7.1207641, 79.9179034 7.1209876)",
422172223,Uswatta Plant Nursery,residential,30,False,False,137.75799999999998,,"LINESTRING (79.9179034 7.1209876, 79.9178659 7.1207641, 79.9178855 7.1204735, 79.9180117 7.1201877, 79.9182161 7.1198325)",
423600006,Minuwangoda-Ekala Road,secondary,50,False,False,67.879,B111,"LINESTRING (79.9188875 7.1200871, 79.919472 7.1202775)",
313915727,Silver Tarace Road,residential,30,False,True,208.97299999999998,,"LINESTRING (79.9188875 7.1200871, 79.9186959 7.1206815, 79.918633 7.1210196, 79.9186813 7.1219298)",
423600006,Minuwangoda-Ekala Road,secondary,50,False,True,30.132,B111,"LINESTRING (79.9188875 7.1200871, 79.9188487 7.1200757, 79.9186257 7.12001)",
313915733,Sirilak Mawatha,residential,30,False,True,76.313,,"LINESTRING (79.9161906 7.1186286, 79.9159435 7.1192696)",
423531495,Minuwangoda-Ekala Road,secondary,50,False,False,102.718,B111,"LINESTRING (79.9161906 7.1186286, 79.9170682 7.1189368)",
423531495,Minuwangoda-Ekala Road,secondary,50,False,True,67.88,B111,"LINESTRING (79.9161906 7.1186286, 79.9156155 7.1184118)",
313915733,Sirilak Mawatha,residential,30,False,False,76.313,,"LINESTRING (79.9159435 7.1192696, 79.9161906 7.1186286)",
313915742,,residential,30,False,True,106.152,,"LINESTRING (79.9159435 7.1192696, 79.9168394 7.1196175)",
313915733,Sirilak Mawatha,residential,30,False,True,222.356,,"LINESTRING (79.9159435 7.1192696, 79.9157098 7.1199032, 79.9157008 7.1199275, 79.9154898 7.1204996, 79.9154766 7.1205312, 79.9152913 7.1209747, 79.9152629 7.121148)",
313915742,,residential,30,False,False,130.10899999999998,,"LINESTRING (79.9159435 7.1192696, 79.9149262 7.1189329, 79.9148196 7.1189266)",
313915726,Dimuthu Mawatha,residential,30,False,True,326.832,,"LINESTRING (79.9144592 7.1179593, 79.9142503 7.1205405, 79.9141955 7.120886)",
423531495,Minuwangoda-Ekala Road,secondary,50,False,False,50.559,B111,"LINESTRING (79.9144592 7.1179593, 79.9146227 7.1180339, 79.9147939 7.1181008, 79.9148816 7.1181351)",
423531495,Minuwangoda-Ekala Road,secondary,50,False,True,52.31699999999999,B111,"LINESTRING (79.9144592 7.1179593, 79.9143109 7.1178803, 79.9140664 7.117698)",
313915730,Siriperakum Mawatha,residential,30,False,False,90.278,,"LINESTRING (79.9148196 7.1189266, 79.9149099 7.118733, 79.9148816 7.1181351)",
