osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,bridge,junction,maxspeed
233637418,2,CV-4062,Avenida de la Independencia,tertiary,False,False,71.862,"LINESTRING (-0.421619 39.4308131, -0.4208681 39.4310982)",,,
44145130,,CV-4062,Avinguda de la Independència,tertiary,True,False,226.35,"LINESTRING (-0.421619 39.4308131, -0.4222469 39.4306121, -0.4226822 39.430488, -0.4237777 39.4302233, -0.4239357 39.4301856, -0.4239903 39.4301526, -0.4240764 39.4301007)",,,
44172043,2,CV-4062,Avenida de Francisco Císcar,tertiary,False,False,70.578,"LINESTRING (-0.4186091 39.4318163, -0.418018 39.4320558, -0.4178698 39.4320889)",,,
"[44145129, 233637418, 44172043]",2,CV-4062,"['Avenida de Francisco Císcar', 'Avenida de la Independencia']",tertiary,False,True,209.997,"LINESTRING (-0.4186091 39.4318163, -0.4189421 39.4317245, -0.4197732 39.4314634, -0.420278 39.4313213, -0.4208681 39.4310982)",yes,,
44172043,2,CV-4062,Avenida de Francisco Císcar,tertiary,False,False,120.18700000000001,"LINESTRING (-0.4178698 39.4320889, -0.4176778 39.432108, -0.416472 39.4321031)",,,
44172043,2,CV-4062,Avenida de Francisco Císcar,tertiary,False,True,70.578,"LINESTRING (-0.4178698 39.4320889, -0.418018 39.4320558, -0.4186091 39.4318163)",,,
44172043,2,CV-4062,Avenida de Francisco Císcar,tertiary,False,True,57.736,"LINESTRING (-0.4158005 39.4320786, -0.416472 39.4321031)",,,
413398241,,CV-406,Avenida de Francisco Císcar,tertiary,True,False,73.775,"LINESTRING (-0.4158005 39.4320786, -0.414948 39.4319971)",,,
383629882,,,Carrer del Doctor Fleming,residential,True,False,57.513000000000005,"LINESTRING (-0.4158005 39.4320786, -0.4157874 39.4320282, -0.4156784 39.4316087, -0.4156649 39.4315722)",,,
383629885,,,,tertiary,True,False,16.207,"LINESTRING (-0.414948 39.4319971, -0.414935 39.4319249, -0.4148883 39.4318616)",,roundabout,
