osmid,highway,maxspeed,junction,oneway,reversed,length,geometry,name,lanes,ref,access,tunnel,bridge
68152765,residential,30,roundabout,True,False,18.206000000000003,"LINESTRING (-2.9469687 42.6818125, -2.9469727 42.6818286, -2.9469837 42.6818428, -2.9470005 42.6818536, -2.9470211 42.6818598, -2.9470433 42.6818606, -2.9470647 42.681856, -2.9470829 42.6818465, -2.9470958 42.6818332, -2.947102 42.6818175, -2.9471009 42.6818011)",,,,,,
1069683686,residential,30,,False,True,144.54399999999998,"LINESTRING (-2.9469687 42.6818125, -2.9468571 42.6818785, -2.9457035 42.6825608, -2.945591 42.6826274)",Avenida República Argentina,,,,,
1069683686,residential,30,,False,False,144.54399999999998,"LINESTRING (-2.945591 42.6826274, -2.9457035 42.6825608, -2.9468571 42.6818785, -2.9469687 42.6818125)",Avenida República Argentina,,,,,
1069683687,residential,30,,True,False,82.33599999999998,"LINESTRING (-2.945591 42.6826274, -2.9456807 42.6827061, -2.9458566 42.6828606, -2.9458791 42.6828804, -2.9461724 42.6831379, -2.9462388 42.6831944)",Calle del Río Ebro,,,,,
1069683688,residential,30,,False,True,93.57600000000002,"LINESTRING (-2.945591 42.6826274, -2.9454829 42.6826928, -2.9451693 42.6828792, -2.9448046 42.6831035, -2.9447085 42.6831634)",Avenida República Argentina,,,,,
24266812,residential,30,,False,True,153.318,"LINESTRING (-2.9447085 42.6831634, -2.9446034 42.6832292, -2.9444435 42.6833288, -2.9440506 42.6835652, -2.943718 42.683767, -2.9433625 42.6839818, -2.9432659 42.6840445)",Avenida República Argentina,,,,,
1069683688,residential,30,,False,False,93.57600000000001,"LINESTRING (-2.9447085 42.6831634, -2.9448046 42.6831035, -2.9451693 42.6828792, -2.9454829 42.6826928, -2.945591 42.6826274)",Avenida República Argentina,,,,,
1069683689,residential,30,,False,False,107.227,"LINESTRING (-2.9447085 42.6831634, -2.9446254 42.6830886, -2.9446064 42.6830727, -2.9443375 42.6828383, -2.9439612 42.6825096, -2.9438634 42.6824259)",Calle San Agustín,,,,,
177680936,residential,30,,True,False,111.87599999999999,"LINESTRING (-2.9467322 42.6836428, -2.9468025 42.6836009, -2.947611 42.6831197, -2.9476763 42.6830914, -2.9477656 42.6830888, -2.9478382 42.6830857)",Calle Alfonso VI,,,,,
177681089,residential,30,,True,False,87.479,"LINESTRING (-2.9467322 42.6836428, -2.9467751 42.6836837, -2.9473596 42.6842058, -2.9474086 42.6842524)",Calle del Río Ebro,,,,,
