osmid,ref,highway,junction,oneway,reversed,length,geometry,name,lanes,maxspeed
29563139,LR-250,secondary,roundabout,True,False,4.748,"LINESTRING (-2.4243064 42.4234896, -2.4243633 42.4234973)",,,
29563139,LR-250,secondary,roundabout,True,False,26.198,"LINESTRING (-2.4240954 42.423327, -2.4241167 42.4233714, -2.4241502 42.4234115, -2.4241943 42.4234456, -2.4242472 42.423472, -2.4243064 42.4234896)",,,
562114948,LR-552,tertiary,,True,False,32.916,"LINESTRING (-2.4240954 42.423327, -2.4240223 42.4234738, -2.4239225 42.4235924)",Calle Alberite,,
96979779,LR-551,tertiary,,True,False,52.457,"LINESTRING (-2.4128613 42.4214994, -2.4133565 42.4217976)",,,
462175330,,residential,,False,False,60.97,"LINESTRING (-2.419721 42.4256023, -2.4197992 42.4257451, -2.4199217 42.4257977, -2.420109 42.4259151, -2.4202073 42.4259955)",Calle de las Parras,,
635046044,LR-552,tertiary,,False,False,26.954,"LINESTRING (-2.419721 42.4256023, -2.419589 42.4256645, -2.4194937 42.42577)",Calle Alberite,,
635046044,LR-552,tertiary,,False,True,21.462,"LINESTRING (-2.419721 42.4256023, -2.4198676 42.4255671, -2.4199749 42.4255653)",Calle Alberite,,
96979794,LR-551,tertiary,,False,False,22.902,"LINESTRING (-2.4185431 42.4256197, -2.4186649 42.425805)",Avenida de Cameros,,
96979794,LR-551,tertiary,,False,True,7.374,"LINESTRING (-2.4185431 42.4256197, -2.4184974 42.4255626)",Avenida de Cameros,,
1266812605,,residential,,False,False,59.568999999999996,"LINESTRING (-2.4185431 42.4256197, -2.4187769 42.4256242, -2.4189578 42.4255837, -2.4190737 42.4255447, -2.4192261 42.4255327, -2.4192481 42.4255348)",Calle Oeste,,
96982996,LR-551,tertiary,,False,False,80.765,"LINESTRING (-2.4177208 42.430069, -2.4177461 42.4293429)",Calle Anastasio Mateo,,
1266812578,LR-551,tertiary,,False,True,43.746,"LINESTRING (-2.4177208 42.430069, -2.4177161 42.4304624)",Calle Anastasio Mateo,,
96982999,,residential,,False,False,89.816,"LINESTRING (-2.4177208 42.430069, -2.4179921 42.4300769, -2.4182131 42.4300287, -2.4183036 42.4299824, -2.41859 42.429696)",Calle Santa María de la Cabeza,,
1266812577,,residential,,False,True,75.501,"LINESTRING (-2.4177208 42.430069, -2.4175197 42.4300811, -2.4172735 42.4299984, -2.4168743 42.4298489)",Calle Rafael Azcona,,
96979800,LR-551,tertiary,,False,False,68.972,"LINESTRING (-2.4133565 42.4217976, -2.4139061 42.4222668)",Avenida de Cameros,,
96982996,LR-551,tertiary,,False,True,12.434,"LINESTRING (-2.4191859 42.4265058, -2.419111 42.426603)",Calle Anastasio Mateo,,
