osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ref,name,access,bridge,junction,tunnel
80528745,True,1,motorway_link,20,False,93.87100000000001,"LINESTRING (2.1847865 41.4829324, 2.1847675 41.4833077, 2.184754 41.4834786, 2.184734 41.4836035, 2.1847171 41.4836631, 2.1846975 41.4837056, 2.1846531 41.4837623)",,,,,,
"[399022289, 552164729, 288141933]",True,2,motorway,50,False,81.497,"LINESTRING (2.1847865 41.4829324, 2.1847307 41.4831464, 2.1846478 41.4833233, 2.184547 41.4834884, 2.1845064 41.4835546, 2.1844807 41.4835848, 2.1844523 41.4836153)",C-17,Autovia de l'Ametlla,yes,,,
33703911,True,1,tertiary,40,False,14.435,"LINESTRING (2.192369 41.4789269, 2.1924085 41.4790533)",BV-5011,,,,,
33104039,False,1,residential,30,True,50.447,"LINESTRING (2.182065 41.4860594, 2.1822523 41.4858521, 2.1824271 41.4856965)",,Carrer dels Quarters,,,,
33207427,False,1,residential,30,False,76.109,"LINESTRING (2.182065 41.4860594, 2.1819448 41.4859999, 2.1815521 41.4858158, 2.1814682 41.4857735, 2.1813841 41.4857311, 2.1812979 41.4856877)",,avinguda de la Riera de Sant Cugat,yes,,,
550331404,True,1,tertiary,,False,23.52,"LINESTRING (2.1924178 41.4823973, 2.192565 41.4825778)",BV-5001,Carretera de la Roca,,,,
"[33235014, 1207819230]",False,1,tertiary,,True,313.694,"LINESTRING (2.1924178 41.4823973, 2.1923031 41.4819375, 2.1922528 41.4815792, 2.1922657 41.4811038, 2.1922686 41.4808014, 2.1922705 41.4805967, 2.1922666 41.480108, 2.1922762 41.4800019, 2.1922781 41.4797948, 2.1922801 41.4795865)",BV-5001,Carretera de la Roca,,,,
33585961,False,1,residential,,True,7.914,"LINESTRING (2.1865796 41.4835071, 2.1866379 41.4834509)",,carrer del Bogatell,,,,
33823285,True,1,living_street,30,False,40.512,"LINESTRING (2.1865796 41.4835071, 2.1864073 41.4835994, 2.186282 41.4836547, 2.1861649 41.4836954)",,carrer del Bogatell,yes,,,
550317650,True,1,tertiary,,False,16.669,"LINESTRING (2.1922153 41.4827444, 2.1923903 41.4826717)",BV-5012,,,,,
"[109400831, 1106687629, 127994767]",False,1,tertiary,,False,146.527,"LINESTRING (2.1922153 41.4827444, 2.190582 41.48294, 2.1905744 41.4829409, 2.1905644 41.482942, 2.1905416 41.4829445, 2.1904781 41.482951)",BV-5012,Pont de Montcada,,yes,,
33703935,True,,tertiary,40,False,17.096,"LINESTRING (2.1925454 41.4791128, 2.1926807 41.4790659, 2.1927332 41.479051)",BV-5011,Carretera de Badalona,,,,
558200156,True,1,tertiary,40,False,12.808,"LINESTRING (2.1925454 41.4791128, 2.1925855 41.4791722, 2.1925916 41.4792206)",BV-5001,,,,roundabout,
33703947,True,1,tertiary,40,False,22.378,"LINESTRING (2.1927332 41.479051, 2.1926602 41.479154, 2.192647 41.4791734, 2.1925916 41.4792206)",BV-5011,Carretera de Badalona,,,,
"[1207819230, 33235014]",False,1,tertiary,,False,313.69399999999996,"LINESTRING (2.1922801 41.4795865, 2.1922781 41.4797948, 2.1922762 41.4800019, 2.1922666 41.480108, 2.1922705 41.4805967, 2.1922686 41.4808014, 2.1922657 41.4811038, 2.1922528 41.4815792, 2.1923031 41.4819375, 2.1924178 41.4823973)",BV-5001,Carretera de la Roca,,,,
435698683,True,1,tertiary,40,False,25.731,"LINESTRING (2.1922801 41.4795865, 2.1922876 41.4793995, 2.1922833 41.4793553)",BV-5001,Carretera de la Roca,,,,
