osmid,oneway,name,highway,reversed,length,lanes,geometry,width,ref,junction,maxspeed,bridge
56661704,True,Carrer de la Verge de Loreto,residential,False,89.089,,"LINESTRING (2.8440039 41.7016619, 2.8431166 41.7012113)",,,,,
78627439,True,Carrer de Vincenç Bou,residential,False,53.485,,"LINESTRING (2.8440039 41.7016619, 2.8444421 41.7013093)",,,,,
78731979,True,Avinguda de Just Marles,tertiary,False,33.028,1,"LINESTRING (2.8448127 41.6980258, 2.8448731 41.6978843, 2.8449335 41.6977428)",,,,,
78732016,False,Avinguda de Just Marles,tertiary,False,118.88399999999999,2,"LINESTRING (2.8448127 41.6980258, 2.8447871 41.6980586, 2.8446048 41.6983149, 2.8444991 41.6984636, 2.8444931 41.6984721, 2.844134 41.6989672)",20,,,,
178010264,True,Avinguda de la Vila de Blanes,secondary,False,29.799,,"LINESTRING (2.8416886 41.7008043, 2.8417025 41.7008808, 2.8417454 41.7009464, 2.8418313 41.7010452)",,GI-682,,,
564825022,True,,secondary,False,15.261,,"LINESTRING (2.8416886 41.7008043, 2.8416286 41.7008442, 2.8415259 41.7008536)",,GI-682,roundabout,,
40773021,True,,secondary,False,26.891,,"LINESTRING (2.8415259 41.7008536, 2.841209 41.7008036)",,GI-682,roundabout,,
40773021,True,,secondary,False,15.45,,"LINESTRING (2.841209 41.7008036, 2.8411245 41.700785, 2.8410485 41.7007388)",,GI-682,roundabout,,
40773035,True,Avinguda del Rieral,residential,False,76.682,,"LINESTRING (2.841209 41.7008036, 2.8410829 41.7008268, 2.8409568 41.7008788, 2.8404909 41.7012169)",,,,,
40773021,True,,secondary,False,9.3,,"LINESTRING (2.8410485 41.7007388, 2.8410337 41.7006559)",,GI-682,roundabout,,
178010267,True,Avinguda de la Vila de Blanes,secondary,False,28.175,,"LINESTRING (2.8410337 41.7006559, 2.840878 41.7005353, 2.8407948 41.700476)",,GI-682,,,
564825075,True,,secondary,False,17.377,2,"LINESTRING (2.8410337 41.7006559, 2.8410568 41.7006006, 2.8411681 41.700548)",,GI-682,roundabout,,
40773022,True,Avinguda de la Vila de Blanes,secondary,False,32.014,,"LINESTRING (2.8407948 41.700476, 2.8409277 41.7005041, 2.8411681 41.700548)",,GI-682,,,
183253025,False,Avinguda de la Vila de Blanes,secondary,False,2.334,2,"LINESTRING (2.8407948 41.700476, 2.8407805 41.7004746, 2.8407669 41.7004734)",,GI-682,,40,
183253025,False,Avinguda de la Vila de Blanes,secondary,False,98.11500000000001,2,"LINESTRING (2.8407669 41.7004734, 2.8404656 41.7004386, 2.8402068 41.7004656, 2.8396301 41.7005754, 2.8396103 41.7005792)",,GI-682,,40,
183253025,False,Avinguda de la Vila de Blanes,secondary,True,2.334,2,"LINESTRING (2.8407669 41.7004734, 2.8407805 41.7004746, 2.8407948 41.700476)",,GI-682,,40,
40773048,True,Carrer de la Riera,residential,False,74.71300000000001,,"LINESTRING (2.8396103 41.7005792, 2.8396508 41.700477, 2.8397839 41.7001997, 2.8398394 41.700046, 2.8398784 41.6999383)",,,,,
183253025,False,Avinguda de la Vila de Blanes,secondary,False,35.469,2,"LINESTRING (2.8396103 41.7005792, 2.8393626 41.7006303, 2.839197 41.7006598)",,GI-682,,40,
183253025,False,Avinguda de la Vila de Blanes,secondary,True,98.115,2,"LINESTRING (2.8396103 41.7005792, 2.8396301 41.7005754, 2.8402068 41.7004656, 2.8404656 41.7004386, 2.8407669 41.7004734)",,GI-682,,40,
300948095,False,Avinguda de la Vila de Blanes,secondary,True,20.057,4,"LINESTRING (2.8384268 41.7007672, 2.8386652 41.700738)",,GI-682,,,
40773037,True,,secondary,False,76.746,,"LINESTRING (2.8384268 41.7007672, 2.8381202 41.7008584, 2.8378633 41.7010259, 2.8378151 41.7010894, 2.8377383 41.7011904)",,GI-680,,50,
134377964,False,Avinguda de la Vila de Blanes,secondary,False,64.714,,"LINESTRING (2.8384268 41.7007672, 2.8380507 41.7007865, 2.8376494 41.7007633)",,GI-682,,,
46724863,True,,secondary,False,62.435,,"LINESTRING (2.8376494 41.7007633, 2.8377665 41.7009019, 2.8377878 41.7010113, 2.8377583 41.701078, 2.8376673 41.7012839)",,GI-680,,50,
134377964,False,Avinguda de la Vila de Blanes,secondary,True,64.714,,"LINESTRING (2.8376494 41.7007633, 2.8380507 41.7007865, 2.8384268 41.7007672)",,GI-682,,,
303556306,False,Avinguda de la Vila de Blanes,secondary,False,179.751,,"LINESTRING (2.8376494 41.7007633, 2.8368838 41.7006782, 2.8355118 41.7005068)",,GI-682,,,
303556307,False,Avinguda de la Vila de Blanes,secondary,False,14.633,,"LINESTRING (2.8355118 41.7005068, 2.8353384 41.7004832)",,GI-682,,,
56661707,True,,secondary_link,False,36.838,,"LINESTRING (2.8355118 41.7005068, 2.8353995 41.7005439, 2.8353523 41.7005872, 2.8353319 41.7006621, 2.8353787 41.7007636)",,,,,
303556306,False,Avinguda de la Vila de Blanes,secondary,True,179.751,,"LINESTRING (2.8355118 41.7005068, 2.8368838 41.7006782, 2.8376494 41.7007633)",,GI-682,,,
28788502,False,Carrer d'Isidre Nonell,residential,True,192.59799999999998,,"LINESTRING (2.8394726 41.6970031, 2.8379042 41.6974167, 2.8375375 41.6975128, 2.83727 41.6975216)",,,,,
212723436,False,Carrer de Picasso,residential,False,88.05,,"LINESTRING (2.8394726 41.6970031, 2.839925 41.6972396, 2.8402891 41.6973972, 2.8403748 41.6973844)",,,,,
212723436,False,Carrer de Picasso,residential,True,141.014,,"LINESTRING (2.8394726 41.6970031, 2.8388794 41.6966595, 2.8380772 41.6962828)",,,,,
