osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,access,width
294837109,True,2,N-2,Camí Ral,primary,50,False,17.025,"LINESTRING (2.3644061 41.4906472, 2.3642188 41.4905859)",,,
10597035,True,,BV-5023,Carretera de Vilassar de Dalt,primary_link,50,False,18.359,"LINESTRING (2.3644061 41.4906472, 2.3643049 41.4906695, 2.3641999 41.4907045)",,,
36704665,True,2,N-II,Camí Ral,primary,50,False,67.902,"LINESTRING (2.3578576 41.4886721, 2.3570935 41.4884593)",,,
"[35821212, 35821213]",True,,,Carrer de la Plaça,living_street,,False,44.041,"LINESTRING (2.3578576 41.4886721, 2.357813 41.4887201, 2.3577837 41.4887633, 2.3576875 41.4888873, 2.3575898 41.4890133)",,,
37110564,True,2,N-II,Camí Ral,primary,50,False,101.935,"LINESTRING (2.3619438 41.4898386, 2.3612374 41.4896315, 2.3611081 41.4895931, 2.3610372 41.4895743, 2.3608028 41.4895072)",,,
307220277,True,,,Carrer de l'Alfons,residential,,False,48.349,"LINESTRING (2.3619438 41.4898386, 2.3619091 41.4898791, 2.3616298 41.4902043)",,,
336784212,False,2,BV-5023,Carretera de Vilassar de Dalt,tertiary,50,False,82.689,"LINESTRING (2.3600806 41.4962943, 2.3598754 41.496815, 2.3598238 41.4969006, 2.3598105 41.4969227, 2.3597402 41.4969863)",,,
336784212,False,2,BV-5023,Carretera de Vilassar de Dalt,tertiary,50,True,86.71600000000001,"LINESTRING (2.3600806 41.4962943, 2.3601234 41.4961931, 2.360151 41.4961277, 2.3601989 41.4960144, 2.3603948 41.4955508)",,,
35428542,True,,,Carrer de Ramon Llull,residential,,False,41.544,"LINESTRING (2.3585075 41.4960656, 2.3587871 41.4957562)",,,
770891701,True,,,Carrer de Pompeu Fabra,residential,,False,41.721,"LINESTRING (2.3614914 41.492452, 2.3619249 41.49264)",,,
