osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,bridge,junction
128282356,CL-626,Calle Mayor,primary,50,False,False,45.249,,"LINESTRING (-4.843689 42.789053, -4.8433839 42.7893928)",,
280984327,CL-626,Carretera Puerto de Cerredo-Aguilar de Campoo,primary,50,False,True,47.986000000000004,2,"LINESTRING (-4.843689 42.789053, -4.8436393 42.7892941, -4.8436225 42.7894814)",,
691292503,CL-615,Calle Mayor,primary,50,False,False,72.426,,"LINESTRING (-4.843689 42.789053, -4.8437356 42.7889892, -4.8438244 42.7888821, -4.8440087 42.7885777, -4.8440467 42.7885243, -4.8440847 42.7884709)",,
285542447,CL-626,Calle Mayor,primary,50,False,True,13.404,2,"LINESTRING (-4.8421495 42.7901411, -4.8423 42.7900928)",,
131549513,,Calle Santa Ana,residential,,False,True,75.27199999999999,,"LINESTRING (-4.8421495 42.7901411, -4.8423203 42.7906656, -4.8424067 42.7907878)",,
285542447,CL-626,Calle Mayor,primary,50,False,False,54.336,2,"LINESTRING (-4.8421495 42.7901411, -4.8418312 42.7902391, -4.8416612 42.7902766, -4.8415182 42.7902819)",,
128279373,,,residential,,False,False,24.323,,"LINESTRING (-4.8415182 42.7902819, -4.8414976 42.7903662, -4.8413872 42.7904718)",,
285542447,CL-626,Calle Mayor,primary,50,False,False,75.942,2,"LINESTRING (-4.8415182 42.7902819, -4.8413636 42.7902521, -4.8411866 42.7901463, -4.8410287 42.7900291, -4.8409112 42.7899321, -4.8407821 42.7898903)",,
285542447,CL-626,Calle Mayor,primary,50,False,True,54.336,2,"LINESTRING (-4.8415182 42.7902819, -4.8416612 42.7902766, -4.8418312 42.7902391, -4.8421495 42.7901411)",,
285542447,CL-626,Calle Mayor,primary,50,False,False,35.414,2,"LINESTRING (-4.8426873 42.7899491, -4.8423 42.7900928)",,
58076943,,,residential,,True,False,29.644,,"LINESTRING (-4.8426873 42.7899491, -4.8427804 42.7899555, -4.8430455 42.7899188)",,
131555789,,Calle Herradura,residential,,False,True,99.288,,"LINESTRING (-4.8426873 42.7899491, -4.8425693 42.7898266, -4.8425134 42.7897516, -4.8424872 42.7896518, -4.8426602 42.7895043, -4.8428133 42.7896022, -4.842841 42.7895971, -4.8430408 42.7897198)",,
285542447,CL-626,Calle Mayor,primary,50,False,True,27.912,2,"LINESTRING (-4.8426873 42.7899491, -4.842781 42.7899069, -4.8428749 42.7898523, -4.8429551 42.7897946)",,
280984326,CL-626,Carretera Puerto de Cerredo - Aguilar de Campoo,primary,50,False,True,7.178,2,"LINESTRING (-4.8432872 42.789486, -4.8433397 42.7894342)",,
285542447,CL-626,Calle Mayor,primary,50,False,False,32.865,2,"LINESTRING (-4.8432872 42.789486, -4.8430408 42.7897198)",,
280984322,CL-626,Carretera Puerto de Cerredo-Aguilar de Campoo,primary,50,False,True,18.357,2,"LINESTRING (-4.8437321 42.7900014, -4.8438033 42.790158)",,
280984327,CL-626,Carretera Puerto de Cerredo-Aguilar de Campoo,primary,50,False,False,58.571,2,"LINESTRING (-4.8437321 42.7900014, -4.8437154 42.7899479, -4.8436432 42.7896494, -4.8436225 42.7894814)",,
44060467,,Calle Río Ebro,residential,,False,False,60.207,,"LINESTRING (-4.844583 42.7918788, -4.8452648 42.7916718)",,
100301626,CL-626,Carretera Puerto de Cerredo - Aguilar de Campoo,primary,50,False,False,182.774,2,"LINESTRING (-4.844583 42.7918788, -4.8445255 42.7917659, -4.8442696 42.7911845, -4.8438839 42.7903173)",,
100301626,CL-626,Carretera Puerto de Cerredo - Aguilar de Campoo,primary,50,False,True,96.978,2,"LINESTRING (-4.844583 42.7918788, -4.8449174 42.7925224, -4.8450162 42.7926908)",,
44060458,,Avenida de San Miguel,residential,,False,True,98.023,,"LINESTRING (-4.8452648 42.7916718, -4.8456899 42.7924963)",,
44060467,,Calle Río Ebro,residential,,False,False,42.302,,"LINESTRING (-4.8452648 42.7916718, -4.8457438 42.7915263)",,
44060467,,Calle Río Ebro,residential,,False,True,60.207,,"LINESTRING (-4.8452648 42.7916718, -4.844583 42.7918788)",,
44060467,,Calle Río Ebro,residential,,False,True,118.829,,"LINESTRING (-4.8476037 42.7909615, -4.8470286 42.7911361, -4.8466962 42.7912371, -4.8462581 42.7913701)",,
127947906,,Calle de Jorge Manrique,residential,,False,False,58.663,,"LINESTRING (-4.8476037 42.7909615, -4.8473959 42.7909121, -4.8469157 42.7908086)",,
127947906,,Calle de Jorge Manrique,residential,,False,True,29.510999999999996,,"LINESTRING (-4.8476037 42.7909615, -4.847723 42.7909825, -4.8478632 42.7910127, -4.8479523 42.7910319)",,
152016549,,Calle La Unión,residential,,True,False,3.334,,"LINESTRING (-4.8430455 42.7899188, -4.8430771 42.7899378)",,
