osmid,ref,highway,junction,oneway,reversed,length,geometry,lanes,name,maxspeed,bridge
478524027,Avinguda del Rei Jaume I,residential,roundabout,True,False,28.394,"LINESTRING (2.482501 39.5149027, 2.4825465 39.51487, 2.4826024 39.5148492, 2.4826639 39.5148421, 2.4827252 39.5148494, 2.4828009 39.5148748)",,,,
"[478524051, 384007055]",Ma-1013,residential,,False,True,278.24600000000004,"LINESTRING (2.482501 39.5149027, 2.4824078 39.5148365, 2.4823178 39.5147816, 2.4821502 39.5146895, 2.4818507 39.5145326, 2.4813637 39.514242, 2.4812642 39.5141858, 2.4807961 39.5139276, 2.4807121 39.5138867, 2.4805383 39.5138161, 2.4803228 39.5137423, 2.4800586 39.5136613, 2.4798145 39.5135973, 2.4797713 39.5135845)",2,"['avinguda del Rei Jaume I', 'Avinguda del Rei Jaume I']",40,
478524040,Avinguda del Rei Jaume I,residential,roundabout,True,False,25.357,"LINESTRING (2.482805 39.5151308, 2.4827338 39.5151523, 2.4826618 39.5151618, 2.48259 39.5151514, 2.4825273 39.5151225)",,,,
24515104,,residential,,False,False,179.20899999999997,"LINESTRING (2.4818661 39.5158335, 2.4817856 39.5159066, 2.4814654 39.5162532, 2.4813864 39.5163813, 2.4813392 39.5164578, 2.4812613 39.5166349, 2.4812381 39.5167083, 2.4811219 39.517131, 2.4810771 39.5172963)",,Gran Via del Puig de Galatzó,,
24515104,,residential,,False,True,97.323,"LINESTRING (2.4818661 39.5158335, 2.4819318 39.515766, 2.4820607 39.5156284, 2.48229 39.5153836, 2.482445 39.5152213, 2.4825273 39.5151225)",,Gran Via del Puig de Galatzó,,
24515146,,residential,,True,False,379.10999999999996,"LINESTRING (2.4818661 39.5158335, 2.4819788 39.5158972, 2.4830551 39.5164706, 2.4836719 39.5168004, 2.4843613 39.517169, 2.4848548 39.5174329, 2.4853452 39.5176948, 2.4855013 39.5177723)",1,gran via del Puig des Teix,,
"[24515104, 454664773, 454664774]",,residential,,False,False,130.638,"LINESTRING (2.4810771 39.5172963, 2.4810506 39.5173927, 2.4810196 39.5175071, 2.4810155 39.5175244, 2.4809899 39.5176177, 2.4809645 39.5177017, 2.4808895 39.5179295, 2.4807642 39.5181742, 2.4806353 39.5184167)",,Gran Via del Puig de Galatzó,,yes
24515104,,residential,,False,True,179.20899999999997,"LINESTRING (2.4810771 39.5172963, 2.4811219 39.517131, 2.4812381 39.5167083, 2.4812613 39.5166349, 2.4813392 39.5164578, 2.4813864 39.5163813, 2.4814654 39.5162532, 2.4817856 39.5159066, 2.4818661 39.5158335)",,Gran Via del Puig de Galatzó,,
454664774,,residential,,False,False,75.084,"LINESTRING (2.4806353 39.5184167, 2.4805302 39.518591, 2.4804683 39.5187015, 2.4804488 39.5187351, 2.4803066 39.5189821, 2.4802757 39.5190323)",,Gran Via del Puig de Galatzó,,
"[24515104, 454664773, 454664774]",,residential,,False,True,130.638,"LINESTRING (2.4806353 39.5184167, 2.4807642 39.5181742, 2.4808895 39.5179295, 2.4809645 39.5177017, 2.4809899 39.5176177, 2.4810155 39.5175244, 2.4810196 39.5175071, 2.4810506 39.5173927, 2.4810771 39.5172963)",,Gran Via del Puig de Galatzó,,yes
28095450,,residential,,True,False,62.22,"LINESTRING (2.4848441 39.5186563, 2.4852036 39.5181703)",,Carrer de Bernat de Santa Eugènia,,
24515143,,residential,,True,False,362.717,"LINESTRING (2.4848441 39.5186563, 2.4848044 39.5186372, 2.4833262 39.5178779, 2.4829779 39.5177061, 2.4828196 39.517624, 2.4824671 39.5175038, 2.4823458 39.5174822, 2.4822502 39.5174652, 2.4821378 39.517444, 2.4812282 39.5173138, 2.4810771 39.5172963)",,Gran Via del Puig Major,,
