osmid,oneway,name,highway,maxspeed,access,reversed,length,geometry,lanes,tunnel
23777603,False,San Bizente aldapa/Cuesta de San Vicente,living_street,20,destination,False,133.20800000000003,"LINESTRING (-2.672107 42.8476225, -2.6721098 42.8475814, -2.6721213 42.8474137, -2.6718164 42.8474118, -2.6716331 42.847415, -2.6715018 42.8474242, -2.6712162 42.8474615, -2.6710921 42.8474573, -2.67079 42.8473937)",,
243416851,True,Santa Maria kalea/Calle Santa María,living_street,20,destination,False,136.661,"LINESTRING (-2.672107 42.8476225, -2.6721676 42.8477169, -2.6722794 42.8481101, -2.6723247 42.8483053, -2.672404 42.8488271)",,
419401788,True,Euskal Herriaren adiskideen elkartearen kalea/Calle Sociedad Bascongada de los Amigos del País,living_street,20,destination,False,37.781,"LINESTRING (-2.6725207 42.8496247, -2.6729808 42.8496655)",,
243416858,True,Santa Maria kalea/Calle Santa María,living_street,20,destination,False,70.972,"LINESTRING (-2.6726485 42.850256, -2.672643 42.8502264, -2.6726138 42.8500707, -2.6725868 42.8499263, -2.6725207 42.8496247)",,
"[445214137, 13856094]",True,"['Santa Maria plaza/Plaza de Santa María', 'Eskola kalea/Calle las Escuelas']",living_street,20,destination,False,102.51599999999999,"LINESTRING (-2.6726485 42.850256, -2.6723046 42.8502893, -2.6722956 42.8502558, -2.6722769 42.8501861, -2.6722564 42.85011, -2.6722071 42.8499265, -2.6721269 42.8496345)",,
27050696,True,Santa Maria plaza/Plaza de Santa María,living_street,20,destination,False,17.317,"LINESTRING (-2.6728579 42.8502298, -2.6726485 42.850256)",,
243416856,True,Frai Zacarias Martinez kalea/Calle Fray Zacarías Martínez,living_street,20,destination,False,26.674999999999997,"LINESTRING (-2.6729808 42.8496655, -2.6729723 42.8497908, -2.6729534 42.8499044)",,
445214135,True,Frai Zacarias Martinez kalea/Calle Fray Zacarías Martínez,living_street,20,destination,False,98.51499999999999,"LINESTRING (-2.6729808 42.8496655, -2.6729902 42.84952, -2.6729887 42.8495053, -2.6729687 42.8492997, -2.6729316 42.8489937, -2.6729151 42.8488578, -2.6729075 42.8487953, -2.6729059 42.8487823)",,
235951605,True,Florida kalea/Calle Florida,secondary,50,,False,263.519,"LINESTRING (-2.6712469 42.8429649, -2.6720013 42.8430812, -2.6720606 42.8430907, -2.6723631 42.8431334, -2.6725242 42.8431526, -2.6735678 42.8433029, -2.6742658 42.8434034, -2.6743072 42.8434094, -2.6744173 42.8434253)",2,
462407705,True,Florida kalea/Calle Florida,tertiary,50,,False,56.228,"LINESTRING (-2.6675171 42.8424227, -2.6681129 42.8425149, -2.6681919 42.8425271)",1,
