osmid,oneway,name,highway,reversed,length,geometry,maxspeed,junction,ref,bridge,lanes
22769213,False,Karmen kalea,primary,False,35.922,"LINESTRING (-2.7323797 43.2207399, -2.7323914 43.2207313, -2.7324032 43.2207226, -2.7324315 43.2207041, -2.7324953 43.2206682, -2.732691 43.220574, -2.7327386 43.2205515)",,,,,
22769213,False,Karmen kalea,primary,True,53.92600000000001,"LINESTRING (-2.7323797 43.2207399, -2.7323563 43.2207598, -2.7323313 43.2207837, -2.7323009 43.22082, -2.7322714 43.2208583, -2.732244 43.2209029, -2.7322357 43.220918, -2.7322269 43.2209364, -2.732219 43.2209557, -2.7322111 43.2209757, -2.732197 43.2210143, -2.732185 43.2210504, -2.7321754 43.2210836, -2.7321666 43.2211192, -2.7321613 43.221143, -2.7321568 43.221165, -2.7321528 43.2211853, -2.7321523 43.2211879)",,,,,
27160472,True,Konbenio kalea,residential,False,56.562,"LINESTRING (-2.7323797 43.2207399, -2.7322522 43.2206279, -2.7319465 43.2203411)",30,,,,
316671198,True,,trunk,False,41.269000000000005,"LINESTRING (-2.7287568 43.2241494, -2.728766 43.224107, -2.7287664 43.2240661, -2.7287585 43.2240343, -2.7287455 43.224004, -2.7287268 43.2239772, -2.7287034 43.2239517, -2.7286718 43.2239278, -2.7286405 43.2239084, -2.7286035 43.2238924, -2.7285588 43.2238772, -2.7285157 43.2238706)",40,roundabout,,,
366556736,True,,trunk_link,False,250.72000000000003,"LINESTRING (-2.7287568 43.2241494, -2.7287914 43.2240959, -2.7288199 43.2240558, -2.7288391 43.2240309, -2.7288582 43.224009, -2.7288898 43.223975, -2.7289197 43.2239461, -2.7289555 43.2239179, -2.7289932 43.2238919, -2.7290353 43.2238681, -2.7290693 43.223853, -2.7291147 43.2238369, -2.7291618 43.2238209, -2.729221 43.2238063, -2.7292715 43.2237963, -2.7293326 43.2237892, -2.7293815 43.223787, -2.729419 43.2237869, -2.7294596 43.2237882, -2.7295102 43.2237911, -2.7295633 43.2237965, -2.72963 43.2238062, -2.7297003 43.2238189, -2.7297802 43.2238352, -2.730945 43.2241069, -2.731037 43.224127, -2.7311146 43.2241439, -2.7311776 43.2241562, -2.7312434 43.2241684, -2.7313261 43.2241805, -2.7315431 43.2242111)",,,,,
226147895,False,,trunk,False,23.042,"LINESTRING (-2.7315431 43.2242111, -2.7318114 43.2242798)",80,,N-634,,
"[22769222, 334419754, 205143156, 41293941, 41293942]",False,,trunk,True,626.4240000000002,"LINESTRING (-2.7315431 43.2242111, -2.7300841 43.2238275, -2.7299973 43.223804, -2.7299105 43.2237811, -2.729707 43.2237269, -2.7296562 43.2237123, -2.7296047 43.2236969, -2.7295196 43.2236711, -2.7294373 43.2236458, -2.7293578 43.223622, -2.7291675 43.2235596, -2.729146 43.2235519, -2.7291145 43.2235409, -2.7290823 43.2235294, -2.7289868 43.2234926, -2.7288723 43.2234469, -2.7288228 43.2234264, -2.7287751 43.2234058, -2.7286894 43.2233683, -2.728577 43.2233165, -2.7285166 43.223287, -2.728465 43.223261, -2.7284041 43.2232298, -2.72832 43.2231846, -2.7282731 43.2231586, -2.7282287 43.223133, -2.7281743 43.2231, -2.7280983 43.2230539, -2.7280086 43.2229983, -2.7279571 43.2229638, -2.7279114 43.2229328, -2.7278572 43.2228941, -2.7277146 43.2227888, -2.7275738 43.2226749, -2.7275059 43.2226158, -2.7274355 43.2225534, -2.7273123 43.2224342, -2.7272257 43.222347, -2.7271883 43.2223084, -2.72716 43.2222781, -2.7271328 43.2222475, -2.727108 43.2222184, -2.7270465 43.2221433, -2.7270077 43.2220943, -2.7269585 43.2220304, -2.7269342 43.2219977, -2.7269129 43.2219682, -2.7268687 43.2219043, -2.7268224 43.2218321, -2.7267825 43.2217679, -2.7267299 43.2216784, -2.7266813 43.2215932, -2.7266612 43.2215559, -2.7266446 43.2215237, -2.72661 43.2214552, -2.7265408 43.2213167, -2.7264297 43.2210724, -2.7262178 43.2206049)",80,,N-634,yes,
226147895,False,,trunk,True,23.042,"LINESTRING (-2.7318114 43.2242798, -2.7315431 43.2242111)",80,,N-634,,
423073086,True,,trunk_link,False,281.24999999999994,"LINESTRING (-2.7318114 43.2242798, -2.7312627 43.2240846, -2.7303577 43.2237852, -2.7302026 43.2237343, -2.7301019 43.223701, -2.730013 43.2236711, -2.7299493 43.2236476, -2.7298917 43.2236253, -2.7297948 43.2235874, -2.7297272 43.223561, -2.7296585 43.2235352, -2.7296049 43.2235157, -2.7295504 43.2234974, -2.729513 43.2234861, -2.7294776 43.2234766, -2.7294326 43.2234657, -2.7293854 43.2234556, -2.7293469 43.2234504, -2.7293098 43.2234466, -2.7292707 43.2234453, -2.7292271 43.2234446, -2.7291862 43.223445, -2.7291531 43.223446, -2.7291215 43.2234477, -2.7290929 43.2234509, -2.7290665 43.2234545, -2.7290376 43.2234598, -2.7290089 43.2234657, -2.7289655 43.2234773, -2.7289347 43.2234879, -2.728907 43.2235003, -2.7288801 43.2235154, -2.7288597 43.2235283, -2.7288355 43.2235456, -2.728809 43.2235667, -2.7287817 43.2235882, -2.7287571 43.2236093, -2.7287339 43.2236306, -2.7287058 43.2236605)",,,,,1
533465158,True,,trunk_link,False,28.221,"LINESTRING (-2.7287058 43.2236605, -2.7286942 43.2236797, -2.7286792 43.2237028, -2.7286589 43.223732, -2.7286381 43.2237616, -2.7286284 43.2237737, -2.728621 43.2237825, -2.7286134 43.2237903, -2.7286066 43.2237969, -2.7285941 43.2238078, -2.7285672 43.2238293, -2.7285546 43.2238392, -2.7285419 43.2238492, -2.7285157 43.2238706)",,,,,2
903781612,True,,primary,False,5.241,"LINESTRING (-2.7312075 43.2187173, -2.7312415 43.2186772)",30,roundabout,BI-635;Bi-3334,,
27160387,False,San Migel kalea,primary,False,142.796,"LINESTRING (-2.7312075 43.2187173, -2.7312456 43.2187504, -2.7312722 43.2187734, -2.7313046 43.2188021, -2.7313369 43.2188313, -2.7317193 43.2191879, -2.7318314 43.2192925, -2.7322966 43.2197268)",30,,BI-635;Bi-3334,,
"[903767844, 913837885]",True,,primary,False,7.536,"LINESTRING (-2.7331411 43.2203511, -2.7331096 43.2203409, -2.7330809 43.2203369, -2.7330516 43.2203374)",50,roundabout,,,
27160383,True,,primary,False,3.541,"LINESTRING (-2.7329407 43.2204007, -2.7329307 43.2204317)",50,roundabout,,,
27160383,True,,primary,False,3.339,"LINESTRING (-2.7330176 43.2205308, -2.7330576 43.220538)",50,roundabout,,,
22769213,False,Karmen kalea,primary,True,35.922000000000004,"LINESTRING (-2.7327386 43.2205515, -2.732691 43.220574, -2.7324953 43.2206682, -2.7324315 43.2207041, -2.7324032 43.2207226, -2.7323914 43.2207313, -2.7323797 43.2207399)",,,,,
913837891,True,Karmen kalea,primary,False,22.759999999999998,"LINESTRING (-2.7327386 43.2205515, -2.7328309 43.2205403, -2.7328605 43.2205371, -2.7328877 43.2205351, -2.7329241 43.2205334, -2.7330176 43.2205308)",,,,,
1005665992,False,San Pedro kalea,tertiary,False,40.94,"LINESTRING (-2.7363724 43.2230605, -2.7364118 43.2230899, -2.7364331 43.2231056, -2.7364579 43.2231231, -2.7364843 43.223141, -2.7365198 43.2231642, -2.7365452 43.22318, -2.7365765 43.2231986, -2.736608 43.2232164, -2.7366373 43.2232326, -2.7366683 43.2232485, -2.7366996 43.2232641, -2.7367302 43.2232791, -2.7367615 43.2232937)",,,,,
"[1006244696, 641866172]",False,San Pedro kalea,tertiary,True,125.063,"LINESTRING (-2.7363724 43.2230605, -2.7357154 43.2225301, -2.7356714 43.2224946, -2.7353382 43.2222256)",,,,,
