osmid,oneway,lanes,name,highway,reversed,length,geometry,access,ref,maxspeed,width,bridge
235634233,True,2,Avenida José Maria del Campo Llarena,residential,False,11.516,"LINESTRING (-16.5569138 28.4142026, -16.5569642 28.414109)",,,,,
235634232,False,,Avenida Blas Pérez González,residential,False,107.81099999999999,"LINESTRING (-16.5578719 28.4122471, -16.5577564 28.4121816, -16.5573541 28.4119537, -16.5571862 28.4118594, -16.5570116 28.4117594, -16.5569455 28.4117216)",,,,,
25157460,False,,,residential,False,226.40299999999996,"LINESTRING (-16.5503577 28.4136149, -16.5503645 28.4135291, -16.5504528 28.4128548, -16.5502234 28.412639, -16.5500088 28.4126316, -16.5499162 28.4127241, -16.5498699 28.4133866)",no,,,,
219239716,False,2,Calle Cabezas,secondary,False,10.865,"LINESTRING (-16.5503577 28.4136149, -16.550412 28.4135543, -16.5504246 28.413537)",,TF-312,,,
219239716,False,2,Calle Cabezas,secondary,True,195.557,"LINESTRING (-16.5503577 28.4136149, -16.5501584 28.413759, -16.5500816 28.4138313, -16.5497931 28.4142044, -16.5497101 28.4142733, -16.5496008 28.4143176, -16.5495465 28.4143183, -16.549493 28.4143054, -16.549434 28.4142747, -16.5492502 28.4141396, -16.5491184 28.4140809, -16.5489485 28.4140537, -16.5488053 28.4140588)",,TF-312,,,
"[25038720, 140057515]",False,,"['Plaza EL Callao', 'El Dolador']",residential,False,79.953,"LINESTRING (-16.5534552 28.4123668, -16.5534575 28.4122955, -16.5534569 28.4122763, -16.5534789 28.4122113, -16.553495 28.4121882, -16.5535121 28.4121636, -16.553565 28.4121234, -16.5537203 28.4120108, -16.5539527 28.4118402)",,,,,
48737699,False,4,Avenida Melchor Luz,residential,True,40.143,"LINESTRING (-16.5534552 28.4123668, -16.5533838 28.4123928, -16.5531902 28.4124686, -16.55308 28.4125131)",,,40,,
75076472,True,2,Avenida Melchor Luz,residential,False,61.717,"LINESTRING (-16.5534552 28.4123668, -16.5536708 28.4123708, -16.5538698 28.4123889, -16.5539755 28.4124099, -16.5540758 28.4124426)",,,40,,
217836095,True,2,,unclassified,False,11.649999999999999,"LINESTRING (-16.5518303 28.4127405, -16.5518884 28.4127272, -16.5519386 28.4126998)",,,,,
25038692,True,2,Avenida Melchor Luz,residential,False,48.254999999999995,"LINESTRING (-16.5519386 28.4126998, -16.5520924 28.4126176, -16.5521438 28.4125962, -16.5521975 28.4125827, -16.5523979 28.4125729)",,,,,
25038693,True,2,,unclassified,False,27.979,"LINESTRING (-16.5519386 28.4126998, -16.5519668 28.4126445, -16.5519749 28.4125957, -16.551951 28.4125329, -16.551892 28.4124781)",,,,,
27792297,True,2,Avenida Melchor Luz,residential,False,50.753,"LINESTRING (-16.5523979 28.4125729, -16.5522437 28.4125273, -16.5521392 28.4125091, -16.5520544 28.4124969, -16.551892 28.4124781)",,,,,
27792298,False,4,Avenida Melchor Luz,residential,False,68.17099999999999,"LINESTRING (-16.5523979 28.4125729, -16.5524778 28.4125839, -16.5526055 28.4125968, -16.5527205 28.4125939, -16.5528188 28.4125817, -16.5530124 28.4125389, -16.55308 28.4125131)",,,40,,
25031703,True,,Calle Álvarez Rixo,residential,False,54.018,"LINESTRING (-16.5566145 28.4148068, -16.5564971 28.4146881, -16.556261 28.4144336)",,,,,
714015330,True,2,Avenida José Maria del Campo Llarena,residential,False,73.292,"LINESTRING (-16.5566145 28.4148068, -16.5568581 28.414306, -16.5569138 28.4142026)",,,,,
47093926,True,2,Paseo Hermanos Fernández Perdigón,residential,False,29.629,"LINESTRING (-16.5548551 28.4129047, -16.5546051 28.4130552)",,,,,
"[751582459, 750793789, 94965326]",True,1,Avenida Melchor Luz,residential,False,134.025,"LINESTRING (-16.5548551 28.4129047, -16.5549448 28.4129581, -16.5552709 28.4131585, -16.5553665 28.4132195, -16.5558711 28.4135401, -16.5559716 28.4136035)",,,40,,
23322373,True,1,Avenida José Maria del Campo Llarena,residential,False,59.21300000000001,"LINESTRING (-16.5560334 28.415971, -16.5560205 28.4159414, -16.5560205 28.4159147, -16.556033 28.4158813, -16.5562738 28.4155743, -16.556311 28.415517)",,,,,
"[75076651, 441303998]",False,"['1', '2']",Calle Mequinez,residential,False,23.089,"LINESTRING (-16.5560334 28.415971, -16.5560509 28.4160055, -16.5560719 28.4160438, -16.5561125 28.4160857, -16.5561779 28.4161295)",,,,,
