osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,tunnel,access,width,junction,bridge
75503605,True,2,Avenida Manuel Agustín Heredia,primary,50,False,25.715,"LINESTRING (-4.4198336 36.7174864, -4.4197431 36.717633, -4.419732 36.7177001)",,,,,
357575329,False,2,Calle Molina Lario,residential,30,True,22.404,"LINESTRING (-4.4197707 36.7184307, -4.4197814 36.718632)",,,,,
"[35901833, 627718562, 838607006]",False,"['5', '6']","['Plaza de la Marina', 'Alameda Principal']",tertiary,50,"[False, True]",262.505,"LINESTRING (-4.4197707 36.7184307, -4.4200389 36.7183555, -4.4204267 36.7182465, -4.4212141 36.7180251, -4.4214536 36.717959, -4.4217747 36.7178689, -4.4219991 36.717806, -4.4220342 36.7177962, -4.4222082 36.7177474, -4.422293 36.7177236, -4.4224493 36.7176809, -4.4225401 36.7176545, -4.4225507 36.7176514)",,,,,
255925785,False,5,Plaza de la Marina,tertiary,50,True,81.315,"LINESTRING (-4.4197707 36.7184307, -4.4197589 36.7182497, -4.4197373 36.7178497, -4.419732 36.7177001)",,,,,
36071914,True,1,Calle Trinidad,residential,30,False,6.277,"LINESTRING (-4.42605 36.7229716, -4.4260778 36.7229615, -4.4261176 36.7229591)",,,,,
"[1162445368, 190509810]",True,1,,primary,40,False,134.409,"LINESTRING (-4.42605 36.7229716, -4.4260269 36.7229181, -4.4260014 36.7228239, -4.4259739 36.7226723, -4.4259328 36.7224432, -4.4258711 36.7221265, -4.4258368 36.7218279, -4.4258324 36.7217773)",yes,,,,
"[565149705, 36071467]",True,1,Calle Rampa de la Aurora,primary_link,30,False,139.86800000000002,"LINESTRING (-4.42605 36.7229716, -4.426053 36.7229092, -4.4260465 36.7228159, -4.4260247 36.7226844, -4.4259795 36.7224364, -4.4259151 36.7221212, -4.4258993 36.7219318, -4.4259009 36.7217978, -4.4259084 36.7217226)",,,,,
35923003,True,2,Avenida de la Rosaleda,primary,50,False,92.79,"LINESTRING (-4.4253393 36.72273, -4.4254013 36.723563)",,,,,
135476568,True,1,Calle Postigo de Arance,living_street,30,False,87.293,"LINESTRING (-4.4253393 36.72273, -4.4252312 36.7227264, -4.4250981 36.7227037, -4.425005 36.7226835, -4.424881 36.7226604, -4.4247057 36.7226151, -4.4243996 36.7225224)",,permissive,,,
1102524195,True,1,Calle Carretería,living_street,20,False,5.815,"LINESTRING (-4.4217464 36.7240655, -4.4216851 36.7240834)",,permit,,,
989194623,True,1,Calle Carretería,living_street,,False,21.441000000000003,"LINESTRING (-4.4207679 36.724378, -4.4205671 36.7242975, -4.4205527 36.7242918)",,,,,
27617970,True,1,Calle Dos Aceras,tertiary,30,False,5.843,"LINESTRING (-4.4206316 36.7254457, -4.4206348 36.7254199, -4.420638 36.7253934)",,,,,
27584404,True,1,Calle Montaño,living_street,30,False,109.143,"LINESTRING (-4.4197301 36.724856, -4.4203311 36.7254096, -4.4203686 36.72543, -4.4205448 36.7254405, -4.4206316 36.7254457)",,,3,,
27584408,True,1,Calle Peña,residential,30,False,126.039,"LINESTRING (-4.4197301 36.724856, -4.4197028 36.7248736, -4.4194363 36.7250759, -4.4191084 36.7253624, -4.4187671 36.7256843)",,,,,
1102524194,True,1,Calle Carretería,living_street,20,False,10.929,"LINESTRING (-4.4205527 36.7242918, -4.4204433 36.7242474)",,,,,
27617940,True,1,Calle Mariblanca,residential,30,False,96.494,"LINESTRING (-4.4205527 36.7242918, -4.4204737 36.7243461, -4.4197542 36.7248404, -4.4197301 36.724856)",,,,,
"[27584441, 113431926]",False,2,"['Plaza de la Merced', 'Plaza María Guerrero']",tertiary,30,True,121.992,"LINESTRING (-4.4170466 36.7226453, -4.4171495 36.7226907, -4.4175042 36.7228529, -4.4175962 36.7228897, -4.4177289 36.722942, -4.418254 36.7231615)",,,,,
61335135,True,1,Calle Panaderos,residential,30,False,91.633,"LINESTRING (-4.4248877 36.717532, -4.4248404 36.7175452, -4.4239167 36.7178027)",,,,,
"[27131168, 656659021]",True,2,"['Calle Atarazanas', 'Calle Puerta del Mar']",tertiary,40,False,151.64800000000002,"LINESTRING (-4.4227587 36.7181906, -4.4228677 36.7184652, -4.4228979 36.7184838, -4.4229324 36.7184921, -4.4229841 36.7184871, -4.4233178 36.7183715, -4.4234471 36.7183222, -4.4235194 36.7182946, -4.4239384 36.7181287, -4.4240833 36.7180714)",,,,,
