osmid,oneway,name,highway,reversed,length,geometry,junction,ref,lanes,maxspeed,tunnel,width
65753575,True,Calle Alcantarilla,residential,False,32.883,"LINESTRING (-5.104889 37.2338971, -5.1050622 37.2336355)",,,,,,
65753596,True,Calle San José,residential,False,198.429,"LINESTRING (-5.104889 37.2338971, -5.1066461 37.2343779, -5.106916 37.2341611)",,,,,,
65753563,False,Calle Molinos Viejos,residential,True,29.322,"LINESTRING (-5.0998984 37.2332375, -5.1000595 37.2330071)",,,,,,
65753611,True,Calle Cruz,residential,False,28.677,"LINESTRING (-5.0998984 37.2332375, -5.0995747 37.2332471)",,,,,,
140065310,True,Calle Ortigosa,residential,False,69.45,"LINESTRING (-5.1035812 37.2334351, -5.1030442 37.2338904)",,,,,,
256682156,False,Calle Derramadero,residential,False,91.25,"LINESTRING (-5.1035812 37.2334351, -5.1042722 37.2329131, -5.1043276 37.2328692)",,,,,,
65753604,True,Calle de Lucena,residential,False,61.497,"LINESTRING (-5.1081027 37.239119, -5.107862 37.2386002)",,,,,,
65753585,True,Plaza Salitre,residential,False,9.199,"LINESTRING (-5.1077264 37.2359666, -5.1078209 37.236001)",roundabout,,,,,
65753514,True,Calle Marrubial,residential,False,45.238,"LINESTRING (-5.1048355 37.2339506, -5.104383 37.2337616)",,,,,,
65753575,True,Calle Alcantarilla,residential,False,7.604,"LINESTRING (-5.1048355 37.2339506, -5.104889 37.2338971)",,,,,,
65753609,True,Calle Puentezuela,residential,False,116.665,"LINESTRING (-5.1016474 37.2346067, -5.1015995 37.2335582)",,,,,,
65753655,True,Calle Antequera,residential,False,73.337,"LINESTRING (-5.1016474 37.2346067, -5.1024574 37.2347449)",,,,,,
86640980,False,Calle de la Compañía,residential,True,64.753,"LINESTRING (-5.1046968 37.2373465, -5.1047553 37.2377126, -5.1047846 37.2379246)",,,,,,
140065314,True,Calle Sevilla,residential,False,92.188,"LINESTRING (-5.1046968 37.2373465, -5.1043532 37.2373578, -5.1040016 37.2373901, -5.1038704 37.2374078, -5.1036653 37.2374454)",,,,,,
65753634,True,Calle San Juan,residential,False,63.542,"LINESTRING (-5.1057269 37.2338511, -5.1050622 37.2336355)",,,,,,
65753556,False,,residential,True,75.367,"LINESTRING (-5.1057269 37.2338511, -5.1058188 37.2336673, -5.1061529 37.2332678)",,,,,,
65753693,True,Calle Capitán,tertiary,False,26.353,"LINESTRING (-5.0987666 37.2332753, -5.0984702 37.2332972)",,,,,,
65753661,True,,tertiary,False,21.124000000000002,"LINESTRING (-5.0987666 37.2332753, -5.0987392 37.2332848, -5.0987171 37.2333007, -5.0987026 37.2333214, -5.0986973 37.2333448, -5.0987016 37.2333683, -5.0987152 37.2333894, -5.0987366 37.233406, -5.0987635 37.2334162)",roundabout,SE-9219,,,,
65753514,True,Calle Marrubial,residential,False,45.889,"LINESTRING (-5.1040508 37.2336098, -5.1035812 37.2334351)",,,,,,
65753661,True,,tertiary,False,5.170999999999999,"LINESTRING (-5.0987635 37.2334162, -5.0987925 37.233419, -5.0988211 37.2334143)",roundabout,SE-9219,,,,
65753501,False,Calle Albanzuela,residential,False,35.594,"LINESTRING (-5.1056403 37.233038, -5.1052785 37.2328984)",,,,,,
65753501,False,Calle Albanzuela,residential,True,52.081,"LINESTRING (-5.1056403 37.233038, -5.1061529 37.2332678)",,,,,,
256676342,True,Calle del Capitán,residential,False,125.53,"LINESTRING (-5.1022066 37.2360024, -5.102222 37.2360307, -5.1027848 37.2370332)",,,,,,
65753585,True,Plaza Salitre,residential,False,1.411,"LINESTRING (-5.1078802 37.2357696, -5.1078645 37.2357718)",roundabout,,,,,
