osmid,ref,highway,maxspeed,oneway,reversed,length,geometry,junction,name,bridge,lanes,tunnel
32182616,A-1236,secondary,50,False,False,13.831,"LINESTRING (0.1904492 41.916865, 0.1904811 41.9167429)",,,,,
96847957,A-1236,secondary,,False,True,17.568,"LINESTRING (0.1904492 41.916865, 0.1904081 41.91702)",,,,,
184014777,A-1237,secondary,,True,False,27.099,"LINESTRING (0.1904492 41.916865, 0.1905252 41.9168323, 0.1906056 41.9168123, 0.1906833 41.9168107, 0.1907568 41.9168283)",,,,,
398798777,N-240,trunk,,True,False,23.461,"LINESTRING (0.1911524 41.9131238, 0.1908919 41.9132071)",,,,,
745898387,N-240,trunk,,True,False,9.167,"LINESTRING (0.1911524 41.9131238, 0.191103 41.9130864, 0.1910836 41.9130601)",roundabout,,,,
184340581,A-1237,secondary,,False,True,56.957,"LINESTRING (0.1922618 41.9177441, 0.1917171 41.9174309)",,Avenida de la Almunia,,,
185300846,,residential,,False,False,109.351,"LINESTRING (0.1922618 41.9177441, 0.1931412 41.91701)",,Calle Inmaculada,,,
184014760,,residential,,False,False,46.369,"LINESTRING (0.1922618 41.9177441, 0.1923532 41.9175005, 0.1923106 41.9173395)",,,,,
184340581,A-1237,secondary,,False,False,149.37099999999998,"LINESTRING (0.1922618 41.9177441, 0.1928854 41.9181277, 0.1934706 41.9187276)",,Avenida de la Almunia,,,
40478686,,residential,,False,False,134.743,"LINESTRING (0.1915877 41.9112191, 0.192446 41.9112884, 0.1932026 41.9112043)",,Calle Santa Bárbara,,,
105210469,,tertiary,,False,False,112.604,"LINESTRING (0.1915877 41.9112191, 0.1910995 41.9110532, 0.1907008 41.9109413, 0.1903035 41.9109241)",,Avenida Nuestra Señora del Pilar,,,
112544413,,residential,,False,False,46.519999999999996,"LINESTRING (0.1915877 41.9112191, 0.1917522 41.9110376, 0.1918345 41.9109443, 0.1918985 41.9108705)",,Calle Mayor,,,
"[184337097, 105210467]",,tertiary,,False,True,183.126,"LINESTRING (0.1915877 41.9112191, 0.1914858 41.9117173, 0.1914133 41.9120418, 0.191291 41.9128507)",,Calle Juan de Lanuza,yes,,
