osmid,name,highway,oneway,reversed,length,geometry,lanes,junction,maxspeed,width
43031330,Calle Viento,residential,False,False,63.352999999999994,"LINESTRING (-5.1457461 36.4240234, -5.1457859 36.4240517, -5.1459915 36.4242193, -5.1462316 36.4244376)",,,,
954911734,Avenida Andalucía,secondary,False,False,64.298,"LINESTRING (-5.1417556 36.4294255, -5.1421883 36.4298872)",,,,
954911734,Avenida Andalucía,secondary,False,True,39.351,"LINESTRING (-5.1417556 36.4294255, -5.1414714 36.4291554)",,,,
93581223,Calle Grazalema,residential,True,False,116.16799999999999,"LINESTRING (-5.1417556 36.4294255, -5.1423677 36.4291968, -5.1424738 36.4291582, -5.1427054 36.4290686, -5.1429021 36.4289953, -5.1429351 36.4289993)",,,,
558088376,Avenida Andalucía,secondary,False,False,105.294,"LINESTRING (-5.1428223 36.4305156, -5.142894 36.4305719, -5.1429286 36.4305955, -5.1436782 36.4310154, -5.1437761 36.4310684)",,,,
954911735,Glorieta Guitarrista Paco Javier Jimeno,secondary,True,False,18.258,"LINESTRING (-5.1428223 36.4305156, -5.1428414 36.4304979, -5.1428528 36.4304763, -5.1428554 36.4304529, -5.142849 36.43043, -5.1428343 36.4304098, -5.1428125 36.4303942, -5.1427859 36.4303846)",1,roundabout,,
43032822,Avenida Andalucía,secondary,False,False,19.819,"LINESTRING (-5.1491039 36.4301579, -5.1491446 36.4299827)",,,,
954865382,Avenida Andalucía,secondary,True,False,31.506,"LINESTRING (-5.1491039 36.4301579, -5.1490656 36.4302221, -5.1490056 36.4303094, -5.1489529 36.4303597, -5.1489113 36.4303921)",1,,30,
634253962,Avenida Andalucía,secondary,True,False,23.063000000000002,"LINESTRING (-5.1501939 36.428932, -5.1503231 36.4288824, -5.1503846 36.4288528, -5.1504205 36.4288338)",2,,50,
634253969,Avenida Andalucía,secondary,False,True,93.49799999999999,"LINESTRING (-5.1501939 36.428932, -5.1495508 36.4292732, -5.1494329 36.4293417, -5.149392 36.4293702, -5.1493668 36.4293958, -5.1493473 36.4294188)",2,,50,
43032849,Avenida Andalucía,secondary,True,False,57.932,"LINESTRING (-5.1513092 36.428274, -5.1512109 36.4283146, -5.1509669 36.4284544, -5.1507721 36.4285637)",2,,50,
634253966,Avenida Andalucía,secondary,False,False,51.262,"LINESTRING (-5.1513092 36.428274, -5.1516654 36.4280432, -5.1517031 36.4280188, -5.1517349 36.4279982, -5.1517557 36.4279851)",2,,50,
96955480,Calle Frente Bolillón,residential,True,False,118.919,"LINESTRING (-5.1519567 36.4291293, -5.1520092 36.4294608, -5.1520417 36.4296536, -5.1521321 36.4301894)",,,,
155402299,Calle Adolfo Suárez de Figueroa,residential,False,True,45.995999999999995,"LINESTRING (-5.1449329 36.4261031, -5.1447824 36.4260713, -5.144429 36.4260229)",,,,3
368889754,Calle Terraza,living_street,False,False,41.752,"LINESTRING (-5.1449329 36.4261031, -5.1449418 36.4261408, -5.1451708 36.4264231)",,,,
368889754,Calle Terraza,living_street,False,True,5.827,"LINESTRING (-5.1454871 36.4267941, -5.1454497 36.4267512)",,,,
43052649,Calle Veracruz,residential,True,False,23.102999999999998,"LINESTRING (-5.1454871 36.4267941, -5.1455402 36.4267895, -5.1457352 36.4268399)",1,,30,
368889754,Calle Terraza,living_street,False,False,30.213,"LINESTRING (-5.1454871 36.4267941, -5.1455049 36.4268725, -5.1454981 36.4269505, -5.1454647 36.4270611)",,,,
94377052,Calle Huerto,residential,False,True,41.489999999999995,"LINESTRING (-5.1456051 36.4281043, -5.1458092 36.4280902, -5.1458094 36.4280717, -5.145811 36.4278819)",,,,
1123975806,Calle Terraza,residential,True,False,23.453,"LINESTRING (-5.1456051 36.4281043, -5.1455403 36.4279421, -5.1455249 36.4279035)",,,,
43052652,Calle Argentina,residential,True,False,129.049,"LINESTRING (-5.1482076 36.4286268, -5.1481989 36.4286547, -5.1481234 36.4289569, -5.1480895 36.4291003, -5.1479953 36.4294819, -5.1479498 36.4295557, -5.1478093 36.4297281)",,,,
953924093,,secondary,True,False,29.783999999999995,"LINESTRING (-5.1496121 36.4243537, -5.1496482 36.4243876, -5.1496957 36.4244106, -5.1497499 36.4244204, -5.1498051 36.4244159, -5.1498557 36.4243977, -5.1498966 36.4243675)",2,roundabout,,
953924094,Calle África,residential,False,True,49.804,"LINESTRING (-5.1496121 36.4243537, -5.149567 36.4243746, -5.1491365 36.4245864)",2,,50,
43032849,Avenida Andalucía,secondary,True,False,14.206,"LINESTRING (-5.1503066 36.428842, -5.1502604 36.4288783, -5.1501939 36.428932)",2,,50,
42950861,Calle de María Magdelena,residential,True,False,20.012,"LINESTRING (-5.1495104 36.4279514, -5.1495502 36.4279963, -5.1496455 36.4280948)",,,,
955501410,Calle Tajo,residential,False,True,6.995,"LINESTRING (-5.1495104 36.4279514, -5.1495091 36.4279294, -5.1495112 36.4279036, -5.1495151 36.4278889)",,,,5
609612393,Avenida de San Lorenzo,residential,False,True,9.173,"LINESTRING (-5.1478598 36.4236164, -5.1479361 36.4235613)",,,,
94521037,Calle Nueva,living_street,False,True,89.628,"LINESTRING (-5.1478598 36.4236164, -5.1475264 36.4238654, -5.1474972 36.423881, -5.147465 36.4239544, -5.147129 36.4241505)",,,20,
368889756,Avenida de San Lorenzo,residential,True,False,54.806,"LINESTRING (-5.1478598 36.4236164, -5.147912 36.4236606, -5.1482009 36.4239049, -5.148282 36.4239735)",,,,
