osmid,oneway,ref,name,highway,maxspeed,reversed,length,lanes,geometry,bridge,junction
306455850,False,CL-600,Calle de Aldeamayor,primary,50,True,17.763,,"LINESTRING (-4.5768135 41.5804473, -4.5769363 41.5803166)",,
34308446,True,CL-600,Carretera de Aldeamayor,primary_link,40,False,60.876000000000005,1,"LINESTRING (-4.5768135 41.5804473, -4.5765804 41.5806695, -4.5764262 41.580842, -4.576417 41.5808991)",,
"[305070116, 34308605, 34308038]",False,,,tertiary,,True,178.799,,"LINESTRING (-4.5770195 41.5812241, -4.5770638 41.5812269, -4.5773479 41.5812717, -4.5784637 41.5815157, -4.5785362 41.5815388, -4.5785831 41.5815895, -4.5786275 41.5816865, -4.5786326 41.5818026, -4.5785893 41.5819477)",yes,
34308399,True,,,tertiary,,False,37.579,1,"LINESTRING (-4.5770195 41.5812241, -4.5767251 41.5810914, -4.5766594 41.5810272)",,
306457931,False,,Paseo de la Requejada,residential,20,False,58.549,,"LINESTRING (-4.5770195 41.5812241, -4.5770035 41.5812787, -4.5769861 41.581338, -4.5769434 41.5814836, -4.5768963 41.581644, -4.5768686 41.5817384)",,
34308191,True,CL-600,,primary,40,False,2.683,1,"LINESTRING (-4.576432 41.5811946, -4.5764642 41.581196)",,roundabout
34308191,True,CL-600,,primary,40,False,3.345,1,"LINESTRING (-4.576417 41.5808991, -4.5763778 41.5809058)",,roundabout
34308191,True,CL-600,,primary,40,False,5.249,1,"LINESTRING (-4.5763028 41.5809472, -4.576274 41.5809892)",,roundabout
1025037876,True,VP-2302,Calle de La Parrilla,tertiary,20,False,11.99,1,"LINESTRING (-4.5763028 41.5809472, -4.5762057 41.5808675)",,
34308191,True,CL-600,,primary,40,False,20.974,1,"LINESTRING (-4.5762621 41.5810712, -4.5762824 41.5811159, -4.5763202 41.5811536, -4.5763717 41.5811807, -4.576432 41.5811946)",,roundabout
34308221,True,CL-600,Carretera de Simancas a Tudela de Duero,primary_link,40,False,19.271,1,"LINESTRING (-4.5762621 41.5810712, -4.5761775 41.5811317, -4.5760836 41.5811809)",,
26397875,False,CL-600,Carretera Vieja de Soria,primary,30,False,22.721,,"LINESTRING (-4.5760836 41.5811809, -4.5758106 41.5811881)",,
