osmid,lanes,name,highway,maxspeed,junction,oneway,reversed,length,geometry,bridge,ref,width,access
19825368,2,Plaça de la Barona,tertiary,40,roundabout,True,False,44.289,"LINESTRING (1.9875378 41.2823113, 1.9872804 41.282429, 1.9870724 41.2825005)",,,,
19978058,,Passeig del Ferrocarril,unclassified,,,True,False,116.38400000000001,"LINESTRING (1.9875378 41.2823113, 1.9875083 41.282402, 1.987511 41.282467, 1.9875405 41.2825305, 1.9875955 41.2825889, 1.9876129 41.2826012, 1.987648 41.282626, 1.9878905 41.2827975, 1.9882468 41.2830219, 1.9883444 41.2830834)",,,,
19825380,2,Avinguda del Canal Olímpic,tertiary,50,,True,False,102.608,"LINESTRING (1.9870724 41.2825005, 1.9867617 41.2826115, 1.9866335 41.2826748, 1.9864217 41.2828001, 1.9860713 41.2830252)",,,,
550835719,2,Plaça de la Barona,tertiary,40,roundabout,True,False,61.02,"LINESTRING (1.9870724 41.2825005, 1.9868938 41.2824924, 1.9867833 41.2824682, 1.9866759 41.2824137, 1.9866238 41.2823629, 1.9865876 41.282296, 1.9865516 41.2822059)",,,,
1117199530,2,Plaça de la Barona,tertiary,40,roundabout,True,False,6.471,"LINESTRING (1.9865516 41.2822059, 1.9865579 41.2821479)",,,,
19825387,2,Avinguda del Canal Olímpic,tertiary,50,,True,False,102.371,"LINESTRING (1.9860713 41.2830252, 1.9863594 41.2827409, 1.9864608 41.2826086, 1.9865164 41.2824806, 1.9865516 41.2822059)",,,,
"[1125147047, 19825583]",4,Avinguda del Canal Olímpic,tertiary,30,,False,False,134.79500000000002,"LINESTRING (1.9860713 41.2830252, 1.985738 41.2832657, 1.9853276 41.2835405, 1.9851211 41.2836788, 1.9848797 41.2838421)",yes,,,
19825594,2,,tertiary_link,50,,True,False,41.2,"LINESTRING (1.9848797 41.2838421, 1.9847473 41.283953, 1.9847262 41.2839718, 1.9847177 41.2839807, 1.9846823 41.2840181, 1.9846561 41.2840634, 1.9845921 41.2841403)",,,,
"[19825583, 1125147047]",4,Avinguda del Canal Olímpic,tertiary,30,,False,True,134.795,"LINESTRING (1.9848797 41.2838421, 1.9851211 41.2836788, 1.9853276 41.2835405, 1.985738 41.2832657, 1.9860713 41.2830252)",yes,,,
1116067519,,Plaça de Colom,tertiary,,roundabout,True,False,23.796999999999997,"LINESTRING (1.9845921 41.2841403, 1.9846053 41.2841976, 1.984596 41.2842553, 1.9845651 41.2843086, 1.9845352 41.2843412)",,,,
906856936,,Avinguda de Manuel Girona,residential,,,True,False,24.153000000000002,"LINESTRING (1.9842246 41.2843834, 1.9841211 41.2843893, 1.9840837 41.2843955, 1.9840514 41.2844039, 1.9840225 41.2844141, 1.9839963 41.2844234, 1.9839473 41.2844362)",,,,
1191854589,,Plaça de Colom,tertiary,,roundabout,True,False,18.605,"LINESTRING (1.9842246 41.2843834, 1.9841627 41.2843527, 1.9841145 41.2843103, 1.9840837 41.2842595)",,,,
1191837590,,Plaça de Colom,tertiary,,roundabout,True,False,12.408000000000001,"LINESTRING (1.9840837 41.2842595, 1.9840728 41.2842043, 1.9840826 41.284149)",,,,
20018024,1,,tertiary,,,True,False,91.503,"LINESTRING (1.9840826 41.284149, 1.9839588 41.2840419, 1.983772 41.2838802, 1.9837148 41.2838308, 1.9834855 41.2836031, 1.9833924 41.2835107)",,C-245,,
"[1191839405, 1191837590]",,Plaça de Colom,tertiary,,roundabout,True,False,22.08,"LINESTRING (1.9840826 41.284149, 1.9841123 41.2840979, 1.9841516 41.2840609, 1.9842209 41.2840235, 1.9842605 41.2840136)",,,,
1191839405,,Plaça de Colom,tertiary,,roundabout,True,False,18.104999999999997,"LINESTRING (1.9842605 41.2840136, 1.9842913 41.2840059, 1.9843655 41.2840036, 1.9844376 41.2840168, 1.9844685 41.2840303)",,,,
22932373,2,,tertiary_link,50,,True,False,40.271,"LINESTRING (1.9844685 41.2840303, 1.9845918 41.2839694, 1.984657 41.2839365, 1.9846966 41.2839165, 1.9848797 41.2838421)",,,,
1191839404,,Plaça de Colom,tertiary,,roundabout,True,False,16.406,"LINESTRING (1.9844685 41.2840303, 1.9845046 41.284046, 1.9845576 41.2840883, 1.9845921 41.2841403)",,,,
221492178,4,Avinguda de la Constitució,tertiary,50,,False,False,128.501,"LINESTRING (1.9845352 41.2843412, 1.984666 41.2844367, 1.9853534 41.2849385, 1.9854269 41.2849916, 1.985447 41.285006, 1.9855568 41.2850992, 1.9856166 41.2851611)",,C-245,12,
1191839406,,Plaça de Colom,tertiary,,roundabout,True,False,27.988,"LINESTRING (1.9845352 41.2843412, 1.9845151 41.284353, 1.9844502 41.2843846, 1.9843759 41.2844009, 1.9842986 41.2844005, 1.9842246 41.2843834)",,,,
19826278,,,tertiary,30,roundabout,True,False,26.354,"LINESTRING (1.9870309 41.2864155, 1.9869724 41.2863491, 1.9869665 41.2862968, 1.9869913 41.2862478, 1.9870421 41.2862118)",,,,
22932229,,Ronda de Ramón Otero Pedrayo,residential,,,False,False,76.805,"LINESTRING (1.9870309 41.2864155, 1.9869635 41.2864714, 1.9864136 41.2869273)",,,,
539694749,,,tertiary,30,roundabout,True,False,20.761,"LINESTRING (1.9872541 41.2863758, 1.9871829 41.2864214, 1.9870898 41.2864284, 1.9870309 41.2864155)",,,,
19825368,2,Plaça de la Barona,tertiary,40,roundabout,True,False,60.757000000000005,"LINESTRING (1.9879935 41.2818885, 1.9879203 41.2819768, 1.9877697 41.2821346, 1.9875378 41.2823113)",,,,
20018030,1,,tertiary,,,True,False,6.064,"LINESTRING (1.9833924 41.2835107, 1.9834521 41.2835417)",,C-245,,
20018271,,Avinguda de la Constitució,tertiary,30,,False,False,127.48899999999999,"LINESTRING (1.9833924 41.2835107, 1.983323 41.2834572, 1.9824077 41.2827769, 1.9823089 41.2827035)",,C-245,,
20018271,,Avinguda de la Constitució,tertiary,30,,False,True,127.489,"LINESTRING (1.9823089 41.2827035, 1.9824077 41.2827769, 1.983323 41.2834572, 1.9833924 41.2835107)",,C-245,,
49549039,,Carrer d'Isaac Peral,residential,,,True,False,33.541,"LINESTRING (1.9823089 41.2827035, 1.9822539 41.2827518, 1.9820956 41.2828907, 1.9820478 41.2829326)",,,,
304633094,,Avinguda de Manuel Girona,residential,,,False,True,83.737,"LINESTRING (1.9802308 41.2856435, 1.9801254 41.2856255, 1.9797995 41.2855705, 1.9796808 41.2855505, 1.979253 41.2854784)",,,,
772718953,,Plaça de Joan XXIII,residential,,roundabout,True,False,37.06,"LINESTRING (1.9802308 41.2856435, 1.9802683 41.2855651, 1.9803343 41.2854981, 1.980423 41.2854482, 1.9805272 41.2854196)",,,,
20217876,,Plaça de Joan XXIII,residential,,roundabout,True,False,39.311,"LINESTRING (1.9805272 41.2854196, 1.9806446 41.2854152, 1.9807583 41.2854379, 1.9808574 41.2854856, 1.9809325 41.2855536)",,,,
304633096,,Carrer del Doctor Marañón,residential,50,,False,True,51.148,"LINESTRING (1.9805272 41.2854196, 1.9805197 41.285312, 1.9805114 41.2851997, 1.9804937 41.2849603)",,,,
20217876,,Plaça de Joan XXIII,residential,,roundabout,True,False,24.416,"LINESTRING (1.9809325 41.2855536, 1.9809712 41.2856208, 1.9809861 41.2856931, 1.980976 41.2857659)",,,,
223825560,,Avinguda de Manuel Girona,residential,30,,False,True,69.035,"LINESTRING (1.980976 41.2857659, 1.9811515 41.2857938, 1.9812708 41.2858069, 1.9814157 41.2858251, 1.9815136 41.2858281, 1.9816343 41.2858301, 1.9817302 41.2858261, 1.9817939 41.285818)",,,,
906856934,,Plaça de Joan XXIII,residential,,roundabout,True,False,19.344,"LINESTRING (1.980976 41.2857659, 1.9809328 41.2858466, 1.9808593 41.2859138)",,,,
23028150,,Carrer d'Antonio Machado,residential,,,True,False,232.705,"LINESTRING (1.9808593 41.2859138, 1.9809311 41.2859936, 1.9821647 41.2877618)",,,,
906856934,,Plaça de Joan XXIII,residential,,roundabout,True,False,22.036,"LINESTRING (1.9808593 41.2859138, 1.9807474 41.2859662, 1.9806184 41.2859868)",,,,
772016651,,Plaça de Joan XXIII,residential,,roundabout,True,False,17.822,"LINESTRING (1.9806184 41.2859868, 1.9805123 41.2859784, 1.9804135 41.2859483)",,,,
905877724,,,living_street,,roundabout,True,False,14.612000000000002,"LINESTRING (1.9869721 41.2899249, 1.9869289 41.2899296, 1.9868863 41.2899221, 1.9868503 41.2899034, 1.9868258 41.2898762)",,,,
539697838,,Ronda de Ramón Otero Pedrayo,residential,,,False,False,81.799,"LINESTRING (1.9833692 41.2895126, 1.9826868 41.2900401)",,,,
22932257,,Ronda de Ramón Otero Pedrayo,residential,,,False,True,111.63,"LINESTRING (1.9833692 41.2895126, 1.983808 41.2891386, 1.9841303 41.2888585, 1.9842527 41.2887596)",,,,
172867026,,Carrer d'Antonio Machado,residential,,,False,False,160.60500000000002,"LINESTRING (1.9833692 41.2895126, 1.9834765 41.2896338, 1.9836481 41.2898209, 1.9839056 41.2900788, 1.9842575 41.2902916, 1.9847382 41.2904851)",,,,
22932278,,Carrer de Mollet,residential,,,True,False,89.735,"LINESTRING (1.9830042 41.288959, 1.9836996 41.288344)",,,,
23028249,,Carrer d'Antonio Machado,residential,,,True,False,68.697,"LINESTRING (1.9830042 41.288959, 1.9833692 41.2895126)",,,,
23028150,,Carrer d'Antonio Machado,residential,,,True,False,21.169,"LINESTRING (1.9821647 41.2877618, 1.9822693 41.2879352)",,,,
22932220,,,residential,,roundabout,True,False,12.335,"LINESTRING (1.98416 41.2861423, 1.9841926 41.2861293, 1.9842292 41.2861255, 1.9842652 41.2861316, 1.9842962 41.2861466)",,,,
23028575,,Carrer de l'Església,residential,,,True,False,149.358,"LINESTRING (1.98416 41.2861423, 1.9829642 41.2851754, 1.9829431 41.2851584)",,,,
23028098,,Carrer de Narcís Monturiol,residential,,,True,False,111.143,"LINESTRING (1.984143 41.2862534, 1.9831986 41.2869573)",,,,
22932220,,,residential,,roundabout,True,False,13.737,"LINESTRING (1.984143 41.2862534, 1.9841241 41.2862259, 1.9841207 41.2861952, 1.9841333 41.2861658, 1.98416 41.2861423)",,,,
22932220,,,residential,,roundabout,True,False,15.868,"LINESTRING (1.984309 41.2862509, 1.9842729 41.286274, 1.9842268 41.2862828, 1.9841804 41.2862754, 1.984143 41.2862534)",,,,
906856939,,,residential,,roundabout,True,False,12.668999999999999,"LINESTRING (1.9842962 41.2861466, 1.9843187 41.2861695, 1.984329 41.2861969, 1.9843256 41.2862253, 1.984309 41.2862509)",,,,
22932221,,Carrer de Narcís Monturiol,residential,,,True,False,87.363,"LINESTRING (1.9856166 41.2851611, 1.9855456 41.2852138, 1.9854796 41.2852622, 1.9848684 41.2857099)",,,,
221492178,4,Avinguda de la Constitució,tertiary,50,,False,True,128.501,"LINESTRING (1.9856166 41.2851611, 1.9855568 41.2850992, 1.985447 41.285006, 1.9854269 41.2849916, 1.9853534 41.2849385, 1.984666 41.2844367, 1.9845352 41.2843412)",,C-245,12,
"[1116911973, 863755428, 1192906933]",4,Avinguda de la Constitució,tertiary,30,,False,False,166.866,"LINESTRING (1.9856166 41.2851611, 1.985676 41.2852113, 1.9859236 41.2853902, 1.9862597 41.285632, 1.9869415 41.2861353, 1.9870421 41.2862118)",,C-245,12,
22932229,,Ronda de Ramón Otero Pedrayo,residential,,,False,True,64.313,"LINESTRING (1.9859026 41.2873598, 1.9862296 41.2870869, 1.9864136 41.2869273)",,,,
22932231,,,residential,,roundabout,True,False,12.923,"LINESTRING (1.9859026 41.2873598, 1.9859283 41.2874178, 1.9859026 41.2874694)",,,,
22932231,,,residential,,roundabout,True,False,13.475999999999999,"LINESTRING (1.9859026 41.2874694, 1.9858339 41.2874952, 1.9857567 41.2874694)",,,,
