osmid,oneway,ref,name,highway,reversed,length,geometry,maxspeed,lanes,junction,width
23303756,True,CV-308,Carrer de València,tertiary,False,51.55,"LINESTRING (-0.4111719 39.5276853, -0.4105711 39.5276986)",,,,
322984614,False,CV-308,Carrer de València,tertiary,False,28.349,"LINESTRING (-0.4111719 39.5276853, -0.411333 39.5276349, -0.4114023 39.5276034, -0.411449 39.5275569)",,,,
23303744,True,CV-308,,tertiary,False,36.774,"LINESTRING (-0.4117586 39.5271145, -0.4115047 39.527381)",,,,
1128202419,False,CV-308,Carrer del Camí de Rocafort,tertiary,True,8.5,"LINESTRING (-0.4117586 39.5271145, -0.411799 39.5270447)",50,,,
1038295204,True,,Carrer Arquebisbe Fabià Fuero,tertiary,False,28.76,"LINESTRING (-0.4155398 39.5258201, -0.4155584 39.5260412, -0.4155615 39.5260782)",,1,,
23303755,True,CV-308,Carrer del Camí de Rocafort,tertiary,False,24.027,"LINESTRING (-0.4126552 39.5262316, -0.4125571 39.5263413, -0.4124888 39.5264052)",50,,,
163732129,True,,,residential,False,18.477,"LINESTRING (-0.4126552 39.5262316, -0.412683 39.526269, -0.4127253 39.5263071, -0.4128074 39.5263432)",,,,
163794720,True,CV-308,Carrer Major,tertiary,False,66.297,"LINESTRING (-0.4096407 39.5281236, -0.4096619 39.5287196)",,,,
182140799,True,,Carrer de Santa Bàrbara,residential,False,49.486,"LINESTRING (-0.4096407 39.5281236, -0.4099715 39.5281115, -0.4102113 39.5280698)",,,,
322992392,False,CV-308,Plaça Major,tertiary,False,31.027,"LINESTRING (-0.4096656 39.5288297, -0.4097846 39.5290932)",,,,
322992392,False,CV-308,Plaça Major,tertiary,True,12.247,"LINESTRING (-0.4096656 39.5288297, -0.4096619 39.5287196)",,,,
182140803,True,,Carrer del Pou,residential,False,180.32799999999997,"LINESTRING (-0.4096656 39.5288297, -0.4095466 39.528823, -0.4090799 39.5287651, -0.4090298 39.5287519, -0.4088063 39.5286927, -0.4086642 39.5286575, -0.4086052 39.5286617, -0.4085569 39.5286989, -0.4085193 39.5287651, -0.4082091 39.5293762)",,,,
322992392,False,CV-308,Plaça Major,tertiary,False,13.553,"LINESTRING (-0.4097846 39.5290932, -0.4098302 39.5292099)",,,,
322992392,False,CV-308,Plaça Major,tertiary,True,31.027,"LINESTRING (-0.4097846 39.5290932, -0.4096656 39.5288297)",,,,
23322133,False,CV-308,Carrer del Comte de Cirat,tertiary,False,52.327,"LINESTRING (-0.4098302 39.5292099, -0.4098024 39.52968)",,,,
182140801,True,,Plaça Major,residential,False,34.792,"LINESTRING (-0.4098302 39.5292099, -0.4102309 39.5292587)",,,,
322992392,False,CV-308,Plaça Major,tertiary,True,13.553,"LINESTRING (-0.4098302 39.5292099, -0.4097846 39.5290932)",,,,
23322133,False,CV-308,Carrer del Comte de Cirat,tertiary,False,142.008,"LINESTRING (-0.4098024 39.52968, -0.4096946 39.5309544)",,,,
23322133,False,CV-308,Carrer del Comte de Cirat,tertiary,True,52.327,"LINESTRING (-0.4098024 39.52968, -0.4098302 39.5292099)",,,,
23322133,False,CV-308,Carrer del Comte de Cirat,tertiary,True,142.008,"LINESTRING (-0.4096946 39.5309544, -0.4098024 39.52968)",,,,
935791977,False,CV-307,Carrer del Mestre Dolz,tertiary,True,36.425,"LINESTRING (-0.4096946 39.5309544, -0.4101178 39.5309821)",,,,
23322131,False,CV-308,Carrer de Ramon i Cajal,tertiary,False,59.931000000000004,"LINESTRING (-0.4096946 39.5309544, -0.4096466 39.5313746, -0.4096324 39.5314262, -0.4096151 39.5314892)",50,2,,
23322122,True,,Carrer del Doctor José Vilella Garcia,residential,False,79.742,"LINESTRING (-0.4096151 39.5314892, -0.4087071 39.5313348)",,,,
654981388,False,CV-308,Carrer de Ramon i Cajal,tertiary,False,53.378,"LINESTRING (-0.4096151 39.5314892, -0.4093093 39.5319073)",50,2,,
23322131,False,CV-308,Carrer de Ramon i Cajal,tertiary,True,59.931,"LINESTRING (-0.4096151 39.5314892, -0.4096324 39.5314262, -0.4096466 39.5313746, -0.4096946 39.5309544)",50,2,,
23322126,True,,Carrer de Federico García Lorca,residential,False,52.21,"LINESTRING (-0.4091057 39.5321878, -0.4085142 39.5320767)",,,,
654981388,False,CV-308,Carrer de Ramon i Cajal,tertiary,False,63.422,"LINESTRING (-0.4091057 39.5321878, -0.4087501 39.5326879)",50,2,,
654981388,False,CV-308,Carrer de Ramon i Cajal,tertiary,True,35.745,"LINESTRING (-0.4091057 39.5321878, -0.4093093 39.5319073)",50,2,,
176214292,True,,Carrer de Jaume I el Conqueridor,residential,False,49.81,"LINESTRING (-0.4087501 39.5326879, -0.4093201 39.5327739)",,,,
654981388,False,CV-308,Carrer de Ramon i Cajal,tertiary,True,63.422,"LINESTRING (-0.4087501 39.5326879, -0.4091057 39.5321878)",50,2,,
