osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,name,junction,bridge,ref,tunnel
"[33202841, 1119068061]",True,1,motorway_link,"['40', '70']",False,283.801,"LINESTRING (1.9768469 41.4501973, 1.9764107 41.4517312, 1.9762748 41.4522578, 1.9761926 41.4527011)",,,,,
1155128542,False,2,tertiary,30,True,12.218,"LINESTRING (1.9704431 41.4490512, 1.9703555 41.4489631)",Via de l'Esport,,,,
1155128541,False,2,tertiary,30,False,72.88499999999999,"LINESTRING (1.9704431 41.4490512, 1.9704919 41.4490932, 1.9705173 41.4491151, 1.9707145 41.4492924, 1.9709253 41.4494448, 1.9709575 41.4494681, 1.9709832 41.4494856, 1.9710434 41.4495264)",Via de l'Esport,,,,
"[825030490, 751415405, 1084506662]",True,,"['residential', 'living_street']",20,False,124.4,"LINESTRING (1.9710434 41.4495264, 1.9710985 41.4494787, 1.9711173 41.4494664, 1.9711737 41.4494005, 1.9714248 41.4491206, 1.9715276 41.4490059, 1.9717665 41.4486239, 1.9717758 41.448563)","['Carrer de les Monges', 'Plaça de la Pau']",,,,
"[1115832200, 751415406]",False,"['2', '3']",tertiary,30,False,40.291000000000004,"LINESTRING (1.9710434 41.4495264, 1.9711454 41.449583, 1.9712592 41.4496361, 1.9712847 41.449648, 1.971448 41.4497243)",Via de l'Esport,,,,
1155128541,False,2,tertiary,30,True,72.885,"LINESTRING (1.9710434 41.4495264, 1.9709832 41.4494856, 1.9709575 41.4494681, 1.9709253 41.4494448, 1.9707145 41.4492924, 1.9705173 41.4491151, 1.9704919 41.4490932, 1.9704431 41.4490512)",Via de l'Esport,,,,
"[103544885, 1205084550, 1205084551]",False,,"['residential', 'living_street']",,True,48.948,"LINESTRING (1.9710434 41.4495264, 1.9710127 41.4495629, 1.9709886 41.4495873, 1.9709497 41.4496264, 1.9709313 41.4496434, 1.9708905 41.4496803, 1.9707347 41.4498209, 1.9707175 41.4498373, 1.9706809 41.4498723)",Passeig de la Generalitat,,,,
1155128540,False,3,tertiary,30,True,1.473,"LINESTRING (1.971463 41.4497313, 1.971448 41.4497243)",Via de l'Esport,,,,
178603644,True,2,tertiary,30,False,37.64,"LINESTRING (1.971463 41.4497313, 1.9715638 41.4497426, 1.9716519 41.4497633, 1.9716839 41.449775, 1.9718017 41.4498098, 1.9718902 41.449836)",Via de l'Esport,,,,
45863168,False,4,tertiary,30,False,83.24799999999999,"LINESTRING (1.9706952 41.4523713, 1.9711638 41.4523684, 1.9716939 41.4523784)",Carretera de Sant Andreu de la Barca,,,,
45863173,True,2,tertiary_link,30,False,32.192,"LINESTRING (1.9706952 41.4523713, 1.9704294 41.4524254, 1.9703744 41.4524305, 1.9703194 41.4524356)",Carretera de Sant Andreu de la Barca,,,,
1067858889,True,2,motorway_link,40,False,13.796,"LINESTRING (1.9754278 41.4530293, 1.9754103 41.4530012, 1.9753963 41.452972, 1.9753861 41.452942, 1.9753796 41.4529113)",,roundabout,,,
43652978,True,,tertiary_link,40,False,29.044,"LINESTRING (1.9753796 41.4529113, 1.9751426 41.4527198)",Carretera de Sant Andreu de la Barca,,,,
1067875888,True,2,motorway_link,40,False,19.312,"LINESTRING (1.9753796 41.4529113, 1.9753771 41.4528679, 1.9753822 41.4528247, 1.9753948 41.4527823, 1.9754147 41.4527415)",,roundabout,,,
43652979,True,2,motorway_link,40,False,13.73,"LINESTRING (1.9754147 41.4527415, 1.9754401 41.452705, 1.9754712 41.4526711, 1.9755078 41.4526404)",,roundabout,,,
33202843,True,1,motorway_link,80,False,32.576,"LINESTRING (1.9755078 41.4526404, 1.9755396 41.4524716, 1.9755592 41.45235)",,,,,
"[43652979, 43652980, 43652981]",True,2,motorway_link,40,False,65.918,"LINESTRING (1.9755078 41.4526404, 1.9755416 41.4526177, 1.9755785 41.4525978, 1.9756178 41.4525808, 1.9756843 41.4525604, 1.9757544 41.4525483, 1.9758262 41.4525449, 1.9758977 41.4525503, 1.9759671 41.4525643, 1.9760326 41.4525867, 1.9760923 41.4526166, 1.9761473 41.4526556, 1.9761926 41.4527011)",,roundabout,yes,,
43652981,True,2,motorway_link,40,False,18.108,"LINESTRING (1.9761926 41.4527011, 1.9762183 41.452737, 1.976238 41.4527749, 1.9762512 41.4528144, 1.9762579 41.4528548)",,roundabout,,,
"[1067858889, 33202837, 909732639]",True,2,motorway_link,40,False,67.919,"LINESTRING (1.976123 41.4531138, 1.9760934 41.4531333, 1.9760616 41.4531506, 1.9760279 41.4531658, 1.9759565 41.453189, 1.9758809 41.4532023, 1.9758033 41.4532055, 1.9757261 41.4531985, 1.9756518 41.4531814, 1.9755827 41.4531548, 1.9755208 41.4531195, 1.9754853 41.4530922, 1.9754541 41.453062, 1.9754278 41.4530293)",,roundabout,yes,,
115593149,True,1,tertiary,30,False,35.465999999999994,"LINESTRING (1.9717851 41.4499372, 1.9716204 41.4498412, 1.9715899 41.4498233, 1.9715347 41.4497953, 1.971463 41.4497313)",Via de l'Esport,,,,
1068765614,True,2,secondary,30,False,14.598,"LINESTRING (1.9717851 41.4499372, 1.9718077 41.4498968, 1.9718436 41.4498623, 1.9718902 41.449836)",Carretera de Martorell,,,,
1155128542,False,2,tertiary,30,False,12.218,"LINESTRING (1.9703555 41.4489631, 1.9704431 41.4490512)",Via de l'Esport,,,,
96811710,True,1,residential,30,False,176.618,"LINESTRING (1.9703555 41.4489631, 1.9702149 41.4490895, 1.970197 41.4491055, 1.970129 41.4491621, 1.9700088 41.449262, 1.9698351 41.4494056, 1.9697989 41.4494361, 1.9697356 41.4494886, 1.9696458 41.449563, 1.9695363 41.4496537, 1.9694754 41.4497054, 1.9689893 41.4500936, 1.968932 41.4501394)",Carrer de l'Anoia,,,,
199355117,False,2,tertiary,30,True,111.38700000000001,"LINESTRING (1.9703555 41.4489631, 1.9702408 41.4488472, 1.9701581 41.4487611, 1.9700951 41.4486984, 1.9700403 41.4486453, 1.9699806 41.448595, 1.9697435 41.4484193, 1.9695162 41.4482891, 1.9694604 41.4482634, 1.9694336 41.4482486)",Via de l'Esport,,,,
45863167,False,,residential,,True,29.073,"LINESTRING (1.9683308 41.4506605, 1.9682409 41.4506022, 1.9680668 41.4504896)",Plaça del Baix Llobregat,,,,
