osmid,name,highway,width,oneway,reversed,length,geometry,ref,lanes,bridge
195355775,Calle La Luna,residential,4,False,False,25.389,"LINESTRING (-6.4167117 43.3343584, -6.4164766 43.3345097)",,,
365999950,Avenida de Gonzalez Mayo,tertiary,,False,False,9.533,"LINESTRING (-6.4167117 43.3343584, -6.4166986 43.3344436)",,,
365999950,Avenida de Gonzalez Mayo,tertiary,,False,True,40.17700000000001,"LINESTRING (-6.4167117 43.3343584, -6.4167135 43.3343242, -6.4167251 43.334099, -6.4167186 43.3340477, -6.4167041 43.3339986)",,,
23023639,Avenida del Conde de Campomanes,tertiary,,False,False,5.004,"LINESTRING (-6.4166737 43.3339594, -6.4167041 43.3339986)",,,
23023639,Avenida del Conde de Campomanes,tertiary,,False,True,21.675,"LINESTRING (-6.4166737 43.3339594, -6.416658 43.3339449, -6.4166191 43.3339147, -6.4165775 43.3338893, -6.4165545 43.3338752, -6.4165346 43.333863, -6.416474 43.3338305)",,,
454661107,Calle Pio Cuervo,tertiary,,False,True,40.558,"LINESTRING (-6.4166737 43.3339594, -6.4167063 43.3339332, -6.4168074 43.3336121)",,,
23023639,Avenida del Conde de Campomanes,tertiary,,False,False,21.675,"LINESTRING (-6.416474 43.3338305, -6.4165346 43.333863, -6.4165545 43.3338752, -6.4165775 43.3338893, -6.4166191 43.3339147, -6.416658 43.3339449, -6.4166737 43.3339594)",,,
23023639,Avenida del Conde de Campomanes,tertiary,,False,True,48.331,"LINESTRING (-6.416474 43.3338305, -6.4163842 43.3338069, -6.4162925 43.3337965, -6.4162034 43.3338044, -6.4161296 43.3338298, -6.4160746 43.3338591, -6.4159509 43.3339436)",,,
195355803,Calle El Sol,residential,4,False,True,39.525999999999996,"LINESTRING (-6.416474 43.3338305, -6.4163518 43.3339646, -6.4162875 43.3340559, -6.4161861 43.3341109)",,,
23023639,Avenida del Conde de Campomanes,tertiary,,False,False,87.66000000000001,"LINESTRING (-6.4146075 43.3345106, -6.4148566 43.3344387, -6.4152605 43.3343023, -6.4154601 43.3342623, -6.4155038 43.3342332, -6.4155807 43.334182)",,,
70316446,Travesía de Jesús Evaristo Casariego,tertiary,,False,True,47.409,"LINESTRING (-6.4146075 43.3345106, -6.4145719 43.3345638, -6.4142318 43.3346976, -6.4141278 43.3347384)",,,
179847042,Circunvalación de Tineo/Tinéu,secondary,,True,False,11.315,"LINESTRING (-6.4195615 43.3365978, -6.4194479 43.3365384)",AS-217,,
67010599,,tertiary,,True,False,15.236,"LINESTRING (-6.4182643 43.3360754, -6.4183141 43.3360467, -6.4183542 43.3360153, -6.4183842 43.3359726)",,,
179847060,,tertiary,,True,False,93.57900000000001,"LINESTRING (-6.4182643 43.3360754, -6.418385 43.3360883, -6.4184915 43.336155, -6.4185962 43.3362519, -6.4186833 43.3363221, -6.4188246 43.3364092, -6.4189647 43.3364766, -6.4191081 43.336532, -6.4191876 43.3365312)",,,
161326919,,tertiary,,False,True,89.492,"LINESTRING (-6.4168074 43.3336121, -6.4169394 43.3335024, -6.4170559 43.3334215, -6.4170959 43.3333937, -6.4172551 43.3332832, -6.4175062 43.3330962, -6.4175813 43.3330375)",,,
454661107,Calle Pio Cuervo,tertiary,,False,False,40.558,"LINESTRING (-6.4168074 43.3336121, -6.4167063 43.3339332, -6.4166737 43.3339594)",,,
1230388798,,residential,,False,True,31.75,"LINESTRING (-6.4168074 43.3336121, -6.4167202 43.333599, -6.4165841 43.3335785, -6.4164372 43.3335246)",,,
"[67010680, 70316850]",Calle General Riego,residential,,False,False,50.873999999999995,"LINESTRING (-6.4167995 43.3347784, -6.4168301 43.3348857, -6.416798 43.334996, -6.4168202 43.3351039, -6.4168476 43.3352284)",,,
