osmid,oneway,name,highway,width,reversed,length,geometry,lanes,maxspeed,junction,tunnel,bridge
25333224,False,Goiko kalea,living_street,6,False,41.7,"LINESTRING (-1.8994697 43.3119322, -1.8993949 43.31196, -1.899013 43.312106)",,,,,
25352617,True,Pablo Iglesias kalea,living_street,,False,21.851,"LINESTRING (-1.8994697 43.3119322, -1.899379 43.3117858, -1.8993558 43.3117541)",1,,,,
"[25352616, 848045114]",False,Miguel Alduntzin kalea,residential,,False,183.48000000000002,"LINESTRING (-1.8981064 43.3115611, -1.897875 43.3113365, -1.897854 43.3113161, -1.8978469 43.3113092, -1.8975329 43.3110218, -1.897525 43.3110147, -1.8974126 43.3109136, -1.897343 43.3108541, -1.8968326 43.3104471, -1.896609 43.3103311)",1,10,,,
"[25333476, 1165941662]",True,Foruen plaza,living_street,,False,104.99700000000001,"LINESTRING (-1.9002024 43.3127196, -1.9001314 43.3127433, -1.9000626 43.3127387, -1.900017 43.3127317, -1.899978 43.3127191, -1.8999513 43.3127017, -1.8999239 43.3126703, -1.8997604 43.3124289, -1.8996141 43.3122092, -1.8996024 43.3121335, -1.8995367 43.312024)",,10,,,
"[25334283, 25333556]",True,"['Biteri kalea', 'Xenpelar kalea']",residential,,False,91.24999999999999,"LINESTRING (-1.9002024 43.3127196, -1.90033 43.3127991, -1.9009327 43.3131747, -1.9010631 43.3132498)",,20,,,
25352617,True,Pablo Iglesias kalea,living_street,,False,11.558,"LINESTRING (-1.8995367 43.312024, -1.8994697 43.3119322)",1,,,,
45677720,True,Morrongilleta kalea,residential,,False,73.666,"LINESTRING (-1.9010631 43.3132498, -1.9010937 43.3132203, -1.9011249 43.3131902, -1.9014217 43.3129039, -1.9016183 43.3127248)",,,,,
"[472246040, 25334285]",True,Biteri kalea,"['residential', 'living_street']",,False,94.709,"LINESTRING (-1.9019801 43.3137792, -1.901946 43.3137595, -1.9010631 43.3132498)",,20,,,
25359607,True,Alfontso XI. kalea,residential,,False,166.95700000000002,"LINESTRING (-1.9019801 43.3137792, -1.9019692 43.3137863, -1.9019286 43.3138126, -1.9014524 43.3141215, -1.9011734 43.3143125, -1.9009798 43.3144453, -1.9007814 43.3145737, -1.9006361 43.3146708, -1.900596 43.3146976, -1.9005875 43.3147696, -1.9005451 43.3148281)",,20,,,
25334285,True,Biteri kalea,residential,,False,63.042,"LINESTRING (-1.9026027 43.3141201, -1.9019801 43.3137792)",,20,,,
25359609,True,Segundo Izpizua kalea,residential,,False,112.017,"LINESTRING (-1.9026027 43.3141201, -1.9025623 43.3141227, -1.9025106 43.314141, -1.9019163 43.3146904, -1.9018677 43.3147359, -1.9018454 43.3147558, -1.9018233 43.3147755, -1.9017537 43.3148204, -1.9016786 43.3148463)",,,,,
25334284,True,Biteri kalea,residential,3,False,23.387999999999998,"LINESTRING (-1.9028238 43.3142556, -1.9026816 43.3141684, -1.9026027 43.3141201)",1,20,,,
25368654,True,Juan de Olazabal kalea,residential,,False,15.799999999999999,"LINESTRING (-1.9028238 43.3142556, -1.9028531 43.3142238, -1.9029326 43.3141376)",1,,,,
25334284,True,Biteri kalea,residential,3,False,58.787,"LINESTRING (-1.9033887 43.3145881, -1.9031042 43.3144186, -1.9028238 43.3142556)",1,20,,,
25333224,False,Goiko kalea,living_street,6,True,2.741,"LINESTRING (-1.8989854 43.3121203, -1.899013 43.312106)",,,,,
25359165,False,Tomás López kalea,residential,,False,28.924999999999997,"LINESTRING (-1.896609 43.3103311, -1.8966449 43.3102336, -1.8966987 43.3101584, -1.8967654 43.310102)",2,30,,,
25359165,False,Tomás López kalea,residential,,True,137.576,"LINESTRING (-1.896609 43.3103311, -1.8964409 43.3105112, -1.8962377 43.3106956, -1.8959168 43.3110149, -1.8958413 43.31109, -1.8956024 43.3113278)",2,30,,,
"[25352616, 848045114]",False,Miguel Alduntzin kalea,residential,,True,183.48000000000002,"LINESTRING (-1.896609 43.3103311, -1.8968326 43.3104471, -1.897343 43.3108541, -1.8974126 43.3109136, -1.897525 43.3110147, -1.8975329 43.3110218, -1.8978469 43.3113092, -1.897854 43.3113161, -1.897875 43.3113365, -1.8981064 43.3115611)",1,10,,,
25368897,True,Pablo Iglesias kalea,residential,,False,207.99400000000003,"LINESTRING (-1.8990827 43.3113214, -1.8989989 43.3112825, -1.8989319 43.311249, -1.8988008 43.3111819, -1.8986026 43.3111118, -1.8983831 43.3110417, -1.8982358 43.311005, -1.8981453 43.3109746, -1.8980325 43.3109288, -1.8979166 43.3108496, -1.8977742 43.3107293, -1.897669 43.3106363, -1.8975759 43.3105513, -1.8974344 43.3104269, -1.8972777 43.310285, -1.8972306 43.3102285, -1.8972141 43.3101733, -1.8972093 43.3101353)",1,,,,
27717248,False,Pablo Iglesias kalea,residential,,True,30.583,"LINESTRING (-1.8990827 43.3113214, -1.8991326 43.3113478, -1.8991736 43.3113544, -1.8992125 43.311355, -1.8992444 43.3113517, -1.8992727 43.3113457, -1.8992984 43.3113376, -1.8993421 43.3113171, -1.8993759 43.3112952, -1.8994053 43.3112672)",2,,,,
25357524,True,Nafarroa biribilgunea,secondary,,False,4.862,"LINESTRING (-1.9042574 43.3149692, -1.9042574 43.3149443, -1.9042526 43.3149258)",1,30,roundabout,,
148814038,True,Nafarroa etorbidea,secondary,,False,48.004,"LINESTRING (-1.9012598 43.3148191, -1.9011371 43.314804, -1.9010482 43.3148131, -1.9009589 43.314819, -1.9008451 43.3148125, -1.9006724 43.3147906)",1,30,,,
