osmid,oneway,ref,highway,reversed,length,bridge,width,name,geometry,junction
186162085,True,AL-8100,tertiary,False,29.074,,,,"LINESTRING (-2.1452034 37.3881146, -2.1455287 37.3880751)",
"[174388800, 96713284]",False,AL-8100,tertiary,True,221.115,yes,"['4', '5']",Avenida del Puente,"LINESTRING (-2.1452034 37.3881146, -2.1447845 37.388264, -2.1445324 37.3883666, -2.1443727 37.3884176, -2.1442266 37.3884541, -2.1439677 37.3884789, -2.1435936 37.3884276, -2.142816 37.3882975)",
101695557,False,AL-7100,tertiary,False,45.144,,5,Calle de San Leonardo,"LINESTRING (-2.1406022 37.3877853, -2.1410925 37.3878996)",
101695557,False,AL-7100,tertiary,True,34.916,,5,Calle de San Leonardo,"LINESTRING (-2.1406022 37.3877853, -2.1402658 37.3876205)",
175876291,False,,residential,False,9.131,,,Calle de Santo Domingo,"LINESTRING (-2.1406022 37.3877853, -2.140504 37.3878109)",
96713276,False,,residential,True,97.352,,4,Calle de la Amistad,"LINESTRING (-2.1405784 37.3869028, -2.1416728 37.3870047)",
"[175873978, 96713276]",False,,residential,"[False, True]",105.26600000000002,,4,Calle de la Amistad,"LINESTRING (-2.1405784 37.3869028, -2.1402217 37.3868675, -2.1402941 37.3865158, -2.1402566 37.3863794, -2.1403397 37.3862281)",
174388809,False,,residential,False,68.345,,4,Calle General Alvear,"LINESTRING (-2.1405784 37.3869028, -2.1406046 37.3867222, -2.1406669 37.3862922)",
174388809,False,,residential,True,30.415,,4,Calle General Alvear,"LINESTRING (-2.1405784 37.3869028, -2.1405731 37.3869579, -2.1404781 37.3871627)",
174388809,False,,residential,False,212.901,,4,Calle General Alvear,"LINESTRING (-2.1406669 37.3862922, -2.140698 37.3862629, -2.140865 37.3861053, -2.140954 37.3860159, -2.1414422 37.3855598, -2.1416648 37.3851932, -2.141705 37.3848267, -2.1417292 37.3847201, -2.1417697 37.3846531)",
174388809,False,,residential,True,68.345,,4,Calle General Alvear,"LINESTRING (-2.1406669 37.3862922, -2.1406046 37.3867222, -2.1405784 37.3869028)",
175873929,False,,residential,True,29.977,,,,"LINESTRING (-2.1406669 37.3862922, -2.1405195 37.3862793, -2.1403397 37.3862281)",
175873970,False,AL-7100,tertiary,False,58.007,,,Calle del Arrabal,"LINESTRING (-2.1424736 37.3909559, -2.1426671 37.3914544)",
175876271,False,,residential,True,40.844,,,Pasaje Arrabal,"LINESTRING (-2.1424736 37.3909559, -2.1421234 37.3911957)",
175873970,False,AL-7100,tertiary,True,66.911,,,Calle del Arrabal,"LINESTRING (-2.1424736 37.3909559, -2.1423443 37.3907856, -2.1420694 37.3904977, -2.1420393 37.3904638)",
175876271,False,,residential,False,84.745,,,Pasaje Arrabal,"LINESTRING (-2.1424736 37.3909559, -2.1427645 37.3907972, -2.1428208 37.3907226, -2.1428798 37.3905756, -2.1429227 37.3904456, -2.1429334 37.3903753, -2.1429147 37.3903433)",
175873924,False,AL-7100,tertiary,False,14.944,,,Calle del Salitre,"LINESTRING (-2.1419868 37.3901069, -2.1418384 37.3901714)",
175873936,False,AL-7100,tertiary,True,49.33,,,Calle de la Estación,"LINESTRING (-2.1419868 37.3901069, -2.1418165 37.3896844)",
175873919,False,,residential,False,55.037,,,Calle del Salitre,"LINESTRING (-2.1419868 37.3901069, -2.1421744 37.390013, -2.1425218 37.3898535)",
101695542,True,AL-7101,tertiary,False,13.628,,5,Calle del Rulador,"LINESTRING (-2.1413145 37.3912954, -2.1412615 37.3911803)",
175873999,True,,residential,False,20.603,,,Calle Arrabal de Santa Barbara,"LINESTRING (-2.1413145 37.3912954, -2.1413724 37.3912298, -2.1414394 37.3911391)",
175873924,False,AL-7100,tertiary,True,14.944,,,Calle del Salitre,"LINESTRING (-2.1418384 37.3901714, -2.1419868 37.3901069)",
175873970,False,AL-7100,tertiary,False,28.949,,,Calle del Arrabal,"LINESTRING (-2.1418384 37.3901714, -2.1419861 37.3904038)",
