osmid,lanes,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,name,service,bridge
809914260,1,C-253,secondary,30,roundabout,True,False,24.898000000000003,"LINESTRING (3.0688236 41.8203059, 3.0687295 41.8202885, 3.0686665 41.8202266, 3.068675 41.8201529)",,,
30060162,1,C-253,secondary,30,,True,False,11.805,"LINESTRING (3.068675 41.8201529, 3.0686511 41.8201099, 3.0686169 41.820056)",Avinguda del Cavall Bernat,,
907494354,1,C-253,secondary,30,roundabout,True,False,11.512,"LINESTRING (3.068675 41.8201529, 3.068714 41.8201161, 3.0687838 41.8200937)",,,
30060137,1,C-253,secondary,30,roundabout,True,False,13.398,"LINESTRING (3.0687838 41.8200937, 3.068863 41.8201028, 3.0689052 41.8201255, 3.0689239 41.8201425)",,,
30060143,,C-253,secondary,30,,True,False,20.93,"LINESTRING (3.0689234 41.8202556, 3.0689627 41.8203326, 3.069014 41.8204313)",Avinguda del Cavall Bernat,,
809914261,1,C-253,secondary,30,roundabout,True,False,10.169,"LINESTRING (3.0689234 41.8202556, 3.0688817 41.8202871, 3.0688236 41.8203059)",,,
1079399525,2,C-253,secondary,30,,False,False,15.747,"LINESTRING (3.0713314 41.822919, 3.0712158 41.8228066)",Avinguda del Cavall Bernat,,
30060142,,C-253,secondary,30,,True,False,21.057000000000002,"LINESTRING (3.069014 41.8204313, 3.0689057 41.82036, 3.0688236 41.8203059)",Avinguda del Cavall Bernat,,
"[1050009604, 207534927]",2,C-253,secondary,30,,False,True,99.46199999999999,"LINESTRING (3.069014 41.8204313, 3.0690879 41.8205145, 3.0695831 41.8210523, 3.0696912 41.8211698)",Avinguda del Cavall Bernat,,
30060525,,C-253,secondary,30,,False,False,122.226,"LINESTRING (3.0685698 41.8199623, 3.068551 41.8199419, 3.0680062 41.8193511, 3.067883 41.8192117, 3.0677422 41.8190525)",Avinguda del Cavall Bernat,,
30060531,1,C-253,secondary,30,,True,False,23.009,"LINESTRING (3.0685698 41.8199623, 3.0687116 41.8200427, 3.0687838 41.8200937)",Avinguda del Cavall Bernat,,
30060525,,C-253,secondary,30,,False,False,88.629,"LINESTRING (3.0677422 41.8190525, 3.0673046 41.8184321, 3.0672445 41.818347)",Avinguda del Cavall Bernat,,
30060525,,C-253,secondary,30,,False,True,122.226,"LINESTRING (3.0677422 41.8190525, 3.067883 41.8192117, 3.0680062 41.8193511, 3.068551 41.8199419, 3.0685698 41.8199623)",Avinguda del Cavall Bernat,,
200733389,,,living_street,,,False,False,123.51499999999999,"LINESTRING (3.0677422 41.8190525, 3.0676566 41.8190952, 3.0673098 41.8192683, 3.0673629 41.819366, 3.0674587 41.8195194, 3.0675285 41.819686, 3.0676362 41.8199478)",Avinguda del Cavall Bernat,,
167409452,2,C-253,secondary,30,,False,True,33.816,"LINESTRING (3.0670683 41.8180727, 3.0672445 41.818347)",Avinguda del Cavall Bernat,,
30082816,1,C-253,secondary,30,,True,False,20.58,"LINESTRING (3.0670683 41.8180727, 3.0670042 41.8180363, 3.0668709 41.8179604)",Avinguda del Cavall Bernat,,
809914258,,C-253,secondary,30,roundabout,True,False,13.418000000000001,"LINESTRING (3.0668709 41.8179604, 3.066831 41.8179552, 3.0667952 41.8179411, 3.0667669 41.8179196, 3.0667488 41.8178926)",,,
30061225,1,C-253,secondary,30,,True,False,17.395,"LINESTRING (3.0667725 41.8178008, 3.0667978 41.8176455)",Avinguda s'Agaró,,
907494353,,C-253,secondary,30,roundabout,True,False,13.791,"LINESTRING (3.0667725 41.8178008, 3.0668037 41.8177803, 3.066842 41.8177681, 3.0668834 41.8177656, 3.0669239 41.8177728)",,,
30082811,1,C-253,secondary,30,,True,False,17.595,"LINESTRING (3.0667978 41.8176455, 3.0669239 41.8177728)",Avinguda s'Agaró,,
30082808,2,C-253,secondary,30,,False,False,114.25999999999999,"LINESTRING (3.0667978 41.8176455, 3.0664538 41.8171883, 3.0662912 41.8169617, 3.0661399 41.8167426)",Avinguda s'Agaró,,
30061219,,C-253,secondary,30,,True,False,11.519,"LINESTRING (3.063766 41.8141222, 3.0636379 41.814082)",,,
30082808,2,C-253,secondary,30,,False,True,53.185,"LINESTRING (3.063766 41.8141222, 3.0638648 41.8142177, 3.0639515 41.8143098, 3.0641382 41.8145117)",Avinguda s'Agaró,,
809914256,,C-253,secondary,30,roundabout,True,False,9.375,"LINESTRING (3.0636379 41.814082, 3.0635814 41.814084, 3.0635264 41.8140742)",Plaça del Doctor Josep Trueta,,
30060162,1,C-253,secondary,30,,True,False,11.126,"LINESTRING (3.0686169 41.820056, 3.0685698 41.8199623)",Avinguda del Cavall Bernat,,
167628073,,,residential,30,,True,False,162.533,"LINESTRING (3.0686169 41.820056, 3.0685888 41.820171, 3.0685751 41.8202271, 3.0685223 41.8203877, 3.0684916 41.8204813, 3.0684065 41.8207339, 3.0683125 41.8209901, 3.0682282 41.8211547, 3.068119 41.8212473, 3.0680165 41.821299, 3.0678849 41.821345)",Carrer de Víctor Català,,
37961449,,,residential,30,,False,False,72.127,"LINESTRING (3.0635264 41.8140742, 3.0634934 41.8141411, 3.0632264 41.8146831)",Carrer de Juli Garreta,,
