osmid,name,highway,oneway,reversed,length,geometry,junction,bridge,lanes,ref,maxspeed
337753575,Lauaxeta Olerkaria kalea,residential,False,True,13.608,"LINESTRING (-2.8516546 43.3571374, -2.8514863 43.3571358)",,,,,
60878621,,residential,True,False,27.936,"LINESTRING (-2.8516546 43.3571374, -2.8516833 43.3570694, -2.8517559 43.3568972)",,,,,
337753575,Lauaxeta Olerkaria kalea,residential,False,False,13.608,"LINESTRING (-2.8514863 43.3571358, -2.8516546 43.3571374)",,,,,
337753575,Lauaxeta Olerkaria kalea,residential,False,True,46.367,"LINESTRING (-2.8514863 43.3571358, -2.8512326 43.3571164, -2.8510022 43.3570731, -2.8509252 43.3570562)",,,,,
337753575,Lauaxeta Olerkaria kalea,residential,False,True,4.221,"LINESTRING (-2.8509252 43.3570562, -2.8508736 43.3570504)",,,,,
337753575,Lauaxeta Olerkaria kalea,residential,False,False,46.367,"LINESTRING (-2.8509252 43.3570562, -2.8510022 43.3570731, -2.8512326 43.3571164, -2.8514863 43.3571358)",,,,,
28969730,,residential,False,False,10.124,"LINESTRING (-2.8500827 43.3564535, -2.8501396 43.3563724)",,,,,
686731952,,residential,True,False,16.633,"LINESTRING (-2.8500827 43.3564535, -2.8500549 43.3564464, -2.8500256 43.3564455, -2.8499971 43.3564507, -2.849972 43.3564618, -2.8499523 43.3564776, -2.8499397 43.356497, -2.8499354 43.3565181)",roundabout,,,,
"[28969729, 28969859, 28969860]",Lauaxeta Olerkaria kalea,residential,False,False,123.68100000000001,"LINESTRING (-2.8499354 43.3565181, -2.8498386 43.3564919, -2.8497603 43.3564637, -2.8495758 43.3563706, -2.8495347 43.3563511, -2.8494067 43.3562857, -2.8490419 43.3560965, -2.8487576 43.355958, -2.848657 43.3559122)",,yes,,,
686731952,,residential,True,False,16.961,"LINESTRING (-2.8499354 43.3565181, -2.8499399 43.3565396, -2.8499529 43.3565593, -2.8499733 43.3565752, -2.8499993 43.3565861, -2.8500285 43.3565909, -2.8500584 43.3565893, -2.8500863 43.3565813)",roundabout,,,,
28969860,Lauaxeta Olerkaria kalea,residential,False,True,45.52,"LINESTRING (-2.8482304 43.3556489, -2.8483159 43.3557182, -2.8484043 43.3557836, -2.8484565 43.3558151, -2.8485152 43.3558467, -2.848657 43.3559122)",,,,,
36357943,Neurketa kalea,residential,True,False,56.190000000000005,"LINESTRING (-2.8482304 43.3556489, -2.8481874 43.3556809, -2.84815 43.3557294, -2.8480906 43.3558227, -2.8479866 43.355961, -2.8479315 43.3560027, -2.8478543 43.3560688)",,,,,
