osmid,oneway,name,highway,reversed,length,lanes,ref,maxspeed,geometry,junction,bridge
689063438,True,Camino Viejo de Callosa,residential,False,62.572,,,,"LINESTRING (-0.9401657 38.0891943, -0.9394964 38.0893922)",,
1127284086,False,Calle Ronda de Santo Domingo,tertiary,True,23.897000000000002,2,CV-9245,30,"LINESTRING (-0.9401657 38.0891943, -0.940193 38.0890258, -0.9401953 38.089019, -0.9402079 38.0889823)",,
42751952,True,Calle Adolfo Clavarana,residential,False,59.283,,,,"LINESTRING (-0.9418158 38.0885182, -0.942065 38.0883409, -0.9423065 38.0881509)",,
46039474,False,Calle de la Cruz,living_street,False,61.893,,,,"LINESTRING (-0.9418158 38.0885182, -0.9418763 38.0886056, -0.9419311 38.0886578, -0.9420048 38.0887511, -0.9420646 38.0888379, -0.942107 38.0888924, -0.9421721 38.0889786, -0.9421849 38.0889918)",,
23024612,False,Calle Reales,living_street,False,32.631,1,,30,"LINESTRING (-0.9423065 38.0881509, -0.9421725 38.0879979, -0.9420977 38.0879078)",,
42751952,True,Calle Adolfo Clavarana,residential,False,87.04200000000002,,,,"LINESTRING (-0.9423065 38.0881509, -0.9424733 38.0880526, -0.9426421 38.0879391, -0.9429041 38.0877179, -0.9430211 38.0876103)",,
1105579804,True,Calle Adolfo Clavarana,residential,False,64.527,,,,"LINESTRING (-0.9430211 38.0876103, -0.9430565 38.0875945, -0.9432224 38.0875423, -0.9437038 38.0873919)",,
23024443,False,Prolongación Ronda Santo Domingo,tertiary,False,100.88900000000001,2,,30,"LINESTRING (-0.9401963 38.0853946, -0.9402063 38.0854852, -0.9403042 38.0858184, -0.9404284 38.0862293, -0.9404437 38.0862799)",,
42310450,False,Camino San Pedro,residential,True,90.919,,,,"LINESTRING (-0.9401963 38.0853946, -0.9403418 38.085382, -0.9407527 38.0853648, -0.941135 38.0852638, -0.9412093 38.0852459)",,
1127284085,False,Camino San Pedro,tertiary,False,74.39099999999999,2,,30,"LINESTRING (-0.9401963 38.0853946, -0.9400558 38.0853649, -0.9396651 38.0853086, -0.9394552 38.0852837, -0.9393628 38.0852662)",,
23024443,False,Prolongación Ronda Santo Domingo,tertiary,False,50.269,2,,30,"LINESTRING (-0.9404437 38.0862799, -0.9405723 38.0867205)",,
