osmid,name,highway,oneway,reversed,length,geometry,lanes,junction,width,bridge
50433437,Sector Quermanço,residential,False,False,78.59,"LINESTRING (3.1226871 42.2469211, 3.1226167 42.2468409, 3.1223027 42.2462757)",,,,
50448626,,residential,True,False,28.938000000000002,"LINESTRING (3.1226871 42.2469211, 3.1229136 42.2469781, 3.123002 42.2470294)",,,,
"[1085334700, 50429951]",Avinguda de la República Catalana,tertiary,False,True,51.211,"LINESTRING (3.1226871 42.2469211, 3.1230503 42.246831, 3.1231694 42.246788, 3.1232652 42.2467534)",2,,,
"[1085335226, 32470604]",Avinguda de la República Catalana,tertiary,False,False,43.878,"LINESTRING (3.1226871 42.2469211, 3.1223618 42.2470185, 3.1221929 42.247069)",2,,,
32470473,,tertiary,True,False,28.929999999999996,"LINESTRING (3.1266358 42.2452444, 3.1265991 42.2452924, 3.1265495 42.2453272, 3.126486 42.2453509, 3.126413 42.2453599, 3.1263497 42.2453563)",3,roundabout,,
32470903,Avinguda de Carles Fages de Climent,residential,True,False,242.434,"LINESTRING (3.1266358 42.2452444, 3.1267191 42.2453882, 3.1267253 42.2453997, 3.1271258 42.2458274, 3.127547 42.2462422, 3.1282548 42.2469163, 3.1283529 42.2470097)",3,,12,
32470473,,tertiary,True,False,4.69,"LINESTRING (3.1261764 42.2452157, 3.1261699 42.2451738)",3,roundabout,,
32470091,Avinguda de la República Catalana,tertiary,True,False,23.442,"LINESTRING (3.1260141 42.2453882, 3.1261181 42.2452914, 3.1261764 42.2452157)",,,,
147435336,Avinguda de la República Catalana,tertiary,False,False,26.793,"LINESTRING (3.1260141 42.2453882, 3.1259154 42.2454391, 3.125747 42.2455259)",2,,,
32470499,Carrer de Migjorn,residential,True,False,10.211,"LINESTRING (3.1230476 42.246944, 3.123002 42.2470294)",,,,
"[114444026, 1085336494]",Empúries A,residential,False,False,73.17000000000002,"LINESTRING (3.1230476 42.246944, 3.1231424 42.2469799, 3.1238096 42.2470562, 3.1239165 42.2470633)",,,,
32470499,Carrer de Migjorn,residential,True,False,31.291,"LINESTRING (3.1230076 42.2470674, 3.1230469 42.2471107, 3.1231008 42.2472155, 3.1231829 42.2473156)",,,,
