osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel
579887121,A-124,Aldundi hiribidea/Avenida Diputación,primary,50,False,False,127.463,"LINESTRING (-2.5833389 42.5543232, -2.5830081 42.5532031)",
579884784,A-124,Gasteizko errepidea/Carretera de Vitoria,primary,50,False,True,398.132,"LINESTRING (-2.5833389 42.5543232, -2.5835215 42.5549291, -2.5836174 42.5551557, -2.5837281 42.555358, -2.5843917 42.5564292, -2.5846336 42.5568311, -2.584872 42.5572418, -2.5849998 42.5574289, -2.5851698 42.5576232)",
579887122,,Urmaela bidea/Camino la Balsa,residential,,False,False,60.982,"LINESTRING (-2.5833389 42.5543232, -2.5834033 42.5542689, -2.5834187 42.5542334, -2.583417 42.5539889, -2.5834411 42.5538331, -2.5834636 42.5537992)",
"[46886019, 405452839, 581371334, 581371335]",,Antso Abarka ibilbidea/Paseo Sancho Abarca,residential,,False,False,473.7919999999999,"LINESTRING (-2.5851698 42.5576232, -2.5850463 42.557339, -2.584864 42.5570186, -2.5848092 42.556791, -2.5846904 42.5563557, -2.5846542 42.5562232, -2.5844701 42.5554183, -2.584387 42.5550548, -2.5843362 42.5547782, -2.5843278 42.5547012, -2.5842795 42.554318, -2.5842494 42.5542091, -2.5842286 42.5539904, -2.5842113 42.5538936, -2.5841852 42.55375, -2.5841568 42.5536274, -2.5841099 42.5535267, -2.5840802 42.553455)",
405452833,A-124,Gasteizko errepidea/Carretera de Vitoria,primary,50,False,True,56.334,"LINESTRING (-2.5851698 42.5576232, -2.585287 42.557738, -2.5854344 42.5578397, -2.5856765 42.5579584)",
579884784,A-124,Gasteizko errepidea/Carretera de Vitoria,primary,50,False,False,398.13199999999995,"LINESTRING (-2.5851698 42.5576232, -2.5849998 42.5574289, -2.584872 42.5572418, -2.5846336 42.5568311, -2.5843917 42.5564292, -2.5837281 42.555358, -2.5836174 42.5551557, -2.5835215 42.5549291, -2.5833389 42.5543232)",
405452833,A-124,Gasteizko errepidea/Carretera de Vitoria,primary,50,False,False,56.334,"LINESTRING (-2.5856765 42.5579584, -2.5854344 42.5578397, -2.585287 42.557738, -2.5851698 42.5576232)",
58724675,,,residential,,False,False,243.88600000000002,"LINESTRING (-2.5864724 42.5579099, -2.5865714 42.5578004, -2.5866276 42.5576904, -2.5866691 42.5575904, -2.5867096 42.5574637, -2.5867446 42.5573048, -2.5867704 42.5570955, -2.5867762 42.5570461, -2.5867858 42.5568484, -2.5867599 42.556636, -2.5867084 42.556438, -2.58662 42.5562054, -2.5865228 42.5557768)",
58724675,,,residential,,False,False,97.16499999999999,"LINESTRING (-2.5854908 42.551879, -2.5850853 42.5515422, -2.5847996 42.5513313, -2.5846612 42.5512578)",
58724675,,,residential,,False,True,220.547,"LINESTRING (-2.5854908 42.551879, -2.5857613 42.5521409, -2.5859471 42.5523389, -2.5860635 42.5526001, -2.5860901 42.5527368, -2.5860842 42.5528749, -2.5860592 42.5530485, -2.586034 42.553243, -2.5860341 42.5533779, -2.5861036 42.5537318)",
