osmid,lanes,highway,junction,oneway,reversed,length,geometry,name,tunnel,maxspeed
9373366,2,primary,roundabout,True,False,11.747,"LINESTRING (-3.6235345 40.5456639, -3.6236056 40.545663, -3.6236714 40.5456502)",,,
9282450,2,primary,,True,False,30.480000000000004,"LINESTRING (-3.6233997 40.5455994, -3.6233267 40.5456933, -3.6232162 40.5458354)",Paseo de Europa,,
265638758,2,primary,roundabout,True,False,13.732,"LINESTRING (-3.6233997 40.5455994, -3.6234544 40.54564, -3.6235345 40.5456639)",,,
9282450,2,primary,,True,False,77.661,"LINESTRING (-3.6219858 40.5474175, -3.6218183 40.547639, -3.6216574 40.5478397, -3.6215621 40.5479556, -3.6214982 40.5480078)",Paseo de Europa,,
9611976,,residential,,False,False,68.65299999999999,"LINESTRING (-3.6219858 40.5474175, -3.6219257 40.5473994, -3.6218792 40.5473855, -3.621836 40.5473725, -3.6216001 40.5473557, -3.621192 40.5474109)",Calle Ciruelos,,
"[9282834, 9282804, 156475822]",,secondary,,True,False,163.53,"LINESTRING (-3.6202272 40.5490686, -3.6202713 40.5490889, -3.6203078 40.549109, -3.6203372 40.549134, -3.6203662 40.5491757, -3.6204646 40.549332, -3.6206491 40.5496328, -3.6207097 40.5497107, -3.620785 40.5497848, -3.6209553 40.5499359, -3.6210494 40.5500078, -3.6211505 40.5500771, -3.6212543 40.5501323, -3.6214019 40.5501924)",Calle de Martín Chirino,yes,
156734446,,secondary,roundabout,True,False,19.601999999999997,"LINESTRING (-3.6202272 40.5490686, -3.6202712 40.5490596, -3.6203104 40.5490436, -3.6203387 40.549021, -3.6203619 40.5489906, -3.6203823 40.5489521)",,,
25740934,,secondary,,True,False,59.754,"LINESTRING (-3.6214019 40.5501924, -3.6217869 40.5503159, -3.6218617 40.5503437, -3.6218948 40.5503623, -3.6219249 40.5504032, -3.6219423 40.5504422, -3.6219533 40.5504785)",Calle de Martín Chirino,,
156475836,,secondary,roundabout,True,False,20.65,"LINESTRING (-3.6203823 40.5489521, -3.6203836 40.5489159, -3.6203717 40.5488705, -3.6203445 40.5488289, -3.6203259 40.5488088, -3.6202923 40.5487892)",,,
1270932487,2,primary,roundabout,True,False,5.98,"LINESTRING (-3.6214982 40.5480078, -3.6214674 40.548021, -3.621443 40.5480405)",,,
9373247,2,primary,,True,False,221.144,"LINESTRING (-3.623767 40.5454042, -3.6238636 40.5452763, -3.6238754 40.5452606, -3.624277 40.5447823, -3.6244008 40.5446311, -3.6250464 40.5438568, -3.6251836 40.5437339)",Paseo de Europa,,
265638759,2,primary,roundabout,True,False,17.745,"LINESTRING (-3.623767 40.5454042, -3.6237079 40.5453563, -3.6236541 40.5453385, -3.6235897 40.5453322)",,,
265633486,2,primary,roundabout,True,False,14.816,"LINESTRING (-3.6251836 40.5437339, -3.6253585 40.5437244)",Ronda de Europa,,
265633485,2,primary,roundabout,True,False,25.521,"LINESTRING (-3.6255071 40.5434386, -3.6254512 40.5433772, -3.6254045 40.5433484, -3.6253343 40.5433235, -3.6252692 40.5433145)",Ronda de Europa,,
265633487,2,primary,roundabout,True,False,24.489000000000004,"LINESTRING (-3.6252692 40.5433145, -3.6251929 40.5433189, -3.6251507 40.5433285, -3.6250699 40.5433651, -3.6250198 40.5434077)",Ronda de Europa,,
9373424,2,primary,roundabout,True,False,19.67,"LINESTRING (-3.6250042 40.543627, -3.6251027 40.5437077, -3.6251836 40.5437339)",Ronda de Europa,,
9853322,2,primary,,True,False,225.134,"LINESTRING (-3.6250042 40.543627, -3.6249292 40.5437891, -3.6249196 40.5438152, -3.6242847 40.5445676, -3.6241455 40.544731, -3.6237361 40.5452161, -3.6237281 40.5452256, -3.623649 40.5452865, -3.6235897 40.5453322)",Paseo de Europa,,
265638762,2,primary,roundabout,True,False,18.646,"LINESTRING (-3.6235897 40.5453322, -3.623523 40.5453415, -3.6234609 40.5453635, -3.6234019 40.5454093)",,,
9373366,2,primary,roundabout,True,False,12.958,"LINESTRING (-3.6237981 40.5455172, -3.6237923 40.5454574, -3.623767 40.5454042)",,,
31696393,2,secondary,,True,False,29.932,"LINESTRING (-3.6287881 40.5439398, -3.6290832 40.5440887)",Avenida de España,,
31696390,,residential,,True,False,18.745,"LINESTRING (-3.6287881 40.5439398, -3.6287492 40.5439909, -3.6287368 40.5440527, -3.6287509 40.5440985)",,,
570984513,,residential,,True,False,9.896,"LINESTRING (-3.6290832 40.5440887, -3.6291403 40.544011)",,,
493545156,2,secondary,,True,False,36.437,"LINESTRING (-3.6290832 40.5440887, -3.629172 40.5441238, -3.6294659 40.5442397)",Avenida de España,,
1032485839,,residential,,True,False,8.657,"LINESTRING (-3.6312258 40.5446971, -3.6312725 40.5446278)",,,
9611976,,residential,,False,False,36.579,"LINESTRING (-3.621192 40.5474109, -3.6207686 40.5474795)",Calle Ciruelos,,
9611976,,residential,,False,True,68.653,"LINESTRING (-3.621192 40.5474109, -3.6216001 40.5473557, -3.621836 40.5473725, -3.6218792 40.5473855, -3.6219257 40.5473994, -3.6219858 40.5474175)",Calle Ciruelos,,
"[9612556, 155512662]",,residential,,True,False,125.16,"LINESTRING (-3.621192 40.5474109, -3.6205313 40.5467291, -3.620827 40.5465639)","['Calle Castaños', 'Calle Limonar']",,
9611976,,residential,,False,True,7.792,"LINESTRING (-3.6206784 40.5474941, -3.6207686 40.5474795)",Calle Ciruelos,,
155512663,,residential,,False,True,105.917,"LINESTRING (-3.6208285 40.5455656, -3.6212968 40.5454306, -3.6220005 40.5452277)",Calle Caño Gordo,,
9612517,,residential,,True,False,73.563,"LINESTRING (-3.620827 40.5465639, -3.6202923 40.5460418)",Calle Naranjos,,
9612556,,residential,,True,False,81.192,"LINESTRING (-3.620827 40.5465639, -3.6215777 40.5461081)",Calle Limonar,,
9612636,,residential,,True,False,87.443,"LINESTRING (-3.6215777 40.5461081, -3.6208285 40.5455656)",Calle de Acacias,,
300542634,,residential,,False,False,81.243,"LINESTRING (-3.6215777 40.5461081, -3.6223513 40.546542)",Calle de Acacias,,
9612842,,residential,,False,False,98.701,"LINESTRING (-3.6205208 40.5439772, -3.6211466 40.5432277)",Calle de Marie Curie,,
"[87095521, 9613005]",,residential,,False,False,179.257,"LINESTRING (-3.6205208 40.5439772, -3.6217689 40.5445955, -3.622297 40.5448587)","['Avenida de Ramón y Cajal', 'Avenida Ramón y Cajal']",,
