osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,access,maxspeed,tunnel,junction
67147406,Rúa Camiño Vello de Santiago,residential,False,False,7.948,"LINESTRING (-8.0094895 42.9120339, -8.0095775 42.9120648)",,,,,,
398375739,Rúa de María Casares,residential,False,True,48.347,"LINESTRING (-8.0094895 42.9120339, -8.009306 42.9116204)",,,,,,
67147406,Rúa Camiño Vello de Santiago,residential,False,True,84.435,"LINESTRING (-8.0094895 42.9120339, -8.0091941 42.9120038, -8.008463 42.9119272)",,,,,,
152680415,Rúa de Don Gaiferos,unclassified,False,True,33.941,"LINESTRING (-8.008463 42.9119272, -8.0083728 42.9122252)",,,,,,
219120796,,residential,False,True,10.841,"LINESTRING (-8.008463 42.9119272, -8.0083555 42.9118697)",,,,,,
67147406,Rúa Camiño Vello de Santiago,residential,False,False,84.435,"LINESTRING (-8.008463 42.9119272, -8.0091941 42.9120038, -8.0094895 42.9120339)",,,,,,
553810318,Avenida de Lugo,trunk,False,False,23.728,"LINESTRING (-8.0115603 42.9133466, -8.0118425 42.9133997)",2,N-547,,,,
67153541,Avenida de Lugo,trunk,False,True,55.410000000000004,"LINESTRING (-8.0115603 42.9133466, -8.0110051 42.9132492, -8.010898 42.9132325)",2,N-547,,,,
319298561,Rúa Camiño de Santiago,residential,False,True,67.362,"LINESTRING (-8.0115603 42.9133466, -8.0114993 42.9132369, -8.0112998 42.9129984, -8.0111623 42.9128168)",,,yes,,,
67153535,,residential,False,False,78.31800000000001,"LINESTRING (-8.0191637 42.9137444, -8.0191525 42.9137383, -8.0191389 42.9137358, -8.0191202 42.9137398, -8.0188751 42.9137993, -8.0187532 42.913823, -8.018241 42.9139225)",,,,,,
398375729,Rúa Alexandre Bóveda,primary,False,False,100.354,"LINESTRING (-8.0148141 42.9135102, -8.0150209 42.9126205)",2,AC-840,,,,
398375729,Rúa Alexandre Bóveda,primary,False,True,17.187,"LINESTRING (-8.0148141 42.9135102, -8.0147823 42.913663)",2,AC-840,,,,
67153546,Rúa de Mateo Segade Bugueiro,living_street,False,False,87.34,"LINESTRING (-8.0164635 42.9150105, -8.0164683 42.9150168, -8.0165016 42.9150608, -8.0165178 42.9150952, -8.0165338 42.9151635, -8.0165639 42.9152588, -8.0165879 42.9152948, -8.0166344 42.9153893, -8.0166812 42.9156213, -8.0167162 42.9157685)",,,,,,
70471177,Rúa San Antonio,residential,False,True,29.198999999999998,"LINESTRING (-8.0164635 42.9150105, -8.0166 42.9149464, -8.0167635 42.9148667)",,,,,,
319304887,Rúa do Camiño de Ovedo,living_street,True,False,61.160000000000004,"LINESTRING (-8.0164635 42.9150105, -8.0163984 42.9149436, -8.0161848 42.9147108, -8.016151 42.9146655, -8.0161383 42.9146388, -8.0161333 42.9146128, -8.0161386 42.9145895, -8.0161528 42.914561, -8.0161846 42.9145468)",,,,,,
553810318,Avenida de Lugo,trunk,False,False,67.699,"LINESTRING (-8.0125849 42.9135298, -8.0127785 42.9135633, -8.0131035 42.9136194, -8.0133945 42.913668)",2,N-547,,,,
553810318,Avenida de Lugo,trunk,False,True,22.146,"LINESTRING (-8.0125849 42.9135298, -8.0124488 42.9135066, -8.01232 42.9134848)",2,N-547,,,,
398375745,Travesía América,residential,False,True,21.253,"LINESTRING (-8.0132674 42.9160783, -8.0131067 42.9159277)",,,,,,
398375739,Rúa de María Casares,residential,False,False,43.075,"LINESTRING (-8.0091647 42.9112471, -8.009306 42.9116204)",,,,,,
"[398375773, 152680390]",,"['residential', 'unclassified']",False,True,325.887,"LINESTRING (-8.0091647 42.9112471, -8.0092517 42.9100414, -8.0096544 42.9101493, -8.0103782 42.9101971, -8.0104759 42.9102035, -8.0111835 42.9102744, -8.0114439 42.9103007, -8.0115585 42.910332)",,,,,,
219120795,,unclassified,False,True,103.692,"LINESTRING (-8.0091647 42.9112471, -8.0090447 42.9112607, -8.0088954 42.9112812, -8.008812 42.9112992, -8.0087942 42.9113065, -8.0087416 42.9113391, -8.0086674 42.9114056, -8.0085198 42.9116159, -8.0084244 42.9117666, -8.0083555 42.9118697)",,,,,,
319300625,Circunvalación do Campo da Feira,residential,False,True,188.166,"LINESTRING (-8.0091647 42.9112471, -8.0096504 42.9111458, -8.0099216 42.9110735, -8.0104975 42.9108523, -8.0107797 42.910718, -8.0109301 42.9106382, -8.0112039 42.9104853)",,,,,,
39743024,,residential,False,True,35.168,"LINESTRING (-8.01807 42.9139597, -8.0182385 42.9142509)",,,,,,
1222214537,Rúa Principal,residential,True,False,14.527,"LINESTRING (-8.01807 42.9139597, -8.018241 42.9139225)",,,,,,
70471177,Rúa San Antonio,residential,False,False,33.042,"LINESTRING (-8.0184214 42.9144934, -8.0180282 42.9145667)",,,,,,
39743024,,residential,False,False,30.805,"LINESTRING (-8.0184214 42.9144934, -8.018277 42.914302, -8.0182385 42.9142509)",,,,,,
39635417,Rúa Nova,residential,True,False,31.845,"LINESTRING (-8.0161846 42.9145468, -8.0161012 42.914267)",,,,,,
