osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,tunnel,junction,access
23308813,False,CV-3007,Carretera de Barcelona,secondary,50,False,86.408,"LINESTRING (-0.3071921 39.6204207, -0.3073544 39.6202218, -0.3074356 39.6201189, -0.3075327 39.6199486, -0.3075721 39.6198705, -0.3076377 39.6197272)",,,,
"[77464273, 77464269]",True,,"['Carrer de Ramón i Cajal', ""Carrer d'els Ports""]",residential,,False,284.078,"LINESTRING (-0.3071921 39.6204207, -0.3063813 39.6199827, -0.3060333 39.6203275, -0.3057974 39.6205641, -0.30574 39.6206282, -0.3056681 39.6207085, -0.3053373 39.6210779, -0.3050184 39.6214341)",,,,
77464275,False,CV-3007,Avinguda dels Hostalets,secondary,50,True,12.883,"LINESTRING (-0.3085595 39.6177398, -0.3085078 39.6178486)",2,,,
77613383,True,,Avinguda València,tertiary,,False,56.915000000000006,"LINESTRING (-0.3085595 39.6177398, -0.3085002 39.6176975, -0.3084427 39.6176779, -0.3079438 39.6175629)",,,,
23525609,False,,Plaza San Juan de la Ribera,residential,,False,43.222,"LINESTRING (-0.3006211 39.6156285, -0.3011256 39.615636)",,,,
23525609,False,,Plaza San Juan de la Ribera,residential,,True,34.714,"LINESTRING (-0.3006211 39.6156285, -0.3002258 39.6155597)",,,,
23525650,False,,Carrer del Puig,residential,,False,54.29,"LINESTRING (-0.3006211 39.6156285, -0.3007644 39.6151529)",,,,
23525609,False,,Plaza San Juan de la Ribera,residential,,False,38.917,"LINESTRING (-0.3011256 39.615636, -0.3010372 39.6159793)",,,,
23525609,False,,Plaza San Juan de la Ribera,residential,,True,43.222,"LINESTRING (-0.3011256 39.615636, -0.3006211 39.6156285)",,,,
77707276,True,,Carrer de Sant Miguel,residential,,False,55.538,"LINESTRING (-0.3011256 39.615636, -0.3017738 39.6156476)",,,,
23525609,False,,Plaza San Juan de la Ribera,residential,,True,38.917,"LINESTRING (-0.3010372 39.6159793, -0.3011256 39.615636)",,,,
23525610,False,,Plaza de la Iglesia,residential,,True,43.655,"LINESTRING (-0.3010372 39.6159793, -0.3008538 39.6163456)",,,,
23525610,False,,Plaza de la Iglesia,residential,,False,43.655,"LINESTRING (-0.3008538 39.6163456, -0.3010372 39.6159793)",,,,
23525618,True,,Calle Obispo Amigo,residential,,False,69.025,"LINESTRING (-0.3008538 39.6163456, -0.3006081 39.6169368)",,,,
