osmid,oneway,name,highway,reversed,length,lanes,geometry,maxspeed,junction,tunnel
41725490,False,Avenida del Camí Nou,tertiary,True,71.343,,"LINESTRING (-0.3967906 39.4198469, -0.3965496 39.4204609)",,,
23375945,False,Carrer del Doctor Vicente Navarro,residential,False,80.651,2,"LINESTRING (-0.3967906 39.4198469, -0.3976492 39.4199882, -0.3977089 39.419998)",,,
23375979,False,Avinguda Alfafar,tertiary,True,105.03999999999999,3,"LINESTRING (-0.3967906 39.4198469, -0.3966603 39.4198295, -0.3961561 39.4197623, -0.3955866 39.4196819)",,,
41725490,False,Avenida del Camí Nou,tertiary,False,119.00099999999999,,"LINESTRING (-0.3967906 39.4198469, -0.396846 39.4197058, -0.3971924 39.4188227)",,,
41725489,False,Calle de Menéndez Pelayo,tertiary,True,9.968,,"LINESTRING (-0.3951035 39.4241464, -0.3950699 39.4242322)",,,
41725490,False,Avenida del Camí Nou,tertiary,False,80.287,,"LINESTRING (-0.3951035 39.4241464, -0.3953746 39.4234554)",,,
41725489,False,Calle de Menéndez Pelayo,tertiary,True,55.969,,"LINESTRING (-0.3948742 39.4247272, -0.3946869 39.4252093)",,,
41992784,True,Calle del Maestro García Zapater,residential,False,81.0,,"LINESTRING (-0.3948742 39.4247272, -0.3957798 39.4249304)",,,
41725489,False,Calle de Menéndez Pelayo,tertiary,False,57.552,,"LINESTRING (-0.3948742 39.4247272, -0.3950587 39.4242608, -0.3950699 39.4242322)",,,
41725489,False,Calle de Menéndez Pelayo,tertiary,False,55.969,,"LINESTRING (-0.3946869 39.4252093, -0.3948742 39.4247272)",,,
41725489,False,Calle de Menéndez Pelayo,tertiary,True,48.329,,"LINESTRING (-0.3946869 39.4252093, -0.3945239 39.4256253)",,,
23375941,False,Avenida de Paiporta,tertiary,False,116.483,,"LINESTRING (-0.403221 39.4261312, -0.4025322 39.425952, -0.4019415 39.4257843)",50,,
23375941,False,Avenida de Paiporta,tertiary,False,47.397,,"LINESTRING (-0.4019415 39.4257843, -0.4017296 39.4257284, -0.4016679 39.4257131, -0.4014173 39.4256512)",50,,
23375941,False,Avenida de Paiporta,tertiary,True,116.483,,"LINESTRING (-0.4019415 39.4257843, -0.4025322 39.425952, -0.403221 39.4261312)",50,,
397267247,False,Camí Vell de Picassent,residential,False,317.369,,"LINESTRING (-0.4019415 39.4257843, -0.4022178 39.424815, -0.4022749 39.4246253, -0.4023579 39.4243575, -0.4025808 39.4236612, -0.4026214 39.4235321, -0.4028232 39.4232594, -0.4028924 39.4230385)",,,
42020802,False,Calle de Madrid,residential,False,24.319,,"LINESTRING (-0.4009651 39.4255414, -0.4010184 39.4253266)",,,
23375941,False,Avenida de Paiporta,tertiary,False,71.122,,"LINESTRING (-0.4009651 39.4255414, -0.4002883 39.4253695, -0.4001785 39.4253416)",50,,
23375941,False,Avenida de Paiporta,tertiary,True,30.918000000000003,,"LINESTRING (-0.4009651 39.4255414, -0.4012396 39.4256067, -0.4013091 39.4256233)",50,,
23375941,False,Avenida de Paiporta,tertiary,False,58.309000000000005,,"LINESTRING (-0.4001785 39.4253416, -0.4000526 39.4253311, -0.3995249 39.4252054)",50,,
23375941,False,Avenida de Paiporta,tertiary,True,71.122,,"LINESTRING (-0.4001785 39.4253416, -0.4002883 39.4253695, -0.4009651 39.4255414)",50,,
