osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,bridge,width,junction,tunnel
31027515,Calle Camilo José Cela,residential,False,False,83.34,"LINESTRING (-6.0504148 37.3833914, -6.0503684 37.3834115, -6.0498483 37.3836369, -6.0497882 37.3838688)",,,,,,,
31291152,Calle Camilo José Cela,residential,False,False,205.07,"LINESTRING (-6.0504148 37.3833914, -6.0504759 37.3833874, -6.0505914 37.3833798, -6.0509169 37.3834342, -6.0512408 37.3834884, -6.051904 37.3836248, -6.0520888 37.383664, -6.0523768 37.3840857)",,,,,,,
31027515,Calle Camilo José Cela,residential,False,True,83.34,"LINESTRING (-6.0497882 37.3838688, -6.0498483 37.3836369, -6.0503684 37.3834115, -6.0504148 37.3833914)",,,,,,,
31027541,Calle Virgen de Loreto,residential,False,False,102.71000000000001,"LINESTRING (-6.0497882 37.3838688, -6.0499684 37.3840393, -6.050427 37.3846382)",,,,,,,
31236765,Calle Virgen de Loreto,residential,True,False,96.69200000000001,"LINESTRING (-6.0509681 37.385394, -6.0507152 37.3850487, -6.050427 37.3846382)",,,,,,,
213222075,Calle Diego de los Reyes,residential,True,False,245.26,"LINESTRING (-6.0509681 37.385394, -6.0509052 37.3854295, -6.0503343 37.3857517, -6.0501823 37.3858337, -6.0501547 37.3858472, -6.0493676 37.3864331, -6.0494903 37.3869838)",1,,,,,,
676717999,Calle Real,secondary,False,False,36.387,"LINESTRING (-6.0494903 37.3869838, -6.0491912 37.3870431, -6.0490907 37.387063)",2,A-474,30,,,,
676717999,Calle Real,secondary,False,True,18.756999999999998,"LINESTRING (-6.0494903 37.3869838, -6.0495924 37.3869716, -6.0497001 37.386958)",2,A-474,30,,,,
1162780138,Calle Diego de los Reyes,residential,True,False,17.234,"LINESTRING (-6.0594724 37.3847327, -6.0595138 37.3848045, -6.0594599 37.3848673)",1,,,,,,
1162780141,Calle Diego de los Reyes,residential,True,False,19.652,"LINESTRING (-6.0594724 37.3847327, -6.0596218 37.3848098, -6.0596589 37.384829)",1,,,,,,
