osmid,oneway,ref,name,highway,reversed,length,lanes,maxspeed,access,junction,geometry,bridge,tunnel
75353965,False,LV-4008,Passeig del Parc,tertiary,False,43.587,,,,,"LINESTRING (1.4545941 42.3569498, 1.4545827 42.3573417)",,
6142253,True,LV-4008,Plaça de Mossèn Pere Pujol,tertiary,False,28.939000000000004,1,20,yes,roundabout,"LINESTRING (1.4545941 42.3569498, 1.4545169 42.3569521, 1.4544179 42.3569207, 1.4543683 42.3568797, 1.4543384 42.3568148)",,
14633329,False,,Carrer de Sant Ermengol,residential,False,76.579,,,,,"LINESTRING (1.4543384 42.3568148, 1.4534068 42.3568343)",,
374937496,True,LV-4008,Plaça de Mossèn Pere Pujol,tertiary,False,35.052,1,20,yes,roundabout,"LINESTRING (1.4543384 42.3568148, 1.454343 42.3567623, 1.4543622 42.3567249, 1.4544046 42.3566844, 1.4544856 42.3566499, 1.4545538 42.3566431, 1.4546221 42.3566532)",,
374937496,True,LV-4008,Plaça de Mossèn Pere Pujol,tertiary,False,19.762999999999998,1,20,yes,roundabout,"LINESTRING (1.4546221 42.3566532, 1.4546829 42.3566796, 1.4547395 42.3567353, 1.4547573 42.3567897)",,
987107385,True,LV-4008,Passeig del Parc,tertiary,False,103.442,,,,,"LINESTRING (1.4546221 42.3566532, 1.454665 42.3564785, 1.4548402 42.355737)",,
75353965,False,LV-4008,Passeig del Parc,tertiary,False,16.157,,,,,"LINESTRING (1.4545415 42.3601547, 1.4545415 42.3603)",,
75353965,False,LV-4008,Passeig del Parc,tertiary,True,44.136,,,,,"LINESTRING (1.4545415 42.3601547, 1.4545359 42.3597578)",,
228476702,False,,Carrer de Ponent,residential,True,85.777,,,,,"LINESTRING (1.4545415 42.3601547, 1.4539536 42.3601864, 1.4539121 42.360153, 1.4535612 42.360022)",,
1229255122,True,,Carrer de Circunvalació,residential,False,3.952,1,,,,"LINESTRING (1.4516252 42.3566696, 1.4516154 42.3567044)",,
208401130,False,,Carrer de Circumval·lació,residential,False,142.654,,,,,"LINESTRING (1.4516252 42.3566696, 1.4516333 42.3566479, 1.4518197 42.3561472, 1.452085 42.3554325)",,
19847330,False,N-260,Avinguda de la Valira,primary,False,45.173,,,,,"LINESTRING (1.4541316 42.3605428, 1.4535871 42.360599)",,
15090472,True,N-260,Avinguda de la Valira,primary,False,27.954,1,50,yes,,"LINESTRING (1.4541316 42.3605428, 1.4542023 42.360516, 1.4544605 42.3604891)",,
19847330,False,N-260,Avinguda de la Valira,primary,True,45.173,,,,,"LINESTRING (1.4535871 42.360599, 1.4541316 42.3605428)",,
15090532,False,,Carrer de Circumval·lació,residential,True,64.195,,,,,"LINESTRING (1.4535871 42.360599, 1.4535836 42.3605205, 1.4535612 42.360022)",,
"[107833156, 1071733399, 604028121, 107833149, 1223067550]",False,N-260,Avinguda de la Valira,primary,False,87.96500000000002,,"['50', '80']",yes,,"LINESTRING (1.4535871 42.360599, 1.4533731 42.3606288, 1.4532555 42.3606452, 1.4528788 42.3606797, 1.4527305 42.3606914, 1.4526781 42.3606943, 1.4525263 42.3606903)",yes,
509672107,True,N-260a,,tertiary,False,36.163,1,50,yes,,"LINESTRING (1.4548389 42.3605689, 1.4547251 42.3605852, 1.4546165 42.3605869, 1.454465 42.3605594, 1.4544067 42.3605685)",,
518619353,True,N-260,,primary,False,62.69200000000001,1,50,yes,,"LINESTRING (1.4548389 42.3605689, 1.4549166 42.3606314, 1.4549869 42.3606987, 1.4550378 42.3607761, 1.455073 42.3608356, 1.4551539 42.3610185, 1.4551902 42.3610613)",,
15090477,True,N-260a,Avinguda de la Valira,tertiary,False,23.496,1,50,yes,,"LINESTRING (1.4544605 42.3604891, 1.4547441 42.360462)",,
