osmid,oneway,lanes,ref,highway,reversed,length,name,maxspeed,geometry,junction,width
291649700,False,3,N-550,trunk,True,57.874,,,"LINESTRING (-8.409709 43.0731048, -8.4099978 43.072629)",,
291649702,False,3,N-550,trunk,False,47.305,,,"LINESTRING (-8.409709 43.0731048, -8.4094175 43.0734731)",,
944049457,False,2,N-550,trunk,False,17.988,Rúa Alfonso Senra,50,"LINESTRING (-8.4075144 43.0766284, -8.407447 43.0767825)",,
272023095,True,,,residential,False,106.755,Rúa República Arxentina,30,"LINESTRING (-8.4075144 43.0766284, -8.4073545 43.0766101, -8.406358 43.0765087, -8.4062159 43.076483)",,
944049456,False,2,N-550,trunk,True,113.87100000000001,Rúa Alfonso Senra,50,"LINESTRING (-8.4075144 43.0766284, -8.4075405 43.0765668, -8.4078647 43.0758214, -8.4079414 43.075653)",,
944049457,False,2,N-550,trunk,True,17.988,Rúa Alfonso Senra,50,"LINESTRING (-8.407447 43.0767825, -8.4075144 43.0766284)",,
944049458,False,2,N-550,trunk,False,83.71499999999999,Rúa Alfonso Senra,50,"LINESTRING (-8.407447 43.0767825, -8.4074098 43.0768666, -8.407144 43.0774631, -8.4071362 43.0774793, -8.4071272 43.0774982)",,
944049460,False,2,N-550,trunk,False,33.147,Rúa Alfonso Senra,50,"LINESTRING (-8.4068582 43.0781046, -8.4067329 43.0783883)",,
892008885,True,,DP-5904,residential,False,129.286,Rúa Rosalía de Castro,30,"LINESTRING (-8.4068582 43.0781046, -8.4067627 43.0780851, -8.4059154 43.0779117, -8.4057442 43.0778778, -8.4055993 43.077841, -8.4054444 43.0777803, -8.4053571 43.0777362)",,
944049459,False,2,N-550,trunk,True,70.88,Rúa Alfonso Senra,50,"LINESTRING (-8.4068582 43.0781046, -8.4068937 43.0780278, -8.4071272 43.0774982)",,
86462928,True,,,residential,False,5.82,,,"LINESTRING (-8.4103935 43.0790111, -8.4104116 43.0789885, -8.4104234 43.0789638)",roundabout,
737167520,False,2,,residential,True,75.555,Rúa de Frades,,"LINESTRING (-8.4033128 43.0724733, -8.4038016 43.0726719, -8.4038364 43.0726827, -8.404143 43.0727777)",,
86462915,True,2,AC-524,primary,False,28.879,,40,"LINESTRING (-8.4022242 43.0750411, -8.4023122 43.0750321, -8.4023889 43.0749993, -8.4024427 43.0749476, -8.4024654 43.0748848)",roundabout,
87605730,True,1,,tertiary,False,36.511,Rúa dos Lagartos,,"LINESTRING (-8.4022242 43.0750411, -8.4024874 43.0751075, -8.4026412 43.0751622)",,
86462928,True,,,residential,False,4.214,,,"LINESTRING (-8.4100593 43.0789116, -8.4100588 43.0789495)",roundabout,
86462915,True,2,AC-524,primary,False,22.652,,40,"LINESTRING (-8.4022401 43.0747072, -8.4021489 43.0747201, -8.4020722 43.0747586, -8.4020228 43.0748161)",roundabout,
86462923,True,1,DP-3802,tertiary,False,43.071,Rúa do Paraíso,,"LINESTRING (-8.4022401 43.0747072, -8.4020913 43.0746675, -8.4020085 43.0746265, -8.4018008 43.0744984)",,
86462915,True,2,AC-524,primary,False,4.337,,40,"LINESTRING (-8.4020228 43.0748161, -8.4020102 43.074854)",roundabout,
86462915,True,2,AC-524,primary,False,7.361,,40,"LINESTRING (-8.4023287 43.0747211, -8.4022401 43.0747072)",roundabout,
87605701,True,1,AC-524,primary_link,False,26.227,,,"LINESTRING (-8.4018021 43.0750192, -8.4020105 43.0750192, -8.402125 43.0750198)",,
272050144,False,,,residential,False,55.353,Rúa de Trazo,,"LINESTRING (-8.4051823 43.0729149, -8.4053155 43.0724267)",,
86462926,False,,,residential,True,67.18599999999999,,,"LINESTRING (-8.4051823 43.0729149, -8.4055569 43.0729149, -8.4058533 43.0729605, -8.4059582 43.0729438, -8.4059999 43.0729387)",,
737167520,False,2,,residential,False,85.86699999999999,Rúa de Frades,,"LINESTRING (-8.4051823 43.0729149, -8.4046126 43.0728564, -8.4043081 43.0728072, -8.404143 43.0727777)",,
86462915,True,2,AC-524,primary,False,3.17,,40,"LINESTRING (-8.4024654 43.0748848, -8.4024646 43.0748563)",roundabout,
86462915,True,2,AC-524,primary,False,21.772,,40,"LINESTRING (-8.4020102 43.074854, -8.4020168 43.0749191, -8.4020572 43.0749773, -8.402125 43.0750198)",roundabout,
87605698,True,1,AC-524,primary_link,False,25.16,,,"LINESTRING (-8.4020102 43.074854, -8.4019346 43.0749347, -8.4018021 43.0750192)",,
272050136,True,1,,living_street,False,97.385,,,"LINESTRING (-8.404143 43.0727777, -8.4041251 43.0728554, -8.4041158 43.0728957, -8.4040898 43.0730086, -8.4041515 43.0731948, -8.4042802 43.0734083, -8.4043687 43.0735337, -8.4044038 43.0735787, -8.4044226 43.0735983)",,
737167520,False,2,,residential,False,75.555,Rúa de Frades,,"LINESTRING (-8.404143 43.0727777, -8.4038364 43.0726827, -8.4038016 43.0726719, -8.4033128 43.0724733)",,
737167520,False,2,,residential,True,85.86699999999999,Rúa de Frades,,"LINESTRING (-8.404143 43.0727777, -8.4043081 43.0728072, -8.4046126 43.0728564, -8.4051823 43.0729149)",,
86462915,True,2,AC-524,primary,False,19.436,,40,"LINESTRING (-8.4024646 43.0748563, -8.4024423 43.0748004, -8.4023951 43.0747534, -8.4023287 43.0747211)",roundabout,
164698358,True,1,AC-524,primary_link,False,24.499,,,"LINESTRING (-8.4024646 43.0748563, -8.402576 43.074784, -8.40269 43.0747099)",,
86462915,True,2,AC-524,primary,False,8.398,,40,"LINESTRING (-8.402125 43.0750198, -8.4022242 43.0750411)",roundabout,
113578967,True,1,DP-3802,tertiary,False,40.068,Rúa do Paraíso,,"LINESTRING (-8.4018008 43.0744984, -8.4019484 43.0746535, -8.4019856 43.0747348, -8.4020228 43.0748161)",,
955088329,False,2,,tertiary,False,60.718,Rúa dos Lagartos,30,"LINESTRING (-8.407479 43.0756024, -8.4067329 43.0756364)",,
290167079,False,2,,tertiary,True,38.137,Rúa dos Lagartos,30,"LINESTRING (-8.407479 43.0756024, -8.4077182 43.0756127, -8.4079414 43.075653)",,
86462928,True,,,residential,False,18.772,,,"LINESTRING (-8.4102111 43.0787981, -8.4101564 43.0788117, -8.4101101 43.0788369, -8.4100766 43.0788714, -8.4100593 43.0789116)",roundabout,
257373703,True,,,residential,False,28.171999999999997,Rúa do Muíño,,"LINESTRING (-8.4102111 43.0787981, -8.4101074 43.0787064, -8.4100357 43.0785826)",,
86462928,True,,,residential,False,9.705,,,"LINESTRING (-8.4103277 43.078811, -8.4102708 43.0787976, -8.4102111 43.0787981)",roundabout,
442625945,True,,,residential,False,29.132,Rúa da Feira,,"LINESTRING (-8.4104234 43.0789638, -8.4106101 43.0787401)",,
86462928,True,,,residential,False,20.087000000000003,,,"LINESTRING (-8.4104234 43.0789638, -8.4104286 43.0789279, -8.4104206 43.0788922, -8.4104 43.0788594, -8.4103683 43.0788316, -8.4103277 43.078811)",roundabout,
86462928,True,,,residential,False,15.550999999999998,,,"LINESTRING (-8.4102261 43.0790668, -8.4102897 43.079063, -8.4103478 43.0790436, -8.4103935 43.0790111)",roundabout,
366847647,True,,,residential,False,22.909,Rúa Campomaior,,"LINESTRING (-8.4102261 43.0790668, -8.410261 43.0791014, -8.4104692 43.0791602)",,
