osmid,oneway,ref,name,highway,maxspeed,access,reversed,length,bridge,geometry,lanes,junction
"[140528808, 140528804, 305076133]",False,BI-3724,"['Calle Txurruka kalea', 'Avenida Bilbao', 'Calle Txurruka / Txurruka kalea']",tertiary,50,yes,False,108.484,yes,"LINESTRING (-3.040247 43.3056896, -3.0403641 43.3057487, -3.0404498 43.3058026, -3.0405219 43.3058656, -3.0405745 43.3059167, -3.0406163 43.3059665, -3.0408038 43.3062164, -3.0408132 43.3062306, -3.0409754 43.3064515, -3.0409991 43.3064812)",,
305076133,False,BI-3724,Calle Txurruka / Txurruka kalea,tertiary,50,yes,True,23.551000000000002,,"LINESTRING (-3.040247 43.3056896, -3.040117 43.3056459, -3.039977 43.3056113)",,
568450920,False,,Grupo Txurruka,residential,,,True,23.496,,"LINESTRING (-3.040247 43.3056896, -3.0403423 43.3055799, -3.040418 43.3055198)",,
"[140528808, 140528804, 305076133]",False,BI-3724,"['Calle Txurruka / Txurruka kalea', 'Avenida Bilbao', 'Calle Txurruka kalea']",tertiary,50,yes,True,108.48400000000001,yes,"LINESTRING (-3.0409991 43.3064812, -3.0409754 43.3064515, -3.0408132 43.3062306, -3.0408038 43.3062164, -3.0406163 43.3059665, -3.0405745 43.3059167, -3.0405219 43.3058656, -3.0404498 43.3058026, -3.0403641 43.3057487, -3.040247 43.3056896)",,
267296954,True,BI-3724,Avenida Bilbao,tertiary,,,False,50.296,,"LINESTRING (-3.0409991 43.3064812, -3.041101 43.3066588, -3.0411385 43.3067583, -3.0411466 43.3068267, -3.0411428 43.3068539, -3.0411345 43.3069143)",,
107758245,True,BI-3724,Avenida Bilbao,tertiary,50,,False,121.484,,"LINESTRING (-3.0427937 43.3066514, -3.0441575 43.306342, -3.044227 43.3063262)",,
267296951,False,BI-3724,Avenida Bilbao,tertiary,50,yes,True,57.699999999999996,,"LINESTRING (-3.0427937 43.3066514, -3.0427537 43.3066613, -3.0421219 43.3068254)",,
87375418,True,BI-3724,,tertiary,,,False,12.812000000000001,,"LINESTRING (-3.037158 43.304995, -3.0371255 43.3050143, -3.0371029 43.30504, -3.0370924 43.3050695, -3.0370931 43.3050932)",1,roundabout
"[454904016, 158485628]",False,BI-3724,"['Avenida 1º de mayo/ Maiatzaren lehena etorbidea', 'Avenida Primero de Mayo / Maiatzaren 1a etorbidea']",tertiary,50,yes,True,66.738,,"LINESTRING (-3.037158 43.304995, -3.037097 43.30492, -3.0370283 43.3048401, -3.036727 43.3044833)",,
87375429,False,BI-3755,Calle Funicular / Funikular kalea,tertiary,,,True,1.349,,"LINESTRING (-3.0395868 43.3034385, -3.0395702 43.3034374)",2,
27563481,False,,Calle Funicular / Funikular kalea,residential,,,False,23.889000000000003,,"LINESTRING (-3.0395868 43.3034385, -3.039656 43.303382, -3.0397832 43.3032781)",,
144081952,False,BI-3755,Calle Iparraguirre kalea,tertiary,,,True,49.1,,"LINESTRING (-3.0395868 43.3034385, -3.0396088 43.3034406, -3.0401885 43.3034955)",,
107246870,False,,Orixe kalea,residential,,,False,17.83,,"LINESTRING (-3.0409695 43.3035321, -3.0409324 43.3034787, -3.0408846 43.3033844)",,
107246870,False,,Orixe kalea,residential,,,True,21.345,,"LINESTRING (-3.0409695 43.3035321, -3.0410161 43.3035927, -3.04112 43.3036891)",,
144081952,False,BI-3755,Calle Iparraguirre kalea,tertiary,,,False,63.565999999999995,,"LINESTRING (-3.0409695 43.3035321, -3.0408699 43.3035418, -3.0406952 43.3035398, -3.0401885 43.3034955)",,
"[144081952, 146724535]",False,BI-3755,"['Calle Iparraguirre kalea', 'Escontrilla Alta auzoa']",tertiary,,,"[False, True]",416.42100000000005,,"LINESTRING (-3.0409695 43.3035321, -3.0410453 43.3035214, -3.0413491 43.3034092, -3.0416832 43.3032488, -3.0420933 43.303062, -3.0422758 43.302972, -3.0424109 43.3029495, -3.0426426 43.302987, -3.0428228 43.3030245, -3.0428714 43.3030166, -3.0429147 43.3030095, -3.0429925 43.3029558, -3.0430127 43.3028781, -3.042971 43.3027907, -3.0428505 43.3026939, -3.042737 43.302581, -3.0427205 43.3025252, -3.0427637 43.3024586, -3.0428671 43.3024454, -3.0429825 43.3024747, -3.0432855 43.3026212, -3.043458 43.302656, -3.0438652 43.3026753, -3.0440579 43.302662, -3.0442167 43.3026057, -3.0444139 43.3024841, -3.0445452 43.3023166)",,
144921289,False,,Calle Juan Sebastián Elkano kalea,residential,,,False,51.47,,"LINESTRING (-3.0331127 43.3022403, -3.0331836 43.3023554, -3.0332704 43.3024901, -3.0333636 43.3026654)",,
82489693,True,,Calle Ramón y Cajal kalea,residential,,,False,23.011,,"LINESTRING (-3.0333636 43.3026654, -3.0334236 43.3026352, -3.0335877 43.3025382)",,
144921289,False,,Calle Juan Sebastián Elkano kalea,residential,,,False,80.92599999999999,,"LINESTRING (-3.0333636 43.3026654, -3.0333886 43.3027301, -3.0334831 43.3028952, -3.0335101 43.302942, -3.0335402 43.3029918, -3.0336944 43.3032548, -3.0337444 43.3033378)",,
144921289,False,,Calle Juan Sebastián Elkano kalea,residential,,,True,51.47,,"LINESTRING (-3.0333636 43.3026654, -3.0332704 43.3024901, -3.0331836 43.3023554, -3.0331127 43.3022403)",,
82489697,True,,Travesía de Llano,residential,,,False,42.849000000000004,,"LINESTRING (-3.0337444 43.3033378, -3.0338358 43.3032955, -3.0341913 43.3031311)",,
