osmid,oneway,highway,reversed,length,geometry,ref,name,maxspeed,lanes
40325636,False,residential,False,18.318,"LINESTRING (-2.977114 43.3067002, -2.9770027 43.3067152, -2.9768914 43.3067302)",,,,
108696380,False,primary,False,180.889,"LINESTRING (-2.977114 43.3067002, -2.9771137 43.3067887, -2.977112 43.3073403, -2.9771397 43.3076921, -2.9772348 43.3083226)",BI-711,Jose Luis Goioaga etorbidea,50,
108696380,False,primary,True,269.974,"LINESTRING (-2.977114 43.3067002, -2.9771617 43.3050654, -2.9771659 43.3049541, -2.9771605 43.3042727)",BI-711,Jose Luis Goioaga etorbidea,50,
40325636,False,residential,True,364.95099999999996,"LINESTRING (-2.9772348 43.3083226, -2.975793 43.3084686, -2.9754161 43.3069288, -2.9763063 43.306809)",,,,
108696380,False,primary,False,180.975,"LINESTRING (-2.9772348 43.3083226, -2.9773134 43.3086025, -2.977369 43.3087877, -2.9774515 43.3090625, -2.9776186 43.3094485, -2.9778714 43.309877)",BI-711,Jose Luis Goioaga etorbidea,50,
108696380,False,primary,True,180.889,"LINESTRING (-2.9772348 43.3083226, -2.9771397 43.3076921, -2.977112 43.3073403, -2.9771137 43.3067887, -2.977114 43.3067002)",BI-711,Jose Luis Goioaga etorbidea,50,
"[40325690, 40325638]",False,residential,"[False, True]",97.28,"LINESTRING (-2.9740695 43.3054562, -2.9740973 43.3054042, -2.9743312 43.3049386, -2.9743804 43.3048673, -2.9744581 43.3047887, -2.9745078 43.3047511, -2.9745886 43.304714, -2.9746204 43.3047045)",,Tartanga kalea,,
108696389,True,residential,False,76.45100000000001,"LINESTRING (-2.9740695 43.3054562, -2.9739674 43.3054272, -2.9733319 43.3052461, -2.9733094 43.3052498, -2.973183 43.3052707)",,Anton Fernandez kalea,,
409466285,False,residential,False,60.342,"LINESTRING (-2.9740695 43.3054562, -2.9741761 43.3054817, -2.9745565 43.3055728, -2.9747862 43.3055442)",,Anton Fernandez kalea,,
1228547045,False,residential,False,24.106,"LINESTRING (-2.9740695 43.3054562, -2.9740528 43.3055149, -2.9740099 43.3056686)",,Tartanga kalea,,
108696359,True,residential,False,5.235,"LINESTRING (-2.9749125 43.3046089, -2.9749769 43.3046134)",,Calle Urdaneta / Urdaneta kalea,,
40325690,False,residential,True,7.521,"LINESTRING (-2.9749125 43.3046089, -2.9748589 43.3046405, -2.9748403 43.3046515)",,Tartanga kalea,,
109061332,False,residential,True,35.58,"LINESTRING (-2.9749125 43.3046089, -2.9749206 43.3045614, -2.9749023 43.3045024, -2.9748399 43.3042957)",,Geltoki etorbidea,,
108696367,False,residential,False,44.825,"LINESTRING (-2.9709176 43.3057145, -2.9709074 43.3056844, -2.9708115 43.3054001, -2.9707995 43.3053646, -2.9707855 43.305323)",,Desanexio kalea,,
108696367,False,residential,True,59.693000000000005,"LINESTRING (-2.9709176 43.3057145, -2.970966 43.3058395, -2.9710792 43.3061319, -2.9711177 43.3062312)",,Desanexio kalea,,
40325640,False,residential,True,78.52699999999999,"LINESTRING (-2.9725332 43.3075415, -2.9731921 43.3078717, -2.9732781 43.3079148, -2.973308 43.3079311, -2.9733294 43.307945)",,Desanexio kalea,,
108696367,False,residential,False,190.07399999999998,"LINESTRING (-2.9725332 43.3075415, -2.97235 43.3074347, -2.9721166 43.307299, -2.9717556 43.3070506, -2.9715995 43.3069184, -2.9714144 43.3067617, -2.971293 43.3066328, -2.9711876 43.3064405, -2.9711177 43.3062312)",,Desanexio kalea,,
126514436,False,unclassified,False,281.52,"LINESTRING (-2.9725332 43.3075415, -2.9724425 43.3075653, -2.9719282 43.3076291, -2.9716027 43.3075791, -2.9714699 43.3075287, -2.9712178 43.3073575, -2.9711025 43.3072615, -2.971027 43.3071861, -2.9707862 43.3066779, -2.9706467 43.3064883, -2.9703397 43.3062582, -2.9702288 43.3060908)",,Beaskoetxebidea,,
40325633,False,residential,True,8.239,"LINESTRING (-2.9739323 43.3083498, -2.9738558 43.3083009)",,Tartanga kalea,,
40325633,False,residential,False,78.678,"LINESTRING (-2.9739323 43.3083498, -2.9741732 43.3085076, -2.9742725 43.3085875, -2.9746078 43.3088576)",,Tartanga kalea,,
40325641,False,residential,False,112.76799999999999,"LINESTRING (-2.9739323 43.3083498, -2.9739548 43.3084063, -2.9744266 43.3089172, -2.9744361 43.3089389, -2.974125 43.3091023, -2.9740746 43.3091116)",,Natividad Cavia kalea,,
592696959,False,primary,False,40.633,"LINESTRING (-2.9771337 43.3039078, -2.9771605 43.3042727)",BI-711,Avenida Jose Luis Goyoaga,50,
40325691,True,residential,False,190.56500000000003,"LINESTRING (-2.9771337 43.3039078, -2.9770143 43.3039276, -2.9759257 43.3041079, -2.9749673 43.3042708, -2.9748399 43.3042957)",,San Ignacio kalea,,
763128570,False,primary,True,52.417,"LINESTRING (-2.9771337 43.3039078, -2.9771169 43.3037867, -2.9770685 43.3034388)",BI-711,Avenida Jose Luis Goyoaga,50,2
40325645,True,residential,False,190.009,"LINESTRING (-2.9711177 43.3062312, -2.9712357 43.306208, -2.9718768 43.3060822, -2.9726071 43.305939, -2.9731318 43.3058361, -2.9732693 43.3058086, -2.9733846 43.3057855)",,Ramon Rubial kalea,,
108696367,False,residential,False,59.693000000000005,"LINESTRING (-2.9711177 43.3062312, -2.9710792 43.3061319, -2.970966 43.3058395, -2.9709176 43.3057145)",,Desanexio kalea,,
108696367,False,residential,True,190.074,"LINESTRING (-2.9711177 43.3062312, -2.9711876 43.3064405, -2.971293 43.3066328, -2.9714144 43.3067617, -2.9715995 43.3069184, -2.9717556 43.3070506, -2.9721166 43.307299, -2.97235 43.3074347, -2.9725332 43.3075415)",,Desanexio kalea,,
1228547045,False,residential,False,250.91199999999998,"LINESTRING (-2.9740099 43.3056686, -2.9739528 43.3059197, -2.9739022 43.3061762, -2.973863 43.3063832, -2.9737874 43.3067277, -2.9737848 43.3067433, -2.973693 43.3071905, -2.9736041 43.3077306, -2.9735881 43.3077823, -2.9735163 43.3078675, -2.9735018 43.3078848)",,Tartanga kalea,,
1228547045,False,residential,True,24.106,"LINESTRING (-2.9740099 43.3056686, -2.9740528 43.3055149, -2.9740695 43.3054562)",,Tartanga kalea,,
40325683,True,residential,False,59.522000000000006,"LINESTRING (-2.973183 43.3052707, -2.9732028 43.3053213, -2.9733589 43.3057199, -2.9733846 43.3057855)",,Atzagako Ibarra kalea,,
108696389,True,residential,False,68.477,"LINESTRING (-2.973183 43.3052707, -2.9731001 43.3052858, -2.9725485 43.3053866, -2.9723622 43.3054206)",,Anton Fernandez kalea,,
40325683,True,residential,False,29.575,"LINESTRING (-2.9721918 43.3026814, -2.972235 43.3027688, -2.9722722 43.3028441, -2.9723087 43.3029333)",,Atzagako Ibarra kalea,,
40325718,False,residential,False,27.169999999999998,"LINESTRING (-2.9721918 43.3026814, -2.9722284 43.3026337, -2.9723519 43.3024841, -2.9723627 43.3024711)",,Gernika kalea,,
40325718,False,residential,True,92.117,"LINESTRING (-2.9721918 43.3026814, -2.9720917 43.3027964, -2.9716367 43.3033191, -2.971591 43.3033847)",,Gernika kalea,,
40325684,False,residential,False,31.898,"LINESTRING (-2.971591 43.3033847, -2.9716999 43.3036604)",,Txorierri kalea,,
40325718,False,residential,False,92.117,"LINESTRING (-2.971591 43.3033847, -2.9716367 43.3033191, -2.9720917 43.3027964, -2.9721918 43.3026814)",,Gernika kalea,,
109061328,False,residential,False,40.69,"LINESTRING (-2.971591 43.3033847, -2.9712449 43.30324, -2.971155 43.3032024)",,Txinboak kalea,,
126511495,False,residential,False,130.302,"LINESTRING (-2.971155 43.3032024, -2.9719438 43.3021808)",,Pagoetabidea,,
109061328,False,residential,True,40.69,"LINESTRING (-2.971155 43.3032024, -2.9712449 43.30324, -2.971591 43.3033847)",,Txinboak kalea,,
108696384,True,residential,False,89.69,"LINESTRING (-2.9723622 43.3054206, -2.9723451 43.3053743, -2.9720804 43.3046605, -2.9720737 43.3046418)",,Txorierri kalea,,
108696389,True,residential,False,59.511,"LINESTRING (-2.9723622 43.3054206, -2.9722389 43.3054457, -2.9716539 43.3055647)",,Anton Fernandez kalea,,
108696360,True,residential,False,43.743,"LINESTRING (-2.9715115 43.3051852, -2.9716539 43.3055647)",,Nafarroa Beherea kalea,,
40325685,False,residential,False,60.712,"LINESTRING (-2.9715115 43.3051852, -2.9714752 43.3051921, -2.9707855 43.305323)",,Osasuna kalea,,
40325685,False,residential,True,60.712,"LINESTRING (-2.9707855 43.305323, -2.9714752 43.3051921, -2.9715115 43.3051852)",,Osasuna kalea,,
108696367,False,residential,True,44.825,"LINESTRING (-2.9707855 43.305323, -2.9707995 43.3053646, -2.9708115 43.3054001, -2.9709074 43.3056844, -2.9709176 43.3057145)",,Desanexio kalea,,
126511491,False,residential,False,47.409,"LINESTRING (-2.9707855 43.305323, -2.9707697 43.3052804, -2.9706695 43.3050114, -2.9706767 43.304908)",,Desanexio kalea,,
126511491,False,residential,False,72.26599999999999,"LINESTRING (-2.9706767 43.304908, -2.9707257 43.3044173, -2.9707386 43.3042874, -2.9707414 43.3042598)",,Desanexio kalea,,
126511491,False,residential,True,47.409,"LINESTRING (-2.9706767 43.304908, -2.9706695 43.3050114, -2.9707697 43.3052804, -2.9707855 43.305323)",,Desanexio kalea,,
126511495,False,residential,True,130.302,"LINESTRING (-2.9719438 43.3021808, -2.971155 43.3032024)",,Pagoetabidea,,
40325688,False,residential,False,45.155,"LINESTRING (-2.9702216 43.304291, -2.9703385 43.304345, -2.9707414 43.3042598)",,Obieta kalea,,
108696379,False,unclassified,False,223.40900000000005,"LINESTRING (-2.9702216 43.304291, -2.9701082 43.3043858, -2.9697913 43.3048401, -2.9696204 43.3052865, -2.9696257 43.3056502, -2.9697189 43.3057904, -2.9698699 43.3058748, -2.9701536 43.3060203)",,Beaskoetxebidea,,
108696379,False,unclassified,True,223.409,"LINESTRING (-2.9701536 43.3060203, -2.9698699 43.3058748, -2.9697189 43.3057904, -2.9696257 43.3056502, -2.9696204 43.3052865, -2.9697913 43.3048401, -2.9701082 43.3043858, -2.9702216 43.304291)",,Beaskoetxebidea,,
126514436,False,unclassified,True,10.008,"LINESTRING (-2.9701536 43.3060203, -2.9702142 43.3060687, -2.9702288 43.3060908)",,Beaskoetxebidea,,
475863797,True,residential,False,60.059,"LINESTRING (-2.9701536 43.3060203, -2.9703353 43.3058419, -2.9704181 43.3059156, -2.9702288 43.3060908)",,Camino Beaskoetxe,,
108696386,False,primary,True,85.263,"LINESTRING (-2.9770371 43.3029733, -2.9770241 43.3028259, -2.9770161 43.3027347, -2.9769618 43.3024877, -2.9768893 43.3022152)",BI-711,Avenida Jose Luis Goyoaga,50,2
763128570,False,primary,False,51.824,"LINESTRING (-2.9770371 43.3029733, -2.9770593 43.3033021, -2.9770685 43.3034388)",BI-711,Avenida Jose Luis Goyoaga,50,2
"[108696369, 763128571, 629459955]",True,"['living_street', 'residential']",False,208.129,"LINESTRING (-2.9770371 43.3029733, -2.9769776 43.3029839, -2.9764865 43.3030713, -2.975596 43.3032398, -2.9753065 43.3032963, -2.9746489 43.3034259, -2.9746145 43.3034523, -2.9745943 43.3034888)",,"['Calle Obieta', 'Obieta kalea']",,
592696959,False,primary,True,40.633,"LINESTRING (-2.9771605 43.3042727, -2.9771337 43.3039078)",BI-711,Avenida Jose Luis Goyoaga,50,
108696380,False,primary,False,269.974,"LINESTRING (-2.9771605 43.3042727, -2.9771659 43.3049541, -2.9771617 43.3050654, -2.977114 43.3067002)",BI-711,Jose Luis Goioaga etorbidea,50,
109061332,False,residential,False,35.58,"LINESTRING (-2.9748399 43.3042957, -2.9749023 43.3045024, -2.9749206 43.3045614, -2.9749125 43.3046089)",,Geltoki etorbidea,,
109061332,False,residential,True,51.069,"LINESTRING (-2.9748399 43.3042957, -2.9748175 43.3042093, -2.9747473 43.3039335, -2.9747258 43.303844)",,Geltoki etorbidea,,
763128570,False,primary,False,52.417,"LINESTRING (-2.9770685 43.3034388, -2.9771169 43.3037867, -2.9771337 43.3039078)",BI-711,Avenida Jose Luis Goyoaga,50,2
