osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,access,junction,tunnel
4706178,2,N-632,Calle Doctor Pando Valle,trunk,50,False,False,71.479,"LINESTRING (-5.4371161 43.4821797, -5.4370888 43.4822342, -5.437057 43.4824178, -5.4369919 43.4827331, -5.4369261 43.4827985)",,,
"[178584678, 178584679, 178584680, 178584681, 4767654, 8447738, 8447740]",,,"['Calle del Sol', 'Calle Carlos I', 'Calle Nicolás Rivero']","['living_street', 'residential']",,True,False,360.791,"LINESTRING (-5.4371161 43.4821797, -5.4370052 43.4821789, -5.436767 43.4821748, -5.4363297 43.4821478, -5.436172 43.4821173, -5.4360707 43.4820664, -5.435933 43.4819586, -5.4357795 43.4818165, -5.4355782 43.4815873, -5.4354318 43.4814158, -5.4353735 43.4813585, -5.4356828 43.4811553, -5.4363907 43.480769, -5.4364867 43.4807148, -5.4366639 43.4806149, -5.4369684 43.4804432, -5.4370765 43.4803572)",yes,,
178591226,2,N-632,Calle Eloísa Fernández,trunk,50,False,True,8.978000000000002,"LINESTRING (-5.4371161 43.4821797, -5.437162 43.4821602, -5.43722 43.4821578)",,,
4706178,2,N-632,Calle Doctor Pando Valle,trunk,50,False,True,17.53,"LINESTRING (-5.4367301 43.482866, -5.4368456 43.4828309, -5.4369261 43.4827985)",,,
164536451,,,,residential,,True,False,19.717999999999996,"LINESTRING (-5.4367301 43.482866, -5.4368044 43.4829341, -5.4368633 43.4829619, -5.4369177 43.4829608)",,,
178584676,2,N-632,Calle del Marqués de Villaviciosa,trunk,50,False,False,58.876999999999995,"LINESTRING (-5.4367301 43.482866, -5.4366173 43.4828421, -5.4365291 43.4828209, -5.4363881 43.4827865, -5.436207 43.4827302, -5.4361358 43.4827074, -5.4360482 43.4826794)",,,
4706200,,AS-380,Calle Cavanilles,tertiary,,False,False,37.055,"LINESTRING (-5.43722 43.4821578, -5.4372158 43.4821041, -5.4371993 43.4818856, -5.4371939 43.4818251)",,,
178591226,2,N-632,Calle Eloísa Fernández,trunk,50,False,False,8.978000000000002,"LINESTRING (-5.43722 43.4821578, -5.437162 43.4821602, -5.4371161 43.4821797)",,,
366193947,,N-632,Calle Eloísa Fernández,trunk,50,False,True,55.765,"LINESTRING (-5.43722 43.4821578, -5.4377088 43.4822322, -5.4378786 43.4822968)",,,
4706176,,,Calle de la Magdalena,residential,,True,False,12.827,"LINESTRING (-5.4307481 43.4848509, -5.4308536 43.4847646)",,,
8447748,2,,Avenida del Deporte,residential,20,False,True,12.937,"LINESTRING (-5.4307481 43.4848509, -5.4306197 43.4847812)",,,
8447748,2,,Avenida del Deporte,residential,20,False,False,77.72200000000001,"LINESTRING (-5.4307481 43.4848509, -5.4308494 43.4849122, -5.4313723 43.4852287, -5.4314665 43.4852857, -5.4314879 43.4852986)",,,
4706180,,N-632,Calle Cervantes,trunk,,False,False,45.742999999999995,"LINESTRING (-5.4324625 43.4824115, -5.4323995 43.4824675, -5.432104 43.4827302)",,,
4706180,,N-632,Calle Cervantes,trunk,,False,True,117.36399999999999,"LINESTRING (-5.4324625 43.4824115, -5.432696 43.4822051, -5.4331164 43.4818334, -5.4331455 43.4818077, -5.4333407 43.4816351, -5.4333892 43.4815981)",,,
37703229,,,Calle Manuel Álvarez Miranda,residential,,True,False,56.89,"LINESTRING (-5.4324625 43.4824115, -5.4323735 43.4823542, -5.4319597 43.4820879, -5.431935 43.482072)",,,
4706176,,,Calle de la Magdalena,residential,,True,False,197.19699999999997,"LINESTRING (-5.4330588 43.4827689, -5.4331102 43.4827224, -5.4337001 43.4821883, -5.4340101 43.4819075, -5.4342982 43.4816319, -5.4344661 43.4814738, -5.4344967 43.4814502, -5.4345894 43.4813879)",,,
491914315,,,Calle Manuel Bedriñana Martínez,residential,,True,False,62.410000000000004,"LINESTRING (-5.4330588 43.4827689, -5.4330216 43.482747, -5.4325724 43.4824822, -5.4325055 43.4824392, -5.4324625 43.4824115)",,,
4706175,,,Calle Víctor García de la Concha,residential,,False,False,64.12,"LINESTRING (-5.4339623 43.4832911, -5.4338979 43.4833452, -5.4334433 43.4837278)",,,
4706175,,,Calle Víctor García de la Concha,residential,,False,True,114.59,"LINESTRING (-5.4339623 43.4832911, -5.4340328 43.48323, -5.4342199 43.4830682, -5.4348748 43.4825014)",,,
4706185,,,Calle Ramón Rivero Solares,residential,,False,True,93.496,"LINESTRING (-5.4339623 43.4832911, -5.4340277 43.4833312, -5.4340633 43.4833531, -5.4347632 43.4837826, -5.4348471 43.4838341)",,,
37648454,,,Calle Manuel Bedriñana Martínez,residential,,False,False,29.794,"LINESTRING (-5.4339623 43.4832911, -5.433881 43.4832429, -5.4338519 43.4832256, -5.4336763 43.4831216)",,,
4706192,,,Calle Asturias,residential,,False,False,75.709,"LINESTRING (-5.4328603 43.479171, -5.4327085 43.4798429)",,,
4706192,,,Calle Asturias,residential,,False,True,79.87,"LINESTRING (-5.4328603 43.479171, -5.4328871 43.4790806, -5.4330258 43.4786986, -5.4331407 43.4784834)",,,
