osmid,oneway,ref,name,highway,reversed,length,lanes,geometry,maxspeed,junction,bridge,tunnel
101816399,True,SG-P-3432,Avenida del Icona,tertiary,False,28.088,,"LINESTRING (-4.5217485 41.2156397, -4.5217478 41.2158923)",,,,
47659169,False,,Calle Arturo Acosta,residential,False,78.54400000000001,1,"LINESTRING (-4.5217485 41.2156397, -4.5218417 41.2156391, -4.5220155 41.2156487, -4.522073 41.2156449, -4.5221255 41.2156347, -4.5221696 41.2156234, -4.5222134 41.2155996, -4.5225668 41.2153793)",,,,
233277930,False,SG-P-3432,Avenida del Icona,tertiary,True,67.18400000000001,2,"LINESTRING (-4.5217485 41.2156397, -4.5217491 41.2155576, -4.5217498 41.2150578, -4.5217498 41.2150355)",50,,,
47659167,True,,,tertiary,False,1.002,,"LINESTRING (-4.5217478 41.2158923, -4.5217459 41.2159012)",,roundabout,,
978137861,False,SG-V-3341,Avenida Juan Pablo II,tertiary,False,2.916,2,"LINESTRING (-4.521326 41.216303, -4.5212989 41.2163195)",50,,,
101816467,True,SG-V-3341,,tertiary,False,44.334,,"LINESTRING (-4.521326 41.216303, -4.5214067 41.2162787, -4.5216545 41.2161827, -4.5217216 41.2161567, -4.5217966 41.2161208)",,,,
47659178,False,,Calle de la Fábrica,residential,True,62.563,2,"LINESTRING (-4.5204142 41.2169811, -4.521157 41.2170472)",,,,
978137861,False,SG-V-3341,Avenida Juan Pablo II,tertiary,False,59.580999999999996,2,"LINESTRING (-4.5204142 41.2169811, -4.5203529 41.2170947, -4.5203071 41.217202, -4.5202713 41.2172871, -4.5202371 41.2173924, -4.5202085 41.217493)",50,,,
978137861,False,SG-V-3341,Avenida Juan Pablo II,tertiary,True,51.427,2,"LINESTRING (-4.5204142 41.2169811, -4.5204587 41.2169213, -4.5208294 41.216643)",50,,,
47659176,False,,Calle Mesonero Mayor de Castilla,residential,False,88.72800000000001,1,"LINESTRING (-4.5199784 41.2180242, -4.5200864 41.2180282, -4.5202763 41.2180346, -4.5205225 41.2180423, -4.5208347 41.2180464, -4.5210385 41.2180519)",,,,
