osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,junction,width,tunnel,ref
27618587,True,2,Telletxe kalea,tertiary,False,222.91799999999998,"LINESTRING (-3.0096737 43.3502392, -3.0095198 43.3504832, -3.0094579 43.3505662, -3.0093968 43.3506569, -3.0093469 43.3507686, -3.0093362 43.3508863, -3.0093718 43.3510209, -3.009418 43.3511296, -3.0099235 43.3518121, -3.0099597 43.3518624, -3.0100003 43.3519188, -3.0101004 43.3520602)",,,,,
27618649,True,,Algortako Etorbidea,tertiary,False,170.284,"LINESTRING (-3.0101004 43.3520602, -3.0102027 43.3519901, -3.0109783 43.3514588, -3.0116487 43.3510223)",,,,,
"[932866584, 204235540]",False,2,"['Sarrikobaso', 'Sarrikobaso Kalea']",tertiary,True,37.693,"LINESTRING (-3.0101004 43.3520602, -3.010018 43.3521154, -3.00998 43.3521409, -3.0097621 43.3522934)",,,,,
27618649,True,,Algortako Etorbidea,tertiary,False,99.305,"LINESTRING (-3.0114807 43.3496194, -3.0110113 43.3489353, -3.0109315 43.3488206)",,,,,
27619459,False,2,Euskal Herria Kalea,tertiary,True,45.94,"LINESTRING (-3.0096433 43.3489765, -3.0096208 43.3489422, -3.0094547 43.3488015, -3.0094419 43.3487907, -3.0092247 43.3487143)",,,,,
990102659,True,,Telletxe kalea,tertiary,False,140.75600000000003,"LINESTRING (-3.0096433 43.3489765, -3.0096626 43.3491864, -3.0096639 43.3492141, -3.0096764 43.3494696, -3.0096985 43.3499248, -3.0097009 43.3499744, -3.009701 43.3500888, -3.009701 43.3501496, -3.0096737 43.3502392)",,,,,
"[447576932, 493363526]",False,2,Euskal Herria kalea,tertiary,True,143.013,"LINESTRING (-3.00581 43.3471065, -3.0060383 43.3472012, -3.0061306 43.3472248, -3.006192 43.3472405, -3.006438 43.3473075, -3.0068792 43.3474993, -3.0071281 43.3476287, -3.0072227 43.3476778, -3.0073398 43.3477387)",30,,,,
617005971,True,,Euskal Herria kalea,tertiary,False,14.453,"LINESTRING (-3.00581 43.3471065, -3.0058156 43.3470839, -3.0058113 43.3470611, -3.0057974 43.3470405, -3.0057755 43.3470239, -3.0057476 43.3470131, -3.0057272 43.3470105)",,roundabout,,,
60365170,False,,Salsidu Etorbidea,tertiary,True,111.57900000000001,"LINESTRING (-3.0097621 43.3522934, -3.0095933 43.3521833, -3.0092266 43.351956, -3.0090228 43.3518305, -3.0089044 43.3517866, -3.0087776 43.351756, -3.0086471 43.3517238)",30,,,,
"[932866584, 204235540]",False,2,"['Sarrikobaso', 'Sarrikobaso Kalea']",tertiary,False,37.693,"LINESTRING (-3.0097621 43.3522934, -3.00998 43.3521409, -3.010018 43.3521154, -3.0101004 43.3520602)",,,,,
42117890,True,,Bolue kalea,residential,False,36.753,"LINESTRING (-3.0086471 43.3517238, -3.0086224 43.3516704, -3.0085204 43.351459, -3.0084942 43.3514126)",,,,,
60365170,False,,Salsidu Etorbidea,tertiary,False,111.57900000000001,"LINESTRING (-3.0086471 43.3517238, -3.0087776 43.351756, -3.0089044 43.3517866, -3.0090228 43.3518305, -3.0092266 43.351956, -3.0095933 43.3521833, -3.0097621 43.3522934)",30,,,,
35780227,False,,Foru kalea,residential,False,158.602,"LINESTRING (-3.0066883 43.3436017, -3.0066323 43.3436852, -3.0066109 43.343717, -3.0064612 43.3440493, -3.0060982 43.3445007, -3.0058028 43.3448679)",30,,,,
209384016,True,,Calle Arkotxa,residential,False,88.993,"LINESTRING (-3.0066883 43.3436017, -3.0067575 43.3436513, -3.0070532 43.343863, -3.0074725 43.3441632)",30,,,,
