osmid,name,highway,oneway,reversed,length,geometry,ref,lanes,junction,bridge,maxspeed
78604943,Calle Abajo,residential,False,False,127.527,"LINESTRING (-3.2464704 40.5955758, -3.2465348 40.595498, -3.2467658 40.5952192, -3.2468175 40.5951568, -3.2471491 40.594783, -3.247334 40.5946389)",,,,,
109928382,Avenida de los Príncipes de Asturias,tertiary,False,False,32.131,"LINESTRING (-3.2464704 40.5955758, -3.246618 40.5955781, -3.2468409 40.5956294)",GU-105,,,,
109928382,Avenida de los Príncipes de Asturias,tertiary,False,True,94.84,"LINESTRING (-3.2464704 40.5955758, -3.2460654 40.5956735, -3.2458786 40.5956894, -3.2453958 40.5955638)",GU-105,,,,
109928382,Avenida de los Príncipes de Asturias,tertiary,False,True,92.469,"LINESTRING (-3.2477855 40.5960482, -3.2468855 40.5956396, -3.2468409 40.5956294)",GU-105,,,,
320125112,Calle de la Soledad,residential,False,False,113.049,"LINESTRING (-3.2477855 40.5960482, -3.2473033 40.5964873, -3.2469072 40.5968152)",,,,,
78604919,Calle de la Cañada Real,residential,True,False,84.082,"LINESTRING (-3.24754 40.5973307, -3.2482451 40.5967967)",,,,,
131119908,Calle de la Cañada Real,residential,False,False,39.333,"LINESTRING (-3.24754 40.5973307, -3.2474783 40.5973774, -3.2474587 40.5973919, -3.2473848 40.5974485, -3.2472128 40.5975825)",,,,,
320124541,Avenida de la Diputación,residential,False,True,45.238,"LINESTRING (-3.24754 40.5973307, -3.2473789 40.5971822, -3.2471854 40.597026)",,,,,
445221977,Avenida de la Diputación,residential,False,False,55.931,"LINESTRING (-3.24754 40.5973307, -3.2476148 40.5973806, -3.2479265 40.5976194, -3.2479824 40.5977001)",,,,,
78586445,Calle de Chile,residential,False,True,57.635,"LINESTRING (-3.252738 40.5913608, -3.2532949 40.5916605)",,,,,
78586459,Camino de Valmores,residential,False,False,21.815,"LINESTRING (-3.2545408 40.5960895, -3.2543697 40.5962365)",,2,,,
78586462,,tertiary,True,False,12.634,"LINESTRING (-3.2545408 40.5960895, -3.254579 40.5960999, -3.2546414 40.5960922, -3.2546767 40.59607)",N-320a,1,roundabout,,
78586470,Calle Costa Rica,residential,False,False,43.572,"LINESTRING (-3.2524906 40.5918467, -3.2529194 40.5920647)",,,,,
82236257,Calle de Valmores,residential,True,False,177.734,"LINESTRING (-3.2511444 40.5978801, -3.2510214 40.5976089, -3.2509658 40.5975411, -3.2496552 40.5968153)",,,,,
