osmid,ref,name,highway,oneway,reversed,length,geometry,bridge,tunnel,maxspeed,junction,lanes
66943047,,,residential,False,False,97.18599999999998,"LINESTRING (-6.2530116 43.4054382, -6.2529796 43.405446, -6.2529521 43.4054489, -6.2529266 43.405447, -6.2528864 43.4054362, -6.2528273 43.4054207, -6.252759 43.4054012, -6.2526996 43.4053667, -6.2525876 43.405309, -6.2525524 43.4052823, -6.2524612 43.4052248, -6.2524197 43.4051858, -6.2523676 43.4051137, -6.2522963 43.40503, -6.2522026 43.4049319, -6.2521546 43.4048929)",,,,,
66943066,AS-370,Carretera de Salas a Soto de los Infantes,tertiary,False,False,118.926,"LINESTRING (-6.2530116 43.4054382, -6.2528748 43.4052362, -6.2523905 43.4044686)",,,,,
160939518,SL-16,Avenida del Llaniello,tertiary,False,True,134.75900000000001,"LINESTRING (-6.2530116 43.4054382, -6.253079 43.4054221, -6.2531151 43.4054209, -6.2531674 43.4054232, -6.2532031 43.405433, -6.2532364 43.4054572, -6.2532965 43.4055167, -6.2533236 43.4055473, -6.2533531 43.4055756, -6.253396 43.4056029, -6.2534697 43.4056389, -6.253522 43.4056623, -6.2535904 43.4056847, -6.2536924 43.4057227, -6.2538681 43.4057827, -6.2541282 43.4058581, -6.254459 43.405945)",,,,,
160939631,AS-370,Carretera de Salas a Soto de los Infantes,tertiary,False,False,122.713,"LINESTRING (-6.2530116 43.4054382, -6.2535164 43.4062703, -6.2535799 43.406459)",,,,,
23418705,,Enlace de Salas,secondary,False,False,7.234,"LINESTRING (-6.2607185 43.404473, -6.2606513 43.404516)",,,,,
23418705,,Enlace de Salas,secondary,False,True,141.99,"LINESTRING (-6.2607185 43.404473, -6.2607678 43.404437, -6.2608148 43.4044011, -6.2609219 43.4043733, -6.2610023 43.4043703, -6.2610906 43.4043782, -6.2611907 43.4044104, -6.2612487 43.4044635, -6.2612839 43.4045318, -6.2613014 43.4045882, -6.2612937 43.4046499, -6.2611564 43.4048499, -6.2610528 43.4050299, -6.261015 43.4051192, -6.2610016 43.4052376)",,,,,
23421096,SL-1,,tertiary,False,False,471.246,"LINESTRING (-6.2607185 43.404473, -6.2604804 43.4044136, -6.2600783 43.4044035, -6.2598603 43.4043891, -6.2597726 43.4043647, -6.259715 43.4043075, -6.2597267 43.404249, -6.2597702 43.4041915, -6.2598883 43.4041516, -6.2601444 43.4041828, -6.2605671 43.4041876, -6.2610523 43.4041317, -6.2613477 43.4041022, -6.2614767 43.4041064, -6.2616174 43.4041444, -6.261731 43.404196, -6.2618213 43.4042645, -6.2618804 43.40438, -6.2618984 43.4045214, -6.2619164 43.4047362, -6.2619624 43.4048087, -6.2620543 43.404851, -6.2622101 43.4048955, -6.2626787 43.4049657, -6.2630928 43.4050134, -6.2633499 43.4050448, -6.2635924 43.4050726)",,,,,
23421096,SL-1,,tertiary,False,True,471.246,"LINESTRING (-6.2635924 43.4050726, -6.2633499 43.4050448, -6.2630928 43.4050134, -6.2626787 43.4049657, -6.2622101 43.4048955, -6.2620543 43.404851, -6.2619624 43.4048087, -6.2619164 43.4047362, -6.2618984 43.4045214, -6.2618804 43.40438, -6.2618213 43.4042645, -6.261731 43.404196, -6.2616174 43.4041444, -6.2614767 43.4041064, -6.2613477 43.4041022, -6.2610523 43.4041317, -6.2605671 43.4041876, -6.2601444 43.4041828, -6.2598883 43.4041516, -6.2597702 43.4041915, -6.2597267 43.404249, -6.259715 43.4043075, -6.2597726 43.4043647, -6.2598603 43.4043891, -6.2600783 43.4044035, -6.2604804 43.4044136, -6.2607185 43.404473)",,,,,
23418705,,Enlace de Salas,secondary,False,True,25.455,"LINESTRING (-6.2610016 43.4052376, -6.2610063 43.4054665)",,,,,
23418705,,Enlace de Salas,secondary,False,False,141.98999999999995,"LINESTRING (-6.2610016 43.4052376, -6.261015 43.4051192, -6.2610528 43.4050299, -6.2611564 43.4048499, -6.2612937 43.4046499, -6.2613014 43.4045882, -6.2612839 43.4045318, -6.2612487 43.4044635, -6.2611907 43.4044104, -6.2610906 43.4043782, -6.2610023 43.4043703, -6.2609219 43.4043733, -6.2608148 43.4044011, -6.2607678 43.404437, -6.2607185 43.404473)",,,,,
549233812,,,secondary,True,False,23.814,"LINESTRING (-6.2610016 43.4052376, -6.2609193 43.405332, -6.2608129 43.4053992)",,,,,
549233820,N-634a,Avenida de Galicia,living_street,True,False,18.783,"LINESTRING (-6.2601114 43.4087485, -6.2603285 43.408809)",,,,,
"[70288641, 70292611, 261044429]",,Calle del Molín,residential,False,False,83.488,"LINESTRING (-6.2601114 43.4087485, -6.2599397 43.4090904, -6.2598418 43.4092338, -6.2597062 43.4094381)",yes,,,,
"[66943032, 261118418, 261118419, 261118424]",,Calle La Campa,"['living_street', 'residential']",False,False,98.02000000000001,"LINESTRING (-6.2612639 43.4091013, -6.2613787 43.4091455, -6.2615168 43.409189, -6.2615447 43.4092001, -6.2616122 43.4092291, -6.261709 43.4092719, -6.2618078 43.4093157, -6.2623148 43.4095401)",,building_passage,,,
66943032,,,living_street,False,True,33.114,"LINESTRING (-6.2612639 43.4091013, -6.2611462 43.4090567, -6.2609021 43.4089613)",,,,,
"[66943042, 261044427, 261044428]",,,residential,False,False,93.174,"LINESTRING (-6.2612639 43.4091013, -6.2611003 43.4093276, -6.2610862 43.4093832, -6.2610746 43.4094293, -6.2610967 43.4095886, -6.2611063 43.4097513, -6.2611046 43.4098069, -6.2610939 43.4098693, -6.2610782 43.409905)",yes,,,,
"[1188266552, 261044436]",,Calle La Tahona,"['residential', 'unclassified']",False,False,346.73400000000004,"LINESTRING (-6.2638461 43.4110531, -6.2635883 43.411296, -6.2634914 43.4114554, -6.2634234 43.411613, -6.2633398 43.4116401, -6.2631199 43.4116308, -6.2628946 43.4116361, -6.2627499 43.4116321, -6.2625649 43.4116188, -6.2622131 43.4116347, -6.261964 43.4116587, -6.2618229 43.4116813, -6.2617185 43.4117146, -6.2611542 43.4119076, -6.2609893 43.4119541, -6.2609325 43.4119621, -6.2609215 43.4119887, -6.2609527 43.41201, -6.2613356 43.412124, -6.2616394 43.412196)",,,,,
"[261044428, 261118422]",,Calle de Ponteo,residential,False,"[False, True]",277.192,"LINESTRING (-6.2638461 43.4110531, -6.2636037 43.4110852, -6.2633429 43.4110791, -6.2631251 43.4110165, -6.2628873 43.4108738, -6.262344 43.4103956, -6.2621763 43.4102804, -6.2618658 43.4101553, -6.2614971 43.4100836, -6.2611261 43.410024, -6.2610899 43.4099979, -6.2610751 43.4099472, -6.2610782 43.409905)",,,,,
"[261118424, 261118423]",,Calle La Campa,residential,False,True,74.35900000000001,"LINESTRING (-6.2630195 43.4099682, -6.2624381 43.4095947, -6.2623148 43.4095401)",,,,,
70288645,,Calle de la Pola,residential,False,True,50.319,"LINESTRING (-6.2610782 43.409905, -6.2604981 43.4097401)",,,,,
"[261044428, 261118422]",,Calle de Ponteo,residential,False,"[False, True]",277.192,"LINESTRING (-6.2610782 43.409905, -6.2610751 43.4099472, -6.2610899 43.4099979, -6.2611261 43.410024, -6.2614971 43.4100836, -6.2618658 43.4101553, -6.2621763 43.4102804, -6.262344 43.4103956, -6.2628873 43.4108738, -6.2631251 43.4110165, -6.2633429 43.4110791, -6.2636037 43.4110852, -6.2638461 43.4110531)",,,,,
"[66943042, 261044427, 261044428]",,,residential,False,True,93.174,"LINESTRING (-6.2610782 43.409905, -6.2610939 43.4098693, -6.2611046 43.4098069, -6.2611063 43.4097513, -6.2610967 43.4095886, -6.2610746 43.4094293, -6.2610862 43.4093832, -6.2611003 43.4093276, -6.2612639 43.4091013)",yes,,,,
66943047,,,residential,False,True,97.186,"LINESTRING (-6.2521546 43.4048929, -6.2522026 43.4049319, -6.2522963 43.40503, -6.2523676 43.4051137, -6.2524197 43.4051858, -6.2524612 43.4052248, -6.2525524 43.4052823, -6.2525876 43.405309, -6.2526996 43.4053667, -6.252759 43.4054012, -6.2528273 43.4054207, -6.2528864 43.4054362, -6.2529266 43.405447, -6.2529521 43.4054489, -6.2529796 43.405446, -6.2530116 43.4054382)",,,,,
309980650,,,residential,False,False,51.143,"LINESTRING (-6.2521546 43.4048929, -6.2521867 43.4048128, -6.2522226 43.4047102, -6.2523905 43.4044686)",,,,,
70308492,,Calle Arzobispo Valdés,living_street,False,True,50.56,"LINESTRING (-6.2605971 43.4083983, -6.2603285 43.408809)",,,,,
261118427,,Calle San Roque,living_street,False,False,67.011,"LINESTRING (-6.2605971 43.4083983, -6.2607278 43.4084796, -6.2608619 43.4085774, -6.2609598 43.4086641, -6.2611507 43.4088444)",,,,,
261118427,,Calle San Roque,living_street,False,True,68.178,"LINESTRING (-6.2605971 43.4083983, -6.2605592 43.4083751, -6.2604596 43.4083377, -6.2603887 43.408315, -6.2598056 43.4081983)",,,,,
"[549233817, 66966915]",N-634a,Avenida del Pontón,"['living_street', 'secondary']",False,False,111.36,"LINESTRING (-6.2611507 43.4088444, -6.2612337 43.4087771, -6.2612548 43.408743, -6.2612776 43.4086836, -6.2612811 43.4086273, -6.2611955 43.4082617, -6.2611066 43.4078823)",,,,,
66966915,N-634a,Avenida del Pontón,living_street,False,True,24.25,"LINESTRING (-6.2611507 43.4088444, -6.2610046 43.4089336, -6.2609021 43.4089613)",,,,,
261118427,,Calle San Roque,living_street,False,True,67.011,"LINESTRING (-6.2611507 43.4088444, -6.2609598 43.4086641, -6.2608619 43.4085774, -6.2607278 43.4084796, -6.2605971 43.4083983)",,,,,
70288638,,Urbanización La Veiga,residential,False,False,59.743,"LINESTRING (-6.2571002 43.4088285, -6.2566744 43.4092678)",,,,,
70289991,SL-15,Paseo de la Veiga del Rey,tertiary,False,True,46.205,"LINESTRING (-6.2571002 43.4088285, -6.2575793 43.4090555)",,,,,
"[70289561, 70289991]",SL-15,"['Paseo de la Veiga del Rey', 'Carretera de Salas a Pravia']",tertiary,False,False,261.301,"LINESTRING (-6.2571002 43.4088285, -6.2564672 43.4085401, -6.2560058 43.4083296, -6.2559547 43.4083196, -6.255566 43.4082439, -6.2551583 43.408219, -6.2546647 43.4082049, -6.2544483 43.4082085, -6.2541927 43.4082127, -6.2540825 43.4082276)",,,,,
70288640,,Pasaje de San Martín,residential,False,True,84.697,"LINESTRING (-6.2582247 43.4100819, -6.2582264 43.4093202)",,,,,
70288669,,,residential,False,False,129.531,"LINESTRING (-6.2582247 43.4100819, -6.2579102 43.4101221, -6.2575328 43.4102024, -6.2569102 43.410309, -6.2566812 43.4103842)",,,,,
261118410,,Calle de la Ballostra,residential,False,False,86.552,"LINESTRING (-6.2582247 43.4100819, -6.2589257 43.4100471, -6.259293 43.4100227)",,,30,,
70288669,,,residential,False,False,12.355,"LINESTRING (-6.2566812 43.4103842, -6.2565467 43.4104371)",,,,,
70288669,,,residential,False,True,129.531,"LINESTRING (-6.2566812 43.4103842, -6.2569102 43.410309, -6.2575328 43.4102024, -6.2579102 43.4101221, -6.2582247 43.4100819)",,,,,
70288669,,,residential,False,True,133.792,"LINESTRING (-6.2566812 43.4103842, -6.2564194 43.4102947, -6.2563354 43.410225, -6.2563427 43.4099404, -6.2562826 43.4098884, -6.2560489 43.4097931, -6.2558769 43.4097436, -6.2555782 43.4097159)",,,,,
70288669,,,residential,False,False,163.53600000000003,"LINESTRING (-6.2561828 43.4104511, -6.2559951 43.4104732, -6.2557953 43.4104691, -6.255572 43.4103453, -6.255416 43.4102232, -6.2552671 43.4100523, -6.2551904 43.4098339, -6.2552647 43.4096948, -6.2553247 43.4096704, -6.2555384 43.4097122, -6.2555782 43.4097159)",,,,,
1174881872,,,residential,False,False,96.298,"LINESTRING (-6.2561828 43.4104511, -6.2561107 43.4103929, -6.2559965 43.410291, -6.2559123 43.410208, -6.2558582 43.4100944, -6.2557278 43.409972, -6.2556517 43.4098483, -6.2555782 43.4097159)",,,,,
70288669,,,residential,False,True,30.174999999999997,"LINESTRING (-6.2561828 43.4104511, -6.2564399 43.410414, -6.2565467 43.4104371)",,,,,
70288645,,Calle de la Pola,residential,False,True,8.593,"LINESTRING (-6.2597062 43.4094381, -6.2596006 43.4094288)",,,,,
70288645,,Calle de la Pola,residential,False,False,72.469,"LINESTRING (-6.2597062 43.4094381, -6.2600093 43.409526, -6.2604981 43.4097401)",,,,,
"[70288641, 70292611, 261044429]",,Calle del Molín,residential,False,True,83.488,"LINESTRING (-6.2597062 43.4094381, -6.2598418 43.4092338, -6.2599397 43.4090904, -6.2601114 43.4087485)",yes,,,,
70288645,,Calle de la Pola,residential,False,False,50.319,"LINESTRING (-6.2604981 43.4097401, -6.2610782 43.409905)",,,,,
70288645,,Calle de la Pola,residential,False,True,72.469,"LINESTRING (-6.2604981 43.4097401, -6.2600093 43.409526, -6.2597062 43.4094381)",,,,,
261118410,,Calle de la Ballostra,residential,False,True,114.92599999999999,"LINESTRING (-6.2604981 43.4097401, -6.2604021 43.409864, -6.2602849 43.4099979, -6.2602051 43.4100346, -6.2600997 43.410038, -6.2598645 43.4100327, -6.2596603 43.4100139, -6.259293 43.4100227)",,,30,,
261118429,,,residential,False,True,70.559,"LINESTRING (-6.259293 43.4100227, -6.2596006 43.4094288)",,,,,
261118410,,Calle de la Ballostra,residential,False,False,114.92600000000002,"LINESTRING (-6.259293 43.4100227, -6.2596603 43.4100139, -6.2598645 43.4100327, -6.2600997 43.410038, -6.2602051 43.4100346, -6.2602849 43.4099979, -6.2604021 43.409864, -6.2604981 43.4097401)",,,30,,
261118410,,Calle de la Ballostra,residential,False,True,86.552,"LINESTRING (-6.259293 43.4100227, -6.2589257 43.4100471, -6.2582247 43.4100819)",,,30,,
70288688,,Calle Fontenester,residential,False,False,59.456,"LINESTRING (-6.2611066 43.4078823, -6.2609964 43.4078961, -6.2607961 43.4079211, -6.2605134 43.4079383, -6.2603763 43.4079333)",,,,,
"[549233817, 261118426]",N-634a,Avenida del Pontón,secondary,False,False,287.207,"LINESTRING (-6.2611066 43.4078823, -6.2609708 43.4072985, -6.2609328 43.4071351, -6.2608756 43.4068607, -6.2608696 43.4067635, -6.2608902 43.4066668, -6.2609231 43.4065705, -6.2610433 43.4064532, -6.2614618 43.4062149, -6.2615459 43.4061236, -6.2615585 43.4060426, -6.2615478 43.4059723, -6.2615022 43.4058894, -6.2614174 43.4057787, -6.2612131 43.4055868)",,,,,
"[549233817, 66966915]",N-634a,Avenida del Pontón,"['secondary', 'living_street']",False,True,111.36,"LINESTRING (-6.2611066 43.4078823, -6.2611955 43.4082617, -6.2612811 43.4086273, -6.2612776 43.4086836, -6.2612548 43.408743, -6.2612337 43.4087771, -6.2611507 43.4088444)",,,,,
70288727,,,residential,False,False,71.241,"LINESTRING (-6.2590009 43.4075864, -6.2593276 43.4069913)",,,,,
70288688,,Calle Fontenester,residential,False,True,118.705,"LINESTRING (-6.2590009 43.4075864, -6.2590921 43.4076172, -6.2597878 43.4078521, -6.2602149 43.4079297, -6.2603763 43.4079333)",,,,,
70288727,,,residential,False,True,37.701,"LINESTRING (-6.2590009 43.4075864, -6.2588434 43.4078379, -6.2588076 43.407895)",,,,,
70316113,SL-16,Avenida del Llaniello,tertiary,False,True,33.94,"LINESTRING (-6.2588076 43.407895, -6.2591853 43.4080287)",,,,,
70288727,,,residential,False,False,37.701,"LINESTRING (-6.2588076 43.407895, -6.2588434 43.4078379, -6.2590009 43.4075864)",,,,,
70316113,SL-16,Avenida del Llaniello,tertiary,False,False,288.5,"LINESTRING (-6.2588076 43.407895, -6.258098 43.4076517, -6.2576357 43.4074553, -6.2574206 43.4073566, -6.2570921 43.4072007, -6.2567286 43.4070302, -6.2565395 43.4069347, -6.2564215 43.4068649, -6.2563169 43.4067964, -6.2561855 43.4067165, -6.2560138 43.4066122, -6.2559195 43.4065509, -6.2558217 43.4064924)",,,,,
70288727,,,residential,False,True,71.241,"LINESTRING (-6.2593276 43.4069913, -6.2590009 43.4075864)",,,,,
70288727,,,residential,False,False,57.95,"LINESTRING (-6.2593276 43.4069913, -6.2593593 43.4069008, -6.2594028 43.4064742)",,,,,
70288738,,Calle Río Narcea,residential,False,False,102.374,"LINESTRING (-6.2593276 43.4069913, -6.2591495 43.4069333, -6.2583542 43.4066746, -6.258171 43.406615)",,,,,
"[261118431, 70288727]",,Avenida de La Sienra,residential,False,False,230.53000000000003,"LINESTRING (-6.2594028 43.4064742, -6.2594463 43.4060534, -6.2593889 43.4059657, -6.2592703 43.4058997, -6.258182 43.4056952, -6.2579555 43.4056526, -6.2578171 43.4056627, -6.2577044 43.4057158, -6.2575858 43.4059614)",,,,,
70288739,,Calle Río Nonaya,residential,False,True,157.47,"LINESTRING (-6.2594028 43.4064742, -6.2591968 43.4064161, -6.2577513 43.4060081, -6.2575858 43.4059614)",,,,,
70288727,,,residential,False,True,57.95,"LINESTRING (-6.2594028 43.4064742, -6.2593593 43.4069008, -6.2593276 43.4069913)",,,,,
70288739,,Calle Río Nonaya,residential,False,False,157.47,"LINESTRING (-6.2575858 43.4059614, -6.2577513 43.4060081, -6.2591968 43.4064161, -6.2594028 43.4064742)",,,,,
"[70288727, 261118431]",,Avenida de La Sienra,residential,False,True,230.53,"LINESTRING (-6.2575858 43.4059614, -6.2577044 43.4057158, -6.2578171 43.4056627, -6.2579555 43.4056526, -6.258182 43.4056952, -6.2592703 43.4058997, -6.2593889 43.4059657, -6.2594463 43.4060534, -6.2594028 43.4064742)",,,,,
261118431,,Avenida de La Sienra,residential,False,False,46.646,"LINESTRING (-6.2575858 43.4059614, -6.2574781 43.4062253, -6.2574217 43.4063636)",,,,,
70288738,,Calle Río Narcea,residential,False,False,159.749,"LINESTRING (-6.2574217 43.4063636, -6.2572165 43.406298, -6.2564825 43.4060634, -6.2563342 43.406062, -6.2561899 43.4061065, -6.2558657 43.4064441, -6.2558217 43.4064924)",,,,,
70288738,,Calle Río Narcea,residential,False,True,66.674,"LINESTRING (-6.2574217 43.4063636, -6.2576643 43.406445, -6.258171 43.406615)",,,,,
261118431,,Avenida de La Sienra,residential,False,True,46.646,"LINESTRING (-6.2574217 43.4063636, -6.2574781 43.4062253, -6.2575858 43.4059614)",,,,,
70288728,,Calle Río Lleroso,residential,False,False,82.034,"LINESTRING (-6.2577495 43.4072862, -6.258171 43.406615)",,,,,
70288728,,Calle Río Lleroso,residential,False,True,82.034,"LINESTRING (-6.258171 43.406615, -6.2577495 43.4072862)",,,,,
70288738,,Calle Río Narcea,residential,False,False,66.674,"LINESTRING (-6.258171 43.406615, -6.2576643 43.406445, -6.2574217 43.4063636)",,,,,
70288738,,Calle Río Narcea,residential,False,True,102.374,"LINESTRING (-6.258171 43.406615, -6.2583542 43.4066746, -6.2591495 43.4069333, -6.2593276 43.4069913)",,,,,
