osmid,lanes,name,highway,maxspeed,width,oneway,reversed,length,geometry,junction,ref,tunnel,access
131702039,1,la Rambla,tertiary,30,7,False,False,82.231,"LINESTRING (2.1109512 41.542621, 2.110652 41.5433258)",,,,
131702039,1,la Rambla,tertiary,30,7,False,True,95.217,"LINESTRING (2.1109512 41.542621, 2.11135 41.5418184)",,,,
23912285,,Carrer de Gurrea,residential,30,,True,False,88.783,"LINESTRING (2.1109512 41.542621, 2.1110023 41.5426339, 2.1119623 41.5428756)",,,,
23585252,,Carrer de Sant Pau,residential,30,,True,False,120.167,"LINESTRING (2.1085549 41.5410464, 2.1082911 41.5421089)",,,,
23585228,,Carrer d'Alemanya,residential,30,0.3,True,False,134.0,"LINESTRING (2.1082911 41.5421089, 2.109851 41.5424074)",,,,
23585252,,Carrer de Sant Pau,residential,30,,True,False,84.16,"LINESTRING (2.1082911 41.5421089, 2.1081385 41.5428571)",,,,
23585264,,Carrer del Sol,residential,30,,True,False,84.99,"LINESTRING (2.110132 41.5414809, 2.1104698 41.5407596)",,,,
23613411,,Carrer de Cervantes,residential,30,,True,False,139.867,"LINESTRING (2.110132 41.5414809, 2.1085549 41.5410464)",,,,
23585228,,Carrer d'Alemanya,residential,30,0.3,True,False,94.595,"LINESTRING (2.109851 41.5424074, 2.1109512 41.542621)",,,,
23585264,,Carrer del Sol,residential,30,,True,False,105.643,"LINESTRING (2.109851 41.5424074, 2.110132 41.5414809)",,,,
23585344,,Carrer de la República,residential,30,,False,False,97.155,"LINESTRING (2.1095558 41.5454781, 2.1106224 41.5458333)",,,,
131702039,1,la Rambla,tertiary,30,7,False,True,69.292,"LINESTRING (2.1095558 41.5454781, 2.1098868 41.5449063)",,,,
832757710,2,la Rambla,tertiary,30,,False,False,88.753,"LINESTRING (2.1095558 41.5454781, 2.1091804 41.5462033, 2.1091703 41.5462223)",,,,
45262739,2,Carrer de les Tres Creus,residential,30,,False,False,69.271,"LINESTRING (2.115535 41.5462793, 2.1153261 41.5462595, 2.1147092 41.5462012)",,,,
443247964,,Carrer de les Tres Creus,residential,30,,True,False,26.588,"LINESTRING (2.115535 41.5462793, 2.1156461 41.5462608, 2.1157183 41.5462424, 2.1158266 41.5461894)",,,,
45262739,2,Carrer de les Tres Creus,residential,30,,False,False,106.54,"LINESTRING (2.1132506 41.5460965, 2.1119862 41.5462466)",,,,
