osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,junction,access
203625274,PO-552,Rúa Puerto Rico,primary,False,True,133.829,"LINESTRING (-8.874938 41.9035601, -8.8750152 41.9036362, -8.8751117 41.9037503, -8.8752088 41.903872, -8.8752966 41.9040179, -8.8753287 41.9040859, -8.8753636 41.9041607, -8.8753982 41.9042458, -8.8754106 41.9042984, -8.8754197 41.9043708, -8.8754243 41.904466, -8.8754216 41.9045448, -8.8754082 41.9046257, -8.8754 41.9046754)",,,,
203654269,,Rúa San Bernardo,residential,True,False,53.050000000000004,"LINESTRING (-8.874938 41.9035601, -8.8749777 41.9035425, -8.8750187 41.9035444, -8.8750612 41.9035564, -8.8751607 41.9036331, -8.875207 41.9036705, -8.8752687 41.9037264, -8.8753116 41.9038112, -8.8753558 41.9038588)",,,,
420911318,PO-552,Rúa Puerto Rico,primary,False,False,93.696,"LINESTRING (-8.874938 41.9035601, -8.8748741 41.90351, -8.874078 41.9030127)",,,,
292815497,PO-552,Rúa Galicia,primary,False,False,72.66,"LINESTRING (-8.8706493 41.9025059, -8.8705833 41.9025145, -8.8699036 41.9026531, -8.8698012 41.9026741)",2,,,
292815497,PO-552,Rúa Galicia,primary,False,True,30.273,"LINESTRING (-8.8706493 41.9025059, -8.870721 41.9025066, -8.870802 41.9025043, -8.871015 41.902507)",2,,,
420911318,PO-552,Rúa Puerto Rico,primary,False,True,10.247,"LINESTRING (-8.8731425 41.9025853, -8.8732661 41.9025908)",,,,
78361821,PO-353,Avenida República Dominicana,unclassified,False,False,215.565,"LINESTRING (-8.8731425 41.9025853, -8.8730825 41.9026308, -8.8730723 41.902656, -8.873046 41.9026802, -8.8729738 41.9027242, -8.8728778 41.9027851, -8.872797 41.9028355, -8.8718284 41.9034516, -8.8716497 41.9035474, -8.8714815 41.9036289, -8.871385 41.9036678, -8.8712927 41.9036908, -8.8711945 41.9037048, -8.8710802 41.9037133)",2,,,
183768565,PO-552,Rúa Galicia,primary,False,False,44.738,"LINESTRING (-8.8731425 41.9025853, -8.8729334 41.9025817, -8.8729176 41.9025795, -8.8726028 41.9025657)",2,,,
78361821,PO-353,Avenida República Dominicana,unclassified,False,False,28.236000000000004,"LINESTRING (-8.8688237 41.9047691, -8.868743 41.9048719, -8.8686824 41.9049568, -8.8686639 41.904993)",2,,,
78361821,PO-353,Avenida República Dominicana,unclassified,False,True,69.132,"LINESTRING (-8.8688237 41.9047691, -8.8689338 41.9046725, -8.8691322 41.9045273, -8.8693128 41.9044149, -8.8694329 41.9043462)",2,,,
203760903,,3ª Travesía Solanas,residential,False,False,71.328,"LINESTRING (-8.8786688 41.9044548, -8.8778076 41.9044292)",,,,
78361725,,Rúa O Rosal,residential,False,True,37.525,"LINESTRING (-8.8786688 41.9044548, -8.8786624 41.9044018, -8.878628 41.9041187)",,,,
78361758,PO-352,Estrada de Circunvalación,tertiary,False,False,69.061,"LINESTRING (-8.871157 41.8999719, -8.8712955 41.8998594, -8.8715763 41.8996997, -8.8717991 41.8995784)",2,,,
