osmid,oneway,ref,name,highway,junction,reversed,length,geometry,lanes,maxspeed,access
167529032,True,CV-8062,Avenida Juan Carlos I,secondary,circular,False,1.102,"LINESTRING (-0.5752186 38.6223464, -0.5752062 38.6223485)",,,
167529029,True,,,secondary,roundabout,False,17.692,"LINESTRING (-0.5780197 38.6208719, -0.5780595 38.620865, -0.5780951 38.6208495, -0.5781235 38.6208268, -0.5781425 38.6207986, -0.5781503 38.6207674)",,,
167839754,False,,Calle Tibi,residential,,False,55.439,"LINESTRING (-0.5780197 38.6208719, -0.5777797 38.6212035, -0.5777056 38.6213059)",,,
167656646,True,Cv-8062,Avenida Juan Carlos I,residential,,False,115.15799999999999,"LINESTRING (-0.5744883 38.6227755, -0.574411 38.6228033, -0.5738899 38.6230974, -0.5736728 38.6232151, -0.5734685 38.6233346, -0.5734059 38.6233712)",,,
898592744,True,CV-8062,Avenida Juan Carlos I,secondary,circular,False,6.107,"LINESTRING (-0.5744883 38.6227755, -0.5744908 38.6227918, -0.5745096 38.6228274)",,,
898592744,True,CV-8062,Avenida Juan Carlos I,secondary,circular,False,6.494,"LINESTRING (-0.5745096 38.6228274, -0.5745794 38.6228483)",,,
381156360,False,CV-8062,Avenida Juan Carlos I,secondary,,True,55.653999999999996,"LINESTRING (-0.5745096 38.6228274, -0.5744694 38.6228484, -0.5744565 38.622856, -0.5739912 38.6231214)",,,
167529029,True,,,secondary,roundabout,False,10.115,"LINESTRING (-0.5781503 38.6207674, -0.5781468 38.6207372, -0.5781329 38.6207088, -0.5781097 38.6206846)",,,
167832208,True,,Calle Waksman,residential,,False,65.334,"LINESTRING (-0.5746428 38.6228322, -0.5750545 38.6233239)",,,
"[898592745, 898592746]",True,CV-8062,Avenida Juan Carlos I,secondary,circular,False,61.964999999999996,"LINESTRING (-0.5746428 38.6228322, -0.574696 38.6227907, -0.5748101 38.6226924, -0.5750664 38.6225471, -0.5752065 38.6225019)",,,
167529029,True,,,secondary,roundabout,False,10.105,"LINESTRING (-0.5778903 38.6207034, -0.5778743 38.620731, -0.5778686 38.620761, -0.5778736 38.620791)",,,
167529029,True,,,secondary,roundabout,False,4.271,"LINESTRING (-0.577971 38.6208679, -0.5779951 38.6208716, -0.5780197 38.6208719)",,,
167529029,True,,,secondary,roundabout,False,18.569,"LINESTRING (-0.5780788 38.6206662, -0.5780327 38.6206534, -0.5779915 38.6206529, -0.5779518 38.6206616, -0.5779171 38.620679, -0.5778903 38.6207034)",,,
441626028,True,CV-7982,Avenida de Azorín,tertiary,,False,72.658,"LINESTRING (-0.5780788 38.6206662, -0.5780335 38.6205997, -0.5780226 38.6205232, -0.5780563 38.6202927, -0.5780689 38.620245, -0.5780818 38.6201942, -0.57812 38.6200884, -0.5781448 38.620033)",,,
167530125,False,CV-7982,Avenida de Azorín,tertiary,,False,31.9,"LINESTRING (-0.5782692 38.6194612, -0.5781848 38.6197404)",,,
167530125,False,CV-7982,Avenida de Azorín,tertiary,,True,34.04,"LINESTRING (-0.5782692 38.6194612, -0.5783561 38.6191627)",,,
461889303,True,,,residential,roundabout,False,4.487,"LINESTRING (-0.5751545 38.6196103, -0.5751848 38.6196198, -0.5752033 38.6196232)",,,
461889303,True,,,residential,roundabout,False,3.511,"LINESTRING (-0.5752261 38.6196242, -0.5752652 38.6196162)",,,
167639976,True,,,residential,roundabout,False,1.192,"LINESTRING (-0.5751471 38.6194615, -0.5751361 38.6194679)",,,
167642579,False,,Calle Calderón de la Barca,residential,,False,45.193,"LINESTRING (-0.5751471 38.6194615, -0.5751535 38.6190551)",,,
167639976,True,,,residential,roundabout,False,12.563,"LINESTRING (-0.5752829 38.6194596, -0.5752504 38.6194472, -0.5752146 38.6194433, -0.575179 38.6194482, -0.5751471 38.6194615)",,,
167530125,False,CV-7982,Avenida de Azorín,tertiary,,True,31.9,"LINESTRING (-0.5781848 38.6197404, -0.5782692 38.6194612)",,,
997599948,True,CV-7982,Avenida de Azorín,tertiary,,False,16.961,"LINESTRING (-0.5781848 38.6197404, -0.5781367 38.6197782, -0.5780985 38.6198238, -0.578063 38.6198589)",,,
167639974,True,,Avenida Miguel Hernández,residential,,False,113.369,"LINESTRING (-0.5752652 38.6196162, -0.5759587 38.619729, -0.5765472 38.6198054)",,,
167639976,True,,,residential,roundabout,False,21.066,"LINESTRING (-0.5752652 38.6196162, -0.5752984 38.6195982, -0.5753216 38.6195724, -0.5753322 38.6195419, -0.5753287 38.6195104, -0.5753116 38.6194818, -0.5752829 38.6194596)",,,
167639975,False,,Calle Vicente Aleixandre,residential,,True,15.275,"LINESTRING (-0.5726392 38.6198589, -0.5727825 38.6199385)",,,
167639975,False,,Calle Vicente Aleixandre,residential,,False,59.892,"LINESTRING (-0.5726392 38.6198589, -0.5723093 38.6197707, -0.5720447 38.619603)",,,
360577669,True,,Passeig dels Geladors,residential,,False,36.953,"LINESTRING (-0.5726392 38.6198589, -0.5724941 38.6199071, -0.5722577 38.6200052)",,,
167642572,True,,Calle Lope de Vega,residential,,False,60.373,"LINESTRING (-0.5767724 38.619075, -0.577464 38.619022)",,,
