osmid,oneway,name,highway,maxspeed,reversed,length,lanes,ref,geometry,junction,bridge,tunnel
96579508,True,Carrer de la Plana,residential,50,False,61.525,,,"LINESTRING (1.1431217 41.6436282, 1.1424489 41.6433972)",,,
181605787,False,Carrer de Sant Pere Claver,primary,50,True,50.586,2,C-14,"LINESTRING (1.1431217 41.6436282, 1.1429354 41.6440613)",,,
731794652,False,Carrer de la Plana,residential,50,False,74.75,,,"LINESTRING (1.1431217 41.6436282, 1.1439437 41.6439013)",,,
731794653,False,Carrer de Sant Pere Claver,primary,,False,78.968,,C-14,"LINESTRING (1.1431217 41.6436282, 1.1433196 41.643085, 1.1433189 41.6429378)",,,
948066878,False,Carrer de Santa Clara,residential,30,False,77.101,,,"LINESTRING (1.1352325 41.6468449, 1.135562 41.6461967)",,,
96579476,True,Carrer dels Capellans,living_street,20,False,125.77900000000001,,,"LINESTRING (1.1388027 41.6468192, 1.1385102 41.6468083, 1.1382074 41.6469031, 1.1381584 41.646929, 1.1379756 41.6470251, 1.1375914 41.6469981, 1.1374852 41.6469063, 1.1374574 41.6468659)",,,
"[159976589, 96579437]",True,"['Carrer de Sant Joan', 'Carrer de Santa María']",residential,20,False,157.113,,,"LINESTRING (1.1388027 41.6468192, 1.1387539 41.6470031, 1.1387356 41.6472468, 1.1387527 41.6473837, 1.1387622 41.6475164, 1.138758 41.647543, 1.1387496 41.6475612, 1.1387315 41.6475819, 1.1386742 41.6475853, 1.1385563 41.647586, 1.1380094 41.6475838, 1.1378949 41.6476365)",,,
1147471360,False,Plaça del Mestre Lluís Millet,residential,20,True,22.967,,,"LINESTRING (1.1388027 41.6468192, 1.1389721 41.6468655, 1.1390125 41.6469306)",,,
"[948066912, 672029550]",False,Plaça Major,residential,20,True,16.444,,,"LINESTRING (1.1389677 41.6465399, 1.1390377 41.6465352, 1.1390631 41.6464977, 1.1390958 41.6464503)",,,
948066913,True,Plaça del Mestre Lluís Millet,residential,20,False,33.996,,,"LINESTRING (1.1389677 41.6465399, 1.1388959 41.6466419, 1.1388027 41.6468192)",,,
672029552,True,Plaça Major,residential,20,False,11.708,,,"LINESTRING (1.1394612 41.6464598, 1.1395924 41.6464982)",,,
672029554,False,Plaça Major,residential,20,False,24.807,,,"LINESTRING (1.1394612 41.6464598, 1.1394524 41.6462368)",,,
672029556,False,Plaça Major,residential,20,False,30.38,,,"LINESTRING (1.1394612 41.6464598, 1.1390958 41.6464503)",,,
672029551,False,Plaça Major,residential,20,True,29.528999999999996,,,"LINESTRING (1.1394612 41.6464598, 1.1394722 41.6465428, 1.1394357 41.6467229)",,,
672029553,False,Plaça Major,residential,20,True,33.324,,,"LINESTRING (1.1394612 41.6464598, 1.1396952 41.646239, 1.1397101 41.6462248)",,,
