osmid,oneway,ref,highway,reversed,length,lanes,name,maxspeed,geometry,junction
35142886,True,VP-5504,tertiary,False,30.899,,,,"LINESTRING (-5.0450976 41.8828237, -5.0453389 41.8826117)",
675609637,False,N-601,trunk,True,39.469,2,Avenida Juan Carlos I,40,"LINESTRING (-5.0450976 41.8828237, -5.0451148 41.8827915, -5.0451385 41.8827251, -5.0451648 41.8826583, -5.0451816 41.8825987, -5.0451905 41.8824778)",
"[378515460, 687542951]",False,N-601,trunk,False,57.74300000000001,2,Corro Santo Domingo,40,"LINESTRING (-5.0450976 41.8828237, -5.0450729 41.8828705, -5.0450532 41.8829154, -5.0450378 41.8829469, -5.0450053 41.8830206, -5.0449844 41.8830833, -5.0449643 41.8831589, -5.0449662 41.8832382, -5.0449883 41.8833264)",
69575778,False,N-601,trunk,False,70.447,2,Calle San Juan,40,"LINESTRING (-5.0449883 41.8833264, -5.0450671 41.8834057, -5.0451801 41.8834836, -5.04549 41.8836998, -5.0455877 41.8837742)",
197598488,True,,residential,False,229.059,,Calle Cantareros,,"LINESTRING (-5.0449883 41.8833264, -5.0448689 41.8833671, -5.0447715 41.8835994, -5.0446734 41.8838093, -5.0445353 41.8839094, -5.0441139 41.8841204, -5.0438741 41.8842178, -5.0433109 41.8845099, -5.0432692 41.8845282, -5.0430094 41.8846424)",
"[378515460, 687542951]",False,N-601,trunk,True,57.743,2,Corro Santo Domingo,40,"LINESTRING (-5.0449883 41.8833264, -5.0449662 41.8832382, -5.0449643 41.8831589, -5.0449844 41.8830833, -5.0450053 41.8830206, -5.0450378 41.8829469, -5.0450532 41.8829154, -5.0450729 41.8828705, -5.0450976 41.8828237)",
197663506,False,,residential,True,17.758,,Calle Ancha,,"LINESTRING (-5.0442185 41.8849504, -5.0441612 41.8851043)",
886818025,False,VA-913,tertiary,True,17.308,,Calle Mancio Prado,50,"LINESTRING (-5.0442185 41.8849504, -5.0440484 41.8850409)",
197663463,False,VA-913,tertiary,False,173.127,,Calle Ancha,50,"LINESTRING (-5.0442185 41.8849504, -5.04466 41.88458, -5.0451633 41.8841583, -5.0454661 41.8838728, -5.0455033 41.8838426, -5.0455877 41.8837742)",
197598485,False,,residential,True,11.7,,Travesía Pontón de Magarzo,,"LINESTRING (-5.0440484 41.8850409, -5.0441612 41.8851043)",
886818025,False,VA-913,tertiary,False,17.308,,Calle Mancio Prado,50,"LINESTRING (-5.0440484 41.8850409, -5.0442185 41.8849504)",
675609633,False,VA-913,tertiary,True,47.429,,Calle Mancio Prado,50,"LINESTRING (-5.0440484 41.8850409, -5.043949 41.8850972, -5.0437473 41.8851923, -5.043569 41.8852739)",
675609633,False,VA-913,tertiary,False,47.429,,Calle Mancio Prado,50,"LINESTRING (-5.043569 41.8852739, -5.0437473 41.8851923, -5.043949 41.8850972, -5.0440484 41.8850409)",
675609633,False,VA-913,tertiary,True,61.414,,Calle Mancio Prado,50,"LINESTRING (-5.043569 41.8852739, -5.0433743 41.8853542, -5.0432085 41.8854098, -5.0428933 41.8854995)",
744157614,False,VA-913,tertiary,False,13.269,,,50,"LINESTRING (-5.0400898 41.8856675, -5.0402499 41.8856733)",
"[712669025, 89618813]",False,,residential,False,103.746,,Calle el Candil,,"LINESTRING (-5.0400898 41.8856675, -5.0396268 41.8854402, -5.0395588 41.8853855, -5.0394478 41.8852708, -5.0392443 41.885007)",
