osmid,lanes,ref,highway,junction,oneway,reversed,length,geometry,name
46128382,2,A-336,secondary,roundabout,True,False,16.614,"LINESTRING (-3.8808572 37.2840748, -3.8808388 37.2840488, -3.8808112 37.2840285, -3.8807772 37.2840158, -3.8807399 37.284012, -3.880703 37.2840175)",
617708200,2,A-336,secondary,,False,False,8.104,"LINESTRING (-3.8843991 37.2840802, -3.8843075 37.2840802)",Carretera Alomartes
134756961,,,residential,,False,False,8.392,"LINESTRING (-3.8811946 37.2852214, -3.8812196 37.2852942)",Calle Carnicería
617708198,2,A-336,secondary,,False,False,26.275,"LINESTRING (-3.8811946 37.2852214, -3.8811274 37.285221, -3.8810188 37.2851723, -3.8809495 37.2851094)",Calle Cantón
617708200,2,A-336,secondary,,False,True,67.89999999999999,"LINESTRING (-3.8811946 37.2852214, -3.8812868 37.2852033, -3.8815947 37.2850749, -3.8818562 37.2849215)",Carretera Alomartes
46128800,,,tertiary,,True,False,12.268,"LINESTRING (-3.8806438 37.2840534, -3.8805213 37.2841051)",Avenida Rodríguez de la Fuente
895515827,2,A-336,secondary,roundabout,True,False,18.197,"LINESTRING (-3.8806438 37.2840534, -3.8806264 37.284083, -3.8806224 37.2841156, -3.8806323 37.2841474, -3.8806549 37.2841747, -3.8806878 37.2841944)",
895515828,2,A-336,secondary,roundabout,True,False,5.143,"LINESTRING (-3.8806878 37.2841944, -3.880715 37.2842025, -3.8807439 37.2842052)",
617708233,,,tertiary,,False,False,52.905,"LINESTRING (-3.8801688 37.2843864, -3.8797586 37.2847326)",Avenida Rodríguez de la Fuente
617708233,,,tertiary,,False,True,5.701,"LINESTRING (-3.8801688 37.2843864, -3.8802143 37.2843501)",Avenida Rodríguez de la Fuente
617708233,,,tertiary,,False,False,43.76,"LINESTRING (-3.8797586 37.2847326, -3.8794085 37.2850106)",Avenida Rodríguez de la Fuente
617708233,,,tertiary,,False,True,52.905,"LINESTRING (-3.8797586 37.2847326, -3.8801688 37.2843864)",Avenida Rodríguez de la Fuente
192940760,,,residential,,False,True,35.049,"LINESTRING (-3.8797586 37.2847326, -3.8798684 37.2849691, -3.8798642 37.2850321)",Calle Veleta
294158546,,,residential,,False,True,28.026,"LINESTRING (-3.8788245 37.2854986, -3.8785991 37.2853215)",Calle Sierra Nevada
617708233,,,tertiary,,False,True,18.0,"LINESTRING (-3.8788245 37.2854986, -3.8789612 37.2853787)",Avenida Rodríguez de la Fuente
617708233,,,tertiary,,False,False,85.839,"LINESTRING (-3.8788245 37.2854986, -3.8782562 37.2859556, -3.8781589 37.2860589)",Avenida Rodríguez de la Fuente
104110357,,,tertiary,,False,False,10.166,"LINESTRING (-3.878182 37.2861956, -3.8782083 37.2862846)",Avenida San Rogelio
617708228,1,,tertiary,roundabout,True,False,15.04,"LINESTRING (-3.878182 37.2861956, -3.8782078 37.2861877, -3.8782292 37.2861737, -3.878244 37.2861551, -3.8782507 37.2861338, -3.8782481 37.2861103, -3.8782357 37.2860888)",
104110357,,,tertiary,,False,True,52.598,"LINESTRING (-3.8778534 37.2879788, -3.8779448 37.2875114)",Avenida San Rogelio
182779308,,,residential,,False,False,46.736,"LINESTRING (-3.8778534 37.2879788, -3.8783198 37.2877814)",Calle Santa Ana
294158553,,,tertiary,,False,False,5.326,"LINESTRING (-3.8778534 37.2879788, -3.8778019 37.2880036)",Camino Los Paraísos
104110357,,,tertiary,,False,False,61.017,"LINESTRING (-3.8782014 37.2864386, -3.8780601 37.2869757)",Avenida San Rogelio
104110357,,,tertiary,,False,True,17.135,"LINESTRING (-3.8782014 37.2864386, -3.8782083 37.2862846)",Avenida San Rogelio
182779243,,,residential,,False,False,14.773,"LINESTRING (-3.8782014 37.2864386, -3.878362 37.286475)",Calle Huerto Don Rodrigo
