osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,bridge,junction,access
24653456,False,GC-172,Carretera al Puerto de Las Nieves,tertiary,40,False,176.546,"LINESTRING (-15.7044296 28.0991042, -15.7044744 28.0990977, -15.7045377 28.0990988, -15.7046571 28.0991182, -15.7047462 28.0991404, -15.7048171 28.0991664, -15.7048949 28.0992011, -15.7053976 28.0995021, -15.7059812 28.099852)",,,,
42371826,False,GC-172,Carretera al Puerto de Las Nieves,tertiary,,True,71.90299999999999,"LINESTRING (-15.7044296 28.0991042, -15.7043667 28.0991181, -15.7043082 28.0991368, -15.703757 28.0993589)",2,,,
27819480,False,,,primary_link,,False,252.705,"LINESTRING (-15.7038201 28.1002238, -15.7049514 28.1019743, -15.7050973 28.1021975)",2,,,
42371833,True,,,primary_link,,False,52.221999999999994,"LINESTRING (-15.7038201 28.1002238, -15.7037003 28.0999347, -15.7036772 28.0998551, -15.7036686 28.0997758)",,,,
24653458,True,,Plaza de la Constitución,residential,,False,36.665,"LINESTRING (-15.7008054 28.0999318, -15.7007517 28.0999121, -15.7006261 28.0998587, -15.7004662 28.0997934)",,,,
52565274,False,GC-172,Calle San José,tertiary,,False,30.549,"LINESTRING (-15.7008054 28.0999318, -15.700713 28.1000382, -15.7006397 28.1001227, -15.7006243 28.1001542)",,,,
"[182928330, 183902354, 183902357, 42371807]",True,GC-172,,tertiary,,False,96.91,"LINESTRING (-15.7008054 28.0999318, -15.700894 28.0998283, -15.7012061 28.099513, -15.7012313 28.0994884, -15.7012873 28.0994468, -15.7013746 28.0994118, -15.701448 28.0993966, -15.7015286 28.0993746)",1,yes,,
139151960,False,,Plaza Tenesor,residential,,False,16.194000000000003,"LINESTRING (-15.6994162 28.0989945, -15.6993324 28.0990575, -15.6992902 28.0990886)",,,,
42371812,True,GC-2,,primary,,False,55.808,"LINESTRING (-15.7051 28.1028168, -15.7051548 28.102856, -15.705221 28.1028776, -15.7052916 28.1028794, -15.7053598 28.1028607, -15.7054175 28.1028235, -15.7054584 28.1027718, -15.705478 28.1027113, -15.7054743 28.1026483)",1,,roundabout,
42371821,True,GC-172,,tertiary,,False,19.668,"LINESTRING (-15.70739 28.1006035, -15.7073128 28.1006599, -15.7072705 28.1007401)",1,,roundabout,
197447996,True,GC-172,Carretera al Puerto de Las Nieves,tertiary,,False,22.378,"LINESTRING (-15.70739 28.1006035, -15.7072718 28.1005971, -15.7071652 28.1005742)",1,,,
32558937,True,,Calle Sargentos Provisionales,residential,,False,23.258,"LINESTRING (-15.7000677 28.1002069, -15.7001014 28.1001662, -15.7002027 28.1000585, -15.7002163 28.100044)",1,,,
132616998,True,GC-231,Calle José Sánchez y Sánchez,tertiary,,False,28.743000000000002,"LINESTRING (-15.7000677 28.1002069, -15.700128 28.1002558, -15.7002469 28.1004097)",,,,
132410461,False,GC-172,Calle León y Castillo,tertiary,,True,54.541,"LINESTRING (-15.7012449 28.1011311, -15.7008519 28.1007841)",,,,
32558947,False,,Calle Alcalde Esparza Artech,residential,,False,37.787,"LINESTRING (-15.7012449 28.1011311, -15.7012513 28.1010733, -15.7014208 28.1008345)",,,,
139843484,False,GC-172,Calle León y Castillo,tertiary,30,False,142.329,"LINESTRING (-15.7012449 28.1011311, -15.7013054 28.1011892, -15.701587 28.1014775, -15.7017103 28.1016135, -15.7017392 28.1016454, -15.7018386 28.1018103, -15.7019674 28.10201, -15.7019771 28.1020345, -15.7020046 28.1021011, -15.7020217 28.1021571, -15.7020208 28.1021913)",,,,
32558947,False,,Calle Alcalde Esparza Artech,residential,,True,63.563,"LINESTRING (-15.7017958 28.1003683, -15.7014208 28.1008345)",,,,
