osmid,oneway,lanes,ref,highway,reversed,length,name,geometry,maxspeed,junction
"[239283362, 1102449117, 444595814]",True,1,LP-202,tertiary,False,497.858,Carretera del Galión,"LINESTRING (-17.7670574 28.6810245, -17.7671188 28.6810071, -17.7671917 28.6809609, -17.7672927 28.6808837, -17.7673231 28.6808605, -17.7673514 28.6808402, -17.7674064 28.6808001, -17.7682137 28.680238, -17.7682672 28.6801951, -17.7683336 28.68012, -17.7683867 28.6800379, -17.7684297 28.6799458, -17.7684421 28.6799126, -17.7684546 28.6798735, -17.7684675 28.6797993, -17.7684786 28.6797148, -17.7684914 28.6796305, -17.7685225 28.6795641, -17.7685853 28.6794694, -17.768777 28.6792365, -17.7688897 28.6791283, -17.7689824 28.6790561, -17.7690942 28.6789839, -17.7695593 28.678691, -17.7699557 28.6784511, -17.7700856 28.6783659, -17.7704806 28.6781161, -17.770509 28.6781049, -17.7705686 28.6780889, -17.7706758 28.678078)",,
444597474,True,2,LP-1,tertiary,False,13.574000000000002,,"LINESTRING (-17.7670574 28.6810245, -17.7670944 28.6809917, -17.7671144 28.6809554, -17.7671225 28.6809205)",50,
32856918,True,3,LP-1,tertiary,False,4.019,,"LINESTRING (-17.7662271 28.6808126, -17.7662401 28.6808469)",50,
"[199406656, 444597478]",True,"['1', '2']",LP-1,tertiary,False,27.425,,"LINESTRING (-17.7662271 28.6808126, -17.7662501 28.6807997, -17.7662653 28.6807878, -17.7662737 28.6807779, -17.7662843 28.6807575, -17.7662922 28.6807303, -17.7663007 28.6806955, -17.7662975 28.6806602, -17.7662829 28.680627, -17.7662582 28.680599)",,roundabout
"[51734616, 45895182]",True,,,living_street,False,161.788,"['Calle Blas Simón', 'Calle Álvarez de Abreu']","LINESTRING (-17.7654947 28.6814335, -17.7655498 28.681498, -17.7657532 28.6817101, -17.7660615 28.6814411, -17.7661462 28.6813672, -17.7662877 28.6812437, -17.7663226 28.6812188, -17.7666167 28.6810088, -17.7666635 28.6809601)",,
"[444598218, 55752805, 446593759]",False,3,LP-1,tertiary,False,257.871,Avenida Marítima,"LINESTRING (-17.7654947 28.6814335, -17.7653451 28.681588, -17.7652039 28.6817451, -17.7649154 28.6820549, -17.7642862 28.6826952, -17.7637934 28.6832082)","['50', '30']",
55752805,False,3,LP-1,tertiary,True,56.845,Avenida Marítima,"LINESTRING (-17.7654947 28.6814335, -17.7655367 28.681388, -17.7658614 28.6810362)",50,
"[27799832, 672385100]",False,,,residential,False,114.203,Avenida del Puente,"LINESTRING (-17.7637934 28.6832082, -17.7638809 28.6832936, -17.7640926 28.6835003, -17.7643515 28.6837455, -17.7645468 28.6839919)",,
199830596,False,4,LP-1,tertiary,True,228.56099999999998,Avenida Marítima,"LINESTRING (-17.7637934 28.6832082, -17.7636879 28.6833239, -17.7636396 28.6833824, -17.7635513 28.6834968, -17.7634848 28.6835925, -17.7634686 28.6836158, -17.7633782 28.6837474, -17.7633643 28.6837676, -17.7629383 28.6845188, -17.7628384 28.6846438, -17.7627215 28.6847822, -17.7626567 28.6848605, -17.7626263 28.6848955, -17.7625702 28.6849529)",50,
"[444598218, 55752805, 446593759]",False,3,LP-1,tertiary,True,257.87100000000004,Avenida Marítima,"LINESTRING (-17.7637934 28.6832082, -17.7642862 28.6826952, -17.7649154 28.6820549, -17.7652039 28.6817451, -17.7653451 28.681588, -17.7654947 28.6814335)","['30', '50']",
362475140,True,,,residential,False,56.854,Calle Pérez Volcán,"LINESTRING (-17.7645468 28.6839919, -17.7641105 28.6843309)",,
32856993,False,,,tertiary,False,43.0,Avenida del Puente,"LINESTRING (-17.7645468 28.6839919, -17.7645838 28.6840539, -17.7647477 28.6843361)",30,
"[27799832, 672385100]",False,,,residential,True,114.203,Avenida del Puente,"LINESTRING (-17.7645468 28.6839919, -17.7643515 28.6837455, -17.7640926 28.6835003, -17.7638809 28.6832936, -17.7637934 28.6832082)",,
45895183,True,,,residential,False,39.193,Calle Pérez Volcán,"LINESTRING (-17.765153 28.6837242, -17.7648152 28.6838215, -17.7647696 28.6838282)",,
257319610,False,,,residential,False,26.309,Calle de San Sebastián,"LINESTRING (-17.7655124 28.6833256, -17.7657601 28.6834192)",,
"[257319608, 103743345, 51544900]",True,,,residential,False,96.851,"['Calle Van-de-Walle', 'Calle de San Sebastián']","LINESTRING (-17.7655124 28.6833256, -17.7651593 28.6831911, -17.7651486 28.6834641, -17.765153 28.6837242)",,
51508693,True,,,residential,False,55.016,Calle Vendaval,"LINESTRING (-17.7691728 28.6815915, -17.7691095 28.6816129, -17.7687767 28.6818822, -17.7687459 28.681909)",,
162110086,False,,LP-202,secondary,True,382.00499999999994,Carretera Timibucar,"LINESTRING (-17.7691728 28.6815915, -17.7689103 28.6820265, -17.7688605 28.6821894, -17.7687045 28.6827175, -17.7686838 28.6827683, -17.7686716 28.682829, -17.7687111 28.6829404, -17.7687931 28.6830915, -17.76896 28.6833838, -17.7689637 28.6834412, -17.7689502 28.6834856, -17.7689218 28.6835232, -17.7688753 28.6835498, -17.7688254 28.68356, -17.7687669 28.6835511, -17.768651 28.6834826, -17.7685544 28.6834471, -17.7684568 28.6834299, -17.7683317 28.6834248, -17.768271 28.6834262, -17.7682103 28.6834375, -17.7681621 28.6834513, -17.7681196 28.6834801, -17.7680687 28.6835455, -17.7680404 28.6836209, -17.7679941 28.6837632, -17.7679031 28.6840427)",,
446572618,False,,LP-202,secondary,False,73.78800000000001,Carretera Timibucar,"LINESTRING (-17.7691728 28.6815915, -17.7692349 28.6815042, -17.769309 28.681429, -17.769407 28.6813514, -17.7697284 28.6811518)",,
51510463,True,,,residential,False,31.951,Calle Tagaruchi,"LINESTRING (-17.7701586 28.6787479, -17.7699901 28.6785015)",,
446623829,False,2,LP-202,tertiary,True,12.671,Carretera del Galión,"LINESTRING (-17.7701586 28.6787479, -17.7700562 28.678818)",,
446623829,False,2,LP-202,tertiary,False,63.363,Carretera del Galión,"LINESTRING (-17.7701586 28.6787479, -17.7703112 28.6786879, -17.7707889 28.6786296)",,
51508691,True,,,residential,False,62.32,Calle Tamaduste,"LINESTRING (-17.7706758 28.678078, -17.7707889 28.6786296)",,
446623829,False,2,LP-202,tertiary,True,183.67000000000002,Carretera del Galión,"LINESTRING (-17.7706758 28.678078, -17.7707353 28.6780629, -17.7708048 28.6780633, -17.7708578 28.6780716, -17.7709135 28.6780852, -17.771104 28.6781324, -17.7713429 28.6782001, -17.771465 28.6782529, -17.7715069 28.6782935, -17.7715257 28.6783167, -17.7715355 28.678345, -17.7715403 28.6783843, -17.7715344 28.6784418, -17.7715145 28.6784821, -17.7714924 28.6785077, -17.7714306 28.6785507, -17.771387 28.6785657, -17.7713273 28.678576, -17.7711289 28.6785961, -17.7707889 28.6786296)",,
"[32856976, 239283336]",False,,,residential,False,113.24099999999999,"['Calle Montecristo', 'Calle Calsinas']","LINESTRING (-17.7687172 28.6839523, -17.7685873 28.6838615, -17.7683963 28.6837529, -17.7679601 28.6840688, -17.7679045 28.6841679, -17.767848 28.684212)",,
"[199550032, 199550030]",False,,LP-202,secondary,False,258.67299999999994,Carretera Timibucar,"LINESTRING (-17.7687172 28.6839523, -17.7686367 28.6839539, -17.7685478 28.6839731, -17.7684702 28.6840048, -17.7683534 28.6840905, -17.7682215 28.6842027, -17.7680501 28.6843632, -17.7679375 28.684479, -17.7678645 28.6845775, -17.7678348 28.6846569, -17.767822 28.6847488, -17.7678236 28.6848862, -17.7678228 28.6849184, -17.7678021 28.6849506, -17.7677534 28.6849713, -17.7677019 28.684977, -17.767645 28.6849526, -17.7676107 28.6849132, -17.767607 28.6848592, -17.767626 28.6848126, -17.767848 28.684212)",30,
