osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,access,width,junction
4505777,True,2,Calle Pedro Duro,residential,False,57.70099999999999,"LINESTRING (-5.667666 43.5424772, -5.6675843 43.5423874, -5.6673619 43.5421434, -5.6672719 43.542044)",,,,
"[4752921, 4887613]",True,,"['Calle Zamora', 'Calle Linares Rivas']",residential,False,79.561,"LINESTRING (-5.6653349 43.5433674, -5.6652341 43.5432936, -5.6650278 43.5431493, -5.6653 43.5428624, -5.665344 43.5428168)",,,,
"[5089980, 107908676]",True,2,Calle Marqués de San Esteban,tertiary,False,27.558999999999997,"LINESTRING (-5.6653349 43.5433674, -5.6651607 43.5434803, -5.6651107 43.5435127, -5.6650809 43.5435333)",,,,
4551501,True,,Calle Trinidad,tertiary,False,17.846,"LINESTRING (-5.6642564 43.5437937, -5.6641258 43.5439233)",,,,
4582969,True,1,Calle Joaquín Alonso Bonet,residential,False,115.30799999999999,"LINESTRING (-5.6672719 43.542044, -5.6673922 43.5418647, -5.6680625 43.5414073, -5.6681372 43.5413308, -5.6681053 43.5412578)",,,,
23713411,True,2,Calle Marqués de San Esteban,tertiary,False,35.948,"LINESTRING (-5.6672719 43.542044, -5.6671894 43.5420988, -5.6669464 43.542265)",,,,
106475539,True,2,Calle Pedro Duro,secondary,False,62.16199999999999,"LINESTRING (-5.6672719 43.542044, -5.6671333 43.5418908, -5.666849 43.5415765)",,,,
86291277,True,,Calle del Carmen,residential,False,56.673,"LINESTRING (-5.6666572 43.5413644, -5.6667193 43.5413351, -5.6672438 43.5410834)",,,,
"[106475449, 106475539]",True,2,Calle Pedro Duro,secondary,False,57.828,"LINESTRING (-5.6666572 43.5413644, -5.6663858 43.5410645, -5.6662613 43.5409307)",,,,
4582900,False,1,Calle Oscar Olavarría,residential,False,135.18,"LINESTRING (-5.6641836 43.5457686, -5.6642406 43.5458291, -5.6643768 43.5459819, -5.6645553 43.5461244, -5.6647277 43.5462457, -5.6648278 43.5463455, -5.6650305 43.5465467, -5.665161 43.546669, -5.6652148 43.5467232)",,,,
"[300673554, 300673556, 4751982]",True,,Calle de la Vicaría,living_street,False,124.57299999999998,"LINESTRING (-5.6641836 43.5457686, -5.6641503 43.5458059, -5.66401 43.5459629, -5.6639954 43.5459793, -5.6639715 43.5460067, -5.6637769 43.5462834, -5.6636734 43.546446, -5.6634727 43.5467613)",20,,,
86928320,True,,Calle María Bandujo,residential,False,17.426000000000002,"LINESTRING (-5.6634727 43.5467613, -5.6634261 43.5467293, -5.6633412 43.5466379)",,,,
4582950,True,,Calle Honesto Batalón,residential,False,178.863,"LINESTRING (-5.6634608 43.5472593, -5.6637947 43.5473802, -5.6643264 43.547672, -5.6651719 43.5482677)",,,,
"[5045184, 86928320]",True,,"['Calle Eladio Verde', 'Calle María Bandujo']",residential,False,58.492999999999995,"LINESTRING (-5.6634608 43.5472593, -5.6635659 43.5468604, -5.6634727 43.5467613)",,,,
5031115,False,,Calle Castro Romano,residential,False,72.08,"LINESTRING (-5.6658465 43.5474189, -5.6657896 43.5474436, -5.6653997 43.5476124, -5.6653795 43.5475979, -5.6651338 43.5474219)",,,,
66089607,True,,Calle Artillería,residential,False,25.248,"LINESTRING (-5.6658465 43.5474189, -5.665892 43.5474578, -5.666081 43.5475684)",,,,
5031115,False,,Calle Castro Romano,residential,True,72.08,"LINESTRING (-5.6651338 43.5474219, -5.6653795 43.5475979, -5.6653997 43.5476124, -5.6657896 43.5474436, -5.6658465 43.5474189)",,,,
