osmid,oneway,lanes,name,highway,maxspeed,junction,reversed,length,geometry,width,access
812798732,True,3,Plaza de Federico Moyúa / Federico Moyua plaza,primary,30,circular,False,13.786,"LINESTRING (-2.9356259 43.263206, -2.9356613 43.2631406, -2.9356671 43.2631198, -2.935676 43.263088)",,
1124146231,True,2,Gran Vía Don Diego López de Haro / On Diego Lopez Haroko kale nagusia,primary,30,,False,16.824,"LINESTRING (-2.9356259 43.263206, -2.9356863 43.2631936, -2.9357528 43.2631946, -2.9358313 43.263195)",,
628258191,False,4,Gran Vía Don Diego López de Haro / On Diego Lopez Haroko kale nagusia,primary,50,,False,8.34,"LINESTRING (-2.9411496 43.2643627, -2.9410506 43.264342)",,
"[25322042, 628258228]",True,1,Emilio Campuzano plaza / Plaza Emilio Campuzano,residential,20,roundabout,False,39.629000000000005,"LINESTRING (-2.9394643 43.2628167, -2.9394559 43.2628495, -2.9394613 43.2628827, -2.93948 43.2629132, -2.9395104 43.2629383, -2.9395197 43.2629424, -2.9395497 43.2629555, -2.9396004 43.2629638, -2.939652 43.2629591, -2.9396985 43.262942, -2.9397343 43.2629146, -2.9397552 43.2628799)",,
"[25322042, 628258228]",True,1,Emilio Campuzano plaza / Plaza Emilio Campuzano,residential,20,roundabout,False,37.364,"LINESTRING (-2.9397552 43.2628799, -2.9397594 43.2628465, -2.9397497 43.2628137, -2.9397269 43.2627845, -2.9396931 43.2627617, -2.9396515 43.2627473, -2.9396057 43.2627426, -2.9395602 43.2627482, -2.939519 43.2627634, -2.939486 43.262787, -2.9394643 43.2628167)",,
22876060,False,,Alameda Gregorio de la Revilla / Gregorio de la Revilla zumarkalea,residential,,,False,56.293,"LINESTRING (-2.9391621 43.26392, -2.9392118 43.263796, -2.93927 43.263653, -2.9393083 43.2635588, -2.9393591 43.2634345)",,
628258191,False,4,Gran Vía Don Diego López de Haro / On Diego Lopez Haroko kale nagusia,primary,50,,True,159.95600000000002,"LINESTRING (-2.9391621 43.26392, -2.9393629 43.2639656, -2.9401959 43.2641513, -2.9402818 43.2641696, -2.9403323 43.2641804, -2.9403863 43.2641934, -2.9405524 43.2642306, -2.9410506 43.264342)",,
630336882,False,4,Gran Vía Don Diego López de Haro / On Diego Lopez Haroko kale nagusia,primary,50,,False,120.84,"LINESTRING (-2.9391621 43.26392, -2.9379006 43.2636381, -2.937735 43.2636022)",,
1208847675,True,,Calle Rodríguez Arias / Rodriguez Arias kalea,residential,30,,False,62.721,"LINESTRING (-2.9335051 43.2615116, -2.9340771 43.2616437, -2.9342436 43.2616817)",,
148386665,True,,Calle Iparraguirre / Iparraguirre kalea,residential,30,,False,69.88499999999999,"LINESTRING (-2.9382929 43.2587703, -2.9380529 43.2592719, -2.938009 43.2593638)",,
542617857,True,2,Iparraguirre kalea / Calle Iparraguirre,residential,,,False,71.342,"LINESTRING (-2.9366471 43.2627074, -2.9365479 43.2629475, -2.9364498 43.2631849, -2.9363933 43.2633218)",,
359617709,False,4,Gran vía Don Diego López de Haro / On Diego Lopez Haroko kale nagusia,primary,30,,False,47.64200000000001,"LINESTRING (-2.9363933 43.2633218, -2.9361892 43.2632753, -2.9360438 43.2632427, -2.9358752 43.2632048, -2.9358313 43.263195)",,
359617709,False,4,Gran vía Don Diego López de Haro / On Diego Lopez Haroko kale nagusia,primary,30,,True,113.028,"LINESTRING (-2.9363933 43.2633218, -2.936592 43.2633631, -2.9370224 43.2634527, -2.9375767 43.263568, -2.937735 43.2636022)",,
542617856,True,2,Calle Iparraguirre / Iparraguirre kalea,residential,,,False,116.58500000000001,"LINESTRING (-2.9363933 43.2633218, -2.93609 43.2640626, -2.9359651 43.2643226)",,
81062118,True,1,Calle Iparraguirre / Iparraguirre kalea,residential,30,,False,86.488,"LINESTRING (-2.9355267 43.2654157, -2.9354767 43.2655287, -2.9352654 43.2660618, -2.9352265 43.2661621)",,
1208825611,True,2,Calle Henao / Henao kalea,residential,30,,False,127.36399999999999,"LINESTRING (-2.9355267 43.2654157, -2.9356636 43.2654447, -2.9368244 43.2657123, -2.9370278 43.2657579)",,
